# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
всмотреть	всмотрю,всмотришь,всмотрит,всмотрим,всмотрите,всмотрят	-	всмотри,всмотрите	-
всовать	всую,всуёшь,всуёт,всуём,всуёте,всуют	-	-	-
всохнуть	-	всох,всохла,всохло,всохли	-	-
вспарить	-	-	вспарь,вспарьте	-
вспенить	-	-	вспень,вспеньте	-
всплакнуть	всплакну,всплакнёшь,всплакнёт,всплакнём,всплакнёте,всплакнут	-	-	-
всполохнуть	всполохну,всполохнёшь,всполохнёт,всполохнём,всполохнёте,всполохнут	-	-	-
вспухнуть	-	вспух,вспухла,вспухло,вспухли	-	-
вспучить	-	-	вспучь,вспучьте	-
встать	встану,встанешь,встанет,встанем,встанете,встанут	-	встань,встаньте	-
встопорщить	-	-	встопорщь,встопорщьте	-
встревать	встреваю,встреваешь,встревает,встреваем,встреваете,встревают	-	встревай,встревайте	-
встрепать	встреплю,встреплешь,встреплет,встреплем,встреплете,встреплют	-	встрепли,встреплите	-
встрепенуть	встрепену,встрепенёшь,встрепенёт,встрепенём,встрепенёте,встрепенут	-	-	-
встретить	-	-	встреть,встретьте	-
встрять	встряну,встрянешь,встрянет,встрянем,встрянете,встрянут	-	встрянь,встряньте	-
всхолить	-	-	всхоль,всхольте	-
всыпать	всыплю,всыплешь,всыплет,всыплем,всыплете,всыплют	-	всыпь,всыпьте	-
втемяшить	-	-	втемяшь,втемяшьте	-
втереть	вотру,вотрёшь,вотрёт,вотрём,вотрёте,вотрут	втёр,втёрла,втёрло,втёрли	вотри,вотрите	-
втечь	втеку,втечёшь,втечёт,втечём,втечёте,втекут	втёк,втекла,втекло,втекли	втеки,втеките	-
втолкнуть	втолкну,втолкнёшь,втолкнёт,втолкнём,втолкнёте,втолкнут	-	-	-
вторгнуть	-	вторг,вторгла,вторгло,вторгли	-	-
вторить	-	-	вторь,вторьте	1
втюрить	-	-	втюрь,втюрьте	-
вшибить	вшибу,вшибёшь,вшибёт,вшибём,вшибёте,вшибут	вшиб,вшибла,вшибло,вшибли	-	-
вшить	вошью,вошьёшь,вошьёт,вошьём,вошьёте,вошьют	-	вшей,вшейте	-
въесть	въем,въешь,въест,въедим,въедите,въедят	въел,въела,въело,въели	въешь,въешьте	-
въехать	въеду,въедешь,въедет,въедем,въедете,въедут	-	въезжай,въезжайте	-
выбить	выбью,выбьешь,выбьет,выбьем,выбьете,выбьют	-	выбей,выбейте	-
выболеть	выболю,выболишь,выболит,выболим,выболите,выболят	-	выболи,выболите	-
выбрать	выберу,выберешь,выберет,выберем,выберете,выберут	-	выбери,выберите	-
выбрести	выбреду,выбредешь,выбредет,выбредем,выбредете,выбредут	выбрел,выбрела,выбрело,выбрели	выбреди,выбредите	-
выбрить	выбрею,выбреешь,выбреет,выбреем,выбреете,выбреют	-	выбрей,выбрейте	-
выбучить	-	-	выбучи,выбучьте	-
вывезти	вывезу,вывезешь,вывезет,вывезем,вывезете,вывезут	вывез,вывезла,вывезло,вывезли	вывези,вывезите	-
выверить	-	-	выверь,выверьте	-
вывести	выведу,выведешь,выведет,выведем,выведете,выведут	вывел,вывела,вывело,вывели	выведи,выведите	-
вывить	вывью,вывьешь,вывьет,вывьем,вывьете,вывьют	-	вывей,вывейте	-
вывязать	вывяжу,вывяжешь,вывяжет,вывяжем,вывяжете,вывяжут	-	вывяжи,вывяжите	-
вывялить	-	-	вывяли,вывяльте	-
выглянуть	-	-	выглянь,выгляньте	-
выгнать	выгоню,выгонишь,выгонит,выгоним,выгоните,выгонят	-	выгони,выгоните	-
