# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
ضارع	ضَارَعَ	يُضَارِعُ	ضُورِعَ	يُضَارَعُ
ضاع	ضَاعَ	يَضِيعُ	ضِيعَ	يُضَاعُ
ضاعف	ضَاعَفَ	يُضَاعِفُ	ضُوعِفَ	يُضَاعَفُ
ضاف	ضَافَ	يَضِيفُ	ضِيفَ	يُضَافُ
ضاق	ضَاقَ	يَضِيقُ	ضِيقَ	يُضَاقُ
ضاهى	ضَاهَى	يُضَاهِي	ضُوهِيَ	يُضَاهَى
ضايق	ضَايَقَ	يُضَايِقُ	ضُويِقَ	يُضَايَقُ
ضب	ضَبَّ	يَضُبُّ	ضُبَّ	يُضَبُّ
ضبب	ضَبَّبَ	يُضَبِّبُ	ضُبِّبَ	يُضَبَّبُ
ضبط	ضَبَطَ	يَضْبِطُ	ضُبِطَ	يُضْبَطُ
ضج	ضَجَّ	يَضِجُّ	ضُجَّ	يُضَجُّ
ضجع	ضَجَعَ	يَضْجَعُ	-	-
ضحك	ضَحَّكَ	يُضَحِّكُ	ضُحِّكَ	يُضَحَّكُ
ضحى	ضَحَّى	يُضَحِّي	ضُحِّيَ	يُضَحَّى
ضخ	ضَخَّ	يَضُخُّ	ضُخَّ	يُضَخُّ
ضخم	ضَخَّمَ	يُضَخِّمُ	ضُخِّمَ	يُضَخَّمُ
ضر	ضَرَّ	يَضُرُّ	ضُرَّ	يُضَرُّ
ضرا	ضَرَا	يَضْرُو	-	-
ضرب	ضَرَّبَ	يُضَرِّبُ	ضُرِّبَ	يُضَرَّبُ
ضرس	ضَرَّسَ	يُضَرِّسُ	ضُرِّسَ	يُضَرَّسُ
ضرط	ضَرَطَ	يَضْرِطُ	-	-
ضرع	ضَرِعَ	يَضْرَعُ	ضُرِعَ	يُضْرَعُ
ضرم	ضَرَّمَ	يُضَرِّمُ	ضُرِّمَ	يُضَرَّمُ
ضرى	ضَرَّى	يُضَرِّي	ضُرِّيَ	يُضَرَّى
ضري	ضَرِيَ	يَضْرَى	ضُرِيَ	يُضْرَى
ضعف	ضَعَّفَ	يُضَعِّفُ	ضُعِّفَ	يُضَعَّفُ
ضغط	ضَغَطَ	يَضْغَطُ	ضُغِطَ	يُضْغَطُ
ضفدع	ضَفْدَعَ	يُضَفْدِعُ	-	-
ضل	ضَلَّ	يَضِلُّ	ضُلَّ	يُضَلُّ
ضلع	ضَلَّعَ	يُضَلِّعُ	ضُلِّعَ	يُضَلَّعُ
ضلل	ضَلَّلَ	يُضَلِّلُ	ضُلِّلَ	يُضَلَّلُ
ضم	ضَمَّ	يَضُمُّ	ضُمَّ	يُضَمُّ
ضمخ	ضَمَّخَ	يُضَمِّخُ	ضُمِّخَ	يُضَمَّخُ
ضمد	ضَمَّدَ	يُضَمِّدُ	ضُمِّدَ	يُضَمَّدُ
ضمر	ضَمَّرَ	يُضَمِّرُ	ضُمِّرَ	يُضَمَّرُ
ضمن	ضَمَّنَ	يُضَمِّنُ	ضُمِّنَ	يُضَمَّنُ
ضنك	ضَنُكَ	يَضْنُكُ	-	-
ضوأ	ضَوَّأَ	يُضَوِّئُ	ضُوِّئَ	يُضَوَّأُ
ضوى	ضَوَى	يَضْوِي	ضُوِيَ	يُضْوَى
ضيع	ضَيَّعَ	يُضَيِّعُ	ضُيِّعَ	يُضَيَّعُ
ضيق	ضَيَّقَ	يُضَيِّقُ	ضُيِّقَ	يُضَيَّقُ
طأطأ	طَأْطَأَ	يُطَأْطِئُ	طُؤْطِئَ	يُطَأْطَأُ
طاب	طَابَ	يَطِيبُ	طِيبَ	يُطَابُ
طابق	طَابَقَ	يُطَابِقُ	طُوبِقَ	يُطَابَقُ
طاح	طَاحَ	يَطِيحُ	طِيحَ	يُطَاحُ
طار	طَارَ	يَطِيرُ	طِيرَ	يُطَارُ
طارح	طَارَحَ	يُطَارِحُ	طُورِحَ	يُطَارَحُ
طارد	طَارَدَ	يُطَارِدُ	طُورِدَ	يُطَارَدُ
طاش	طَاشَ	يَطِيشُ	-	-
طاع	طَاعَ	يَطُوعُ	طِيعَ	يُطَاعُ
طاعم	طَاعَمَ	يُطَاعِمُ	طُوعِمَ	يُطَاعَمُ
طاعن	طَاعَنَ	يُطَاعِنُ	طُوعِنَ	يُطَاعَنُ
طاف	طَافَ	يَطُوفُ	طِيفَ	يُطَافُ
طاق	طَاقَ	يَطُوقُ	طِيقَ	يُطَاقُ
طال	طَالَ	يَطُولُ	طِيلَ	يُطَالُ
طالب	طَالَبَ	يُطَالِبُ	طُولِبَ	يُطَالَبُ
طالع	طَالَعَ	يُطَالِعُ	طُولِعَ	يُطَالَعُ
طاوع	طَاوَعَ	يُطَاوِعُ	طُووِعَ	يُطَاوَعُ
طاول	طَاوَلَ	يُطَاوِلُ	طُووِلَ	يُطَاوَلُ
طب	طَبَّ	يَطِبُّ	طُبَّ	يُطَبُّ
طبخ	طَبَّخَ	يُطَبِّخُ	طُبِّخَ	يُطَبَّخُ
طبطب	طَبْطَبَ	يُطَبْطِبُ	-	-
طبع	طَبَّعَ	يُطَبِّعُ	طُبِّعَ	يُطَبَّعُ
طبق	طَبَّقَ	يُطَبِّقُ	طُبِّقَ	يُطَبَّقُ
طبل	طَبَّلَ	يُطَبِّلُ	طُبِّلَ	يُطَبَّلُ
طحلب	طَحْلَبَ	يُطَحْلِبُ	طُحْلِبَ	يُطَحْلَبُ
طحن	طَحَنَ	يَطْحَنُ	طُحِنَ	يُطْحَنُ
طرأ	طَرَأَ	يَطْرَأُ	طُرِئَ	يُطْرَأُ
طرب	طَرَّبَ	يُطَرِّبُ	طُرِّبَ	يُطَرَّبُ
طرح	طَرَّحَ	يُطَرِّحُ	طُرِّحَ	يُطَرَّحُ
طرد	طَرَّدَ	يُطَرِّدُ	طُرِّدَ	يُطَرَّدُ
طرز	طَرَّزَ	يُطَرِّزُ	طُرِّزَ	يُطَرَّزُ
طرف	طَرَفَ	يَطْرِفُ	طُرِفَ	يُطْرَفُ
طرق	طَرَّقَ	يُطَرِّقُ	طُرِّقَ	يُطَرَّقُ
طرو	طَرُوَ	يَطْرُو	-	-
طري	طَرِيَ	يَطْرَى	-	-
طعم	طَعَّمَ	يُطَعِّمُ	طُعِّمَ	يُطَعَّمُ
طعن	طَعَنَ	يَطْعَنُ	طُعِنَ	يُطْعَنُ
طغى	طَغَى	يَطْغَى	طُغِيَ	يُطْغَى
طفأ	طَفِئَ	يَطْفَأُ	طُفِئَ	يُطْفَأُ
طفئ	طَفِئَ	يَطْفَأُ	طُفِئَ	يُطْفَأُ
طفا	طَفَا	يَطْفُو	طُفِيَ	يُطْفَى
طفح	طَفَّحَ	يُطَفِّحُ	طُفِّحَ	يُطَفَّحُ
طفق	طَفَقَ	يَطْفِقُ	طُفِقَ	يُطْفَقُ
طقطق	طَقْطَقَ	يُطَقْطِقُ	طُقْطِقَ	يُطَقْطَقُ
طل	طَلَّ	يَطِلُّ	طُلَّ	يُطَلُّ
طلب	طَلَبَ	يَطْلُبُ	طُلِبَ	يُطْلَبُ
طلس	طَلِسَ	يَطْلَسُ	طُلِّسَ	يُطَلَّسُ
طلع	طَلَعَ	يَطْلَعُ	طُلِعَ	يُطْلَعُ
طلق	طَلَّقَ	يُطَلِّقُ	طُلِّقَ	يُطَلَّقُ
طلى	طَلَى	يَطْلِي	طُلِيَ	يُطْلَى
طمأن	طَمْأَنَ	يُطَمْئِنُ	طُمْئِنَ	يُطَمْأَنُ
طما	طَمَا	يَطْمُو	طُمِيَ	يُطْمَى
طمح	طَمَحَ	يَطْمِحُ	طُمِحَ	يُطْمَحُ
طمر	طَمَّرَ	يُطَمِّرُ	طُمِّرَ	يُطَمَّرُ
طمس	طَمَّسَ	يُطَمِّسُ	طُمِّسَ	يُطَمَّسُ
طمع	طَمُعَ	يَطْمُعُ	طُمِعَ	يُطْمَعُ
طمن	طَمَّنَ	يُطَمِّنُ	طُمِّنَ	يُطَمَّنُ
طمى	طَمَى	يَطْمِي	طُمِيَ	يُطْمَى
طن	طَنَّ	يَطِنُّ	طُنَّ	يُطَنُّ
طنب	طَنَّبَ	يُطَنِّبُ	طُنِّبَ	يُطَنَّبُ
طنز	طَنَّزَ	يُطَنِّزُ	طُنِزَ	يُطْنَزُ
طنف	طَنَّفَ	يُطَنِّفُ	طُنِّفَ	يُطَنَّفُ
طها	طَهَا	يَطْهُو	طُهِيَ	يُطْهَى
طهر	طَهَّرَ	يُطَهِّرُ	طُهِّرَ	يُطَهَّرُ
طهى	طَهَى	يَطْهَى	طُهِيَ	يُطْهَى
طوب	طَوَّبَ	يُطَوِّبُ	طُوِّبَ	يُطَوَّبُ
طور	طَوَّرَ	يُطَوِّرُ	طُوِّرَ	يُطَوَّرُ
طوع	طَوَّعَ	يُطَوِّعُ	طُوِّعَ	يُطَوَّعُ
طوف	طَوَّفَ	يُطَوِّفُ	طُوِّفَ	يُطَوَّفُ
طوق	طَوَّقَ	يُطَوِّقُ	طُوِّقَ	يُطَوَّقُ
طول	طَوَّلَ	يُطَوِّلُ	طُوِّلَ	يُطَوَّلُ
طوى	طَوَى	يَطْوِي	طُوِيَ	يُطْوَى
طوي	طَوِيَ	يَطْوَى	-	-
طيب	طَيَّبَ	يُطَيِّبُ	طُيِّبَ	يُطَيَّبُ
طير	طَيَّرَ	يُطَيِّرُ	طُيِّرَ	يُطَيَّرُ
ظأر	ظَأَرَ	يَظْأَرُ	ظُئِرَ	يُظْأَرُ
ظاهر	ظَاهَرَ	يُظَاهِرُ	ظُوهِرَ	يُظَاهَرُ
ظعن	ظَعَنَ	يَظْعَنُ	ظُعِنَ	يُظْعَنُ
ظفر	ظَفَّرَ	يُظَفِّرُ	ظُفِّرَ	يُظَفَّرُ
ظل	ظَلَّ	يَظَلُّ	ظُلَّ	يُظَلُّ
ظلل	ظَلَّلَ	يُظَلِّلُ	ظُلِّلَ	يُظَلَّلُ
ظلم	ظَلَّمَ	يُظَلِّمُ	ظُلِّمَ	يُظَلَّمُ
ظمأ	ظَمَّأَ	يُظَمِّئُ	ظُمِّئَ	يُظَمَّأُ
ظمئ	ظَمِئَ	يَظْمَأُ	-	-
ظن	ظَنَّ	يَظُنُّ	ظُنَّ	يُظَنُّ
ظهر	ظَهَّرَ	يُظَهِّرُ	ظُهِّرَ	يُظَهَّرُ
عاب	عَابَ	يَعِيبُ	عِيبَ	يُعَابُ
عاتب	عَاتَبَ	يُعَاتِبُ	عُوتِبَ	يُعَاتَبُ
عاث	عَاثَ	يَعِيثُ	عِيثَ	يُعَاثُ
عاد	عَادَ	يَعُودُ	عِيدَ	يُعَادُ
عادل	عَادَلَ	يُعَادِلُ	عُودِلَ	يُعَادَلُ
عادى	عَادَى	يُعَادِي	عُودِيَ	يُعَادَى
عاذ	عَاذَ	يَعُوذُ	عِيذَ	يُعَاذُ
عار	عَارَ	يَعِيرُ	-	-
عارك	عَارَكَ	يُعَارِكُ	عُورِكَ	يُعَارَكُ
عاش	عَاشَ	يَعِيشُ	عِيشَ	يُعَاشُ
عاشر	عَاشَرَ	يُعَاشِرُ	عُوشِرَ	يُعَاشَرُ
عاصر	عَاصَرَ	يُعَاصِرُ	عُوصِرَ	يُعَاصَرُ
عاض	عَاضَ	يَعُوضُ	عِيضَ	يُعَاضُ
عاضد	عَاضَدَ	يُعَاضِدُ	عُوضِدَ	يُعَاضَدُ
عاطى	عَاطَى	يُعَاطِي	عُوطِيَ	يُعَاطَى
عاظل	عَاظَلَ	يُعَاظِلُ	عُوظِلَ	يُعَاظَلُ
عافى	عَافَى	يُعَافِي	عُوفِيَ	يُعَافَى
عاق	عَاقَ	يَعُوقُ	عِيقَ	يُعَاقُ
عاقب	عَاقَبَ	يُعَاقِبُ	عُوقِبَ	يُعَاقَبُ
عاكس	عَاكَسَ	يُعَاكِسُ	عُوكِسَ	يُعَاكَسُ
عال	عَالَّ	يُعَالُّ	عُولَّ	يُعَالُّ
عالج	عَالَجَ	يُعَالِجُ	عُولِجَ	يُعَالَجُ
عام	عَامَ	يَعُومُ	-	-
عامل	عَامَلَ	يُعَامِلُ	عُومِلَ	يُعَامَلُ
عانق	عَانَقَ	يُعَانِقُ	عُونِقَ	يُعَانَقُ
عانى	عَانَى	يُعَانِي	عُونِيَ	يُعَانَى
عاه	عَاهَ	يَعُوهُ	عِيهَ	يُعَاهُ
عاود	عَاوَدَ	يُعَاوِدُ	عُووِدَ	يُعَاوَدُ
عاوض	عَاوَضَ	يُعَاوِضُ	عُووِضَ	يُعَاوَضُ
عاوق	عَاوَقَ	يُعَاوِقُ	عُووِقَ	يُعَاوَقُ
عاون	عَاوَنَ	يُعَاوِنُ	عُووِنَ	يُعَاوَنُ
عاوى	عَاوَى	يُعَاوِي	عُووِيَ	يُعَاوَى
عايد	عَايَدَ	يُعَايِدُ	عُويِدَ	يُعَايَدُ
عاير	عَايَرَ	يُعَايِرُ	عُويِرَ	يُعَايَرُ
عايش	عَايَشَ	يُعَايِشُ	عُويِشَ	يُعَايَشُ
عاين	عَايَنَ	يُعَايِنُ	عُويِنَ	يُعَايَنُ
عب	عَبَّ	يَعُبُّ	عُبَّ	يُعَبُّ
عبأ	عَبَّأَ	يُعَبِّئُ	عُبِّئَ	يُعَبَّأُ
عبا	عَبَا	يَعْبُو	عُبِيَ	يُعْبَى
عبث	عَبِثَ	يَعْبَثُ	-	-
عبد	عَبَّدَ	يُعَبِّدُ	عُبِّدَ	يُعَبَّدُ
عبر	عَبَّرَ	يُعَبِّرُ	عُبِّرَ	يُعَبَّرُ
عبس	عَبَسَ	يَعْبِسُ	عُبِسَ	يُعْبَسُ
عبعب	عَبْعَبَ	يُعَبْعِبُ	عُبْعِبَ	يُعَبْعَبُ
عبق	عَبَّقَ	يُعَبِّقُ	عُبِّقَ	يُعَبَّقُ
عبل	عَبَّلَ	يُعَبِّلُ	عُبِّلَ	يُعَبَّلُ
عتب	عَتَبَ	يَعْتِبُ	عُتِبَ	يُعْتَبُ
عتر	عَتَرَ	يَعْتِرُ	عُتِرَ	يُعْتَرُ
عتل	عَتَلَ	يَعْتُلُ	عُتِلَ	يُعْتَلُ
عتم	عَتَّمَ	يُعَتِّمُ	عُتِّمَ	يُعَتَّمُ
عته	عَتِهَ	يَعْتَهُ	-	-
عثا	عَثَا	يَعْثُو	عُثِيَ	يُعْثَى
عثر	عَثَّرَ	يُعَثِّرُ	عُثِّرَ	يُعَثَّرُ
عثنن	عَثْنَنَ	يُعَثْنِنُ	عُثْنِنَ	يُعَثْنَنُ
عثي	عَثِيَ	يَعْثَى	-	-
عج	عَجَّ	يَعِجُّ	عُجَّ	يُعَجُّ
عجب	عَجَّبَ	يُعَجِّبُ	عُجِّبَ	يُعَجَّبُ
عجج	عَجَّجَ	يُعَجِّجُ	عُجِّجَ	يُعَجَّجُ
عجز	عَجَّزَ	يُعَجِّزُ	عُجِّزَ	يُعَجَّزُ
عجل	عَجَّلَ	يُعَجِّلُ	عُجِّلَ	يُعَجَّلُ
عجم	عَجَّمَ	يُعَجِّمُ	عُجِّمَ	يُعَجَّمُ
عجن	عَجِنَ	يَعْجَنُ	عُجِنَ	يُعْجَنُ
عد	عَدَّ	يَعُدُّ	عُدَّ	يُعَدُّ
عدا	عَدَا	يَعْدُو	عُدِيَ	يُعْدَى
عدد	عَدَّدَ	يُعَدِّدُ	عُدِّدَ	يُعَدَّدُ
عدل	عَدَّلَ	يُعَدِّلُ	عُدِّلَ	يُعَدَّلُ
عدم	عَدِمَ	يَعْدَمُ	عُدِمَ	يُعْدَمُ
عدن	عَدَّنَ	يُعَدِّنُ	عُدِّنَ	يُعَدَّنُ
عدى	عَدَّى	يُعَدِّي	عُدِّيَ	يُعَدَّى
عذب	عَذَّبَ	يُعَذِّبُ	عُذِّبَ	يُعَذَّبُ
عذر	عَذَرَ	يَعْذُرُ	عُذِرَ	يُعْذَرُ
عذق	عَذَّقَ	يُعَذِّقُ	عُذِّقَ	يُعَذَّقُ
عرب	عَرَّبَ	يُعَرِّبُ	عُرِّبَ	يُعَرَّبُ
عربد	عَرْبَدَ	يُعَرْبِدُ	-	-
عربن	عَرْبَنَ	يُعَرْبِنُ	عُرْبِنَ	يُعَرْبَنُ
عرج	عَرَّجَ	يُعَرِّجُ	عُرِّجَ	يُعَرَّجُ
عرش	عَرَشَ	يَعْرُشُ	عُرِشَ	يُعْرَشُ
عرض	عَرَّضَ	يُعَرِّضُ	عُرِّضَ	يُعَرَّضُ
عرف	عَرَّفَ	يُعَرِّفُ	عُرِّفَ	يُعَرَّفُ
عرق	عَرَّقَ	يُعَرِّقُ	عُرِّقَ	يُعَرَّقُ
عرقل	عَرْقَلَ	يُعَرْقِلُ	عُرْقِلَ	يُعَرْقَلُ
عرك	عَرَكَ	يَعْرُكُ	عُرِكَ	يُعْرَكُ
عرمس	عَرْمَسَ	يُعَرْمِسُ	-	-
عرمض	عَرْمَضَ	يُعَرْمِضُ	-	-
عرن	عَرَّنَ	يُعَرِّنُ	عُرِّنَ	يُعَرَّنُ
عري	عَرِيَ	يَعْرَى	-	-
عز	عَزَّ	يَعِزُّ	عُزَّ	يُعَزُّ
عزا	عَزَا	يَعْزُو	عُزِيَ	يُعْزَى
عزب	عَزَبَ	يَعْزُبُ	عُزِبَ	يُعْزَبُ
عزر	عَزَّرَ	يُعَزِّرُ	عُزِّرَ	يُعَزَّرُ
عزز	عَزَّزَ	يُعَزِّزُ	عُزِّزَ	يُعَزَّزُ
عزف	عَزَفَ	يَعْزُفُ	عُزِفَ	يُعْزَفُ
عزق	عَزَقَ	يَعْزِقُ	عُزِقَ	يُعْزَقُ
عزل	عَزَلَ	يَعْزِلُ	عُزِلَ	يُعْزَلُ
عزم	عَزَمَ	يَعْزِمُ	عُزِمَ	يُعْزَمُ
عزى	عَزَّى	يُعَزِّي	عُزِّيَ	يُعَزَّى
عسعس	عَسْعَسَ	يُعَسْعِسُ	-	-
عسكر	عَسْكَرَ	يُعَسْكِرُ	عُسْكِرَ	يُعَسْكَرُ
عسل	عَسَّلَ	يُعَسِّلُ	عُسِّلَ	يُعَسَّلُ
عش	عَشَّ	يَعُشُّ	عُشَّ	يُعَشُّ
عشا	عَشَا	يَعْشَى	عُشِيَ	يُعْشَى
عشش	عَشَّشَ	يُعَشِّشُ	عُشِّشَ	يُعَشَّشُ
عشق	عَشَّقَ	يُعَشِّقُ	عُشِّقَ	يُعَشَّقُ
عشن	عَشَّنَ	يُعَشِّنُ	عُشِّنَ	يُعَشَّنُ
عصا	عَصَا	يَعْصُو	عُصِيَ	يُعْصَى
عصب	عَصَّبَ	يُعَصِّبُ	عُصِّبَ	يُعَصَّبُ
عصر	عَصَّرَ	يُعَصِّرُ	عُصِّرَ	يُعَصَّرُ
عصرن	عَصْرَنَ	يُعَصْرِنُ	عُصْرِنَ	يُعَصْرَنُ
عصف	عَصَفَ	يَعْصِفُ	عُصِفَ	يُعْصَفُ
عصفر	عَصْفَرَ	يُعَصْفِرُ	عُصْفِرَ	يُعَصْفَرُ
عصم	عَصَمَ	يَعْصِمُ	عُصِمَ	يُعْصَمُ
عصى	عَصَى	يَعْصِي	عُصِيَ	يُعْصَى
عض	عَضَّ	يَعَضُّ	عُضَّ	يُعَضُّ
عضد	عَضَّدَ	يُعَضِّدُ	عُضِّدَ	يُعَضَّدُ
عط	عَطَّ	يَعُطُّ	عُطَّ	يُعَطُّ
عطب	عَطَّبَ	يُعَطِّبُ	عُطِّبَ	يُعَطَّبُ
عطر	عَطَّرَ	يُعَطِّرُ	عُطِّرَ	يُعَطَّرُ
عطس	عَطَسَ	يَعْطُسُ	عُطِسَ	يُعْطَسُ
عطش	عَطَّشَ	يُعَطِّشُ	عُطِّشَ	يُعَطَّشُ
عطف	عَطَفَ	يَعْطِفُ	عُطِفَ	يُعْطَفُ
عطل	عَطَّلَ	يُعَطِّلُ	عُطِّلَ	يُعَطَّلُ
عطن	عَطَّنَ	يُعَطِّنُ	عُطِّنَ	يُعَطَّنُ
عظ	عَظَّ	يَعُظُّ	عُظَّ	يُعَظُّ
عظم	عَظَّمَ	يُعَظِّمُ	عُظِّمَ	يُعَظَّمُ
عفا	عَفَا	يَعْفُو	عُفِيَ	يُعْفَى
عفت	عَفَتَ	يَعْفِتُ	عُفِتَ	يُعْفَتُ
عفج	عَفَجَ	يَعْفِجُ	عُفِجَ	يُعْفَجُ
عفر	عَفَّرَ	يُعَفِّرُ	عُفِّرَ	يُعَفَّرُ
عفص	عَفَّصَ	يُعَفِّصُ	عُفِّصَ	يُعَفَّصُ
عق	عَقَّ	يَعُقُّ	عُقَّ	يُعَقُّ
عقب	عَقَّبَ	يُعَقِّبُ	عُقِّبَ	يُعَقَّبُ
عقد	عَقَّدَ	يُعَقِّدُ	عُقِّدَ	يُعَقَّدُ
عقر	عَقُرَ	يَعْقُرُ	عُقِرَ	يُعْقَرُ
عقل	عَقَلَ	يَعْقِلُ	عُقِلَ	يُعْقَلُ
عقلن	عَقْلَنَ	يُعَقْلِنُ	عُقْلِنَ	يُعَقْلَنُ
عقم	عَقَّمَ	يُعَقِّمُ	عُقِّمَ	يُعَقَّمُ
عكر	عَكَرَ	يَعْكِرُ	عُكِرَ	يُعْكَرُ
عكرش	عَكْرَشَ	يُعَكْرِشُ	عُكْرِشَ	يُعَكْرَشُ
عكس	عَكَسَ	يَعْكِسُ	عُكِسَ	يُعْكَسُ
عكنن	عَكْنَنَ	يُعَكْنِنُ	عُكْنِنَ	يُعَكْنَنُ
عل	عَلَّ	يَعِلُّ	عُلَّ	يُعَلُّ
علا	عَلَا	يَعْلُو	عُلِيَ	يُعْلَى
علف	عَلَّفَ	يُعَلِّفُ	عُلِّفَ	يُعَلَّفُ
علق	عَلَّقَ	يُعَلِّقُ	عُلِّقَ	يُعَلَّقُ
علك	عَلَّكَ	يُعَلِّكُ	عُلِّكَ	يُعَلَّكُ
علل	عَلَّلَ	يُعَلِّلُ	عُلِّلَ	يُعَلَّلُ
علم	عَلَّمَ	يُعَلِّمُ	عُلِّمَ	يُعَلَّمُ
علمن	عَلْمَنَ	يُعَلْمِنُ	عُلْمِنَ	يُعَلْمَنُ
علن	عَلَنَ	يَعْلُنُ	عُلِنَ	يُعْلَنُ
علون	عَلْوَنَ	يُعَلْوِنُ	عُلْوِنَ	يُعَلْوَنُ
على	عَلَّى	يُعَلِّي	عُلِّيَ	يُعَلَّى
علي	عَلِيَ	يَعْلَى	-	-
عم	عَمَّ	يَعُمُّ	عُمَّ	يُعَمُّ
عمد	عَمَّدَ	يُعَمِّدُ	عُمِّدَ	يُعَمَّدُ
عمر	عَمَّرَ	يُعَمِّرُ	عُمِّرَ	يُعَمَّرُ
عمق	عَمَّقَ	يُعَمِّقُ	عُمِّقَ	يُعَمَّقُ
عمل	عَمَّلَ	يُعَمِّلُ	عُمِّلَ	يُعَمَّلُ
عمم	عَمَّمَ	يُعَمِّمُ	عُمِّمَ	يُعَمَّمُ
عمه	عَمِهَ	يَعْمَهُ	عُمِهَ	يُعْمَهُ
عمى	عَمَّى	يُعَمِّي	عُمِّيَ	يُعَمَّى
عمي	عَمِيَ	يَعْمَى	-	-
عن	عَنَّ	يَعُنُّ	عُنَّ	يُعَنُّ
عنتر	عَنْتَرَ	يُعَنْتِرُ	عُنْتِرَ	يُعَنْتَرُ
عند	عَنِدَ	يَعْنَدُ	-	-
عنعن	عَنْعَنَ	يُعَنْعِنُ	عُنْعِنَ	يُعَنْعَنُ
عنق	عَنَّقَ	يُعَنِّقُ	عُنِّقَ	يُعَنَّقُ
عنى	عَنَى	يَعْنِي	عُنِيَ	يُعْنَى
عني	عَنِيَ	يَعْنَى	عُنِيَ	يُعْنَى
عهد	عَهِدَ	يَعْهَدُ	عُهِدَ	يُعْهَدُ
عهر	عَهِرَ	يَعْهَرُ	-	-
عهن	عَهَنَ	يَعْهُنُ	عُهِنَ	يُعْهَنُ
عوج	عَوَّجَ	يُعَوِّجُ	عُوِّجَ	يُعَوَّجُ
عور	عَوَّرَ	يُعَوِّرُ	عُوِّرَ	يُعَوَّرُ
عوض	عَوَّضَ	يُعَوِّضُ	عُوِّضَ	يُعَوَّضُ
عوق	عَوَّقَ	يُعَوِّقُ	عُوِّقَ	يُعَوَّقُ
عولم	عَوْلَمَ	يُعَوْلِمُ	عُولِمَ	يُعَوْلَمُ
عوى	عَوَى	يَعْوِي	عُوِيَ	يُعْوَى
عيب	عَيَّبَ	يُعَيِّبُ	عُيِّبَ	يُعَيَّبُ
عيد	عَيَّدَ	يُعَيِّدُ	عُيِّدَ	يُعَيَّدُ
عير	عَيَّرَ	يُعَيِّرُ	عُيِّرَ	يُعَيَّرُ
عيش	عَيَّشَ	يُعَيِّشُ	عُيِّشَ	يُعَيَّشُ
عيط	عَيَّطَ	يُعَيِّطُ	عُيِّطَ	يُعَيَّطُ
عين	عَيَّنَ	يُعَيِّنُ	عُيِّنَ	يُعَيَّنُ
غاب	غَابَ	يَغِيبُ	غِيبَ	يُغَابُ
غاث	غَاثَ	يَغُوثُ	غِيثَ	يُغَاثُ
غادر	غَادَرَ	يُغَادِرُ	غُودِرَ	يُغَادَرُ
غار	غَارَ	يَغَارُ	غِيرَ	يُغَارُ
غاص	غَاصَ	يَغُوصُ	-	-
غاظ	غَاظَ	يَغِيظُ	غِيظَ	يُغَاظُ
غاف	غَافَ	يَغِيفُ	-	-
غافل	غَافَلَ	يُغَافِلُ	غُوفِلَ	يُغَافَلُ
غالب	غَالَبَ	يُغَالِبُ	غُولِبَ	يُغَالَبُ
غالط	غَالَطَ	يُغَالِطُ	غُولِطَ	يُغَالَطُ
غام	غَامَ	يَغِيمُ	-	-
غامر	غَامَرَ	يُغَامِرُ	غُومِرَ	يُغَامَرُ
غايا	غَايَا	يُغَايِي	غُويِيَ	يُغَايَا
غاير	غَايَرَ	يُغَايِرُ	غُويِرَ	يُغَايَرُ
غب	غَبَّ	يَغُبُّ	غُبَّ	يُغَبُّ
غبب	غَبَّبَ	يُغَبِّبُ	غُبِّبَ	يُغَبَّبُ
غبط	غَبِطَ	يَغْبَطُ	غُبِطَ	يُغْبَطُ
غبن	غَبَنَ	يَغْبِنُ	غُبِنَ	يُغْبَنُ
غبي	غَبِيَ	يَغْبَى	غُبِيَ	يُغْبَى
غدا	غَدَا	يَغْدُو	غُدِيَ	يُغْدَى
غدر	غَدَرَ	يَغْدُرُ	غُدِرَ	يُغْدَرُ
غدق	غَدِقَ	يَغْدَقُ	-	-
غذا	غَذَا	يَغْذُو	غُذِيَ	يُغْذَى
غذى	غَذَّى	يُغَذِّي	غُذِّيَ	يُغَذَّى
غر	غَرَّ	يَغُرُّ	غُرَّ	يُغَرُّ
غرا	غَرَا	يَغْرُو	غُرِيَ	يُغْرَى
غرب	غَرَّبَ	يُغَرِّبُ	غُرِّبَ	يُغَرَّبُ
غربل	غَرْبَلَ	يُغَرْبِلُ	غُرْبِلَ	يُغَرْبَلُ
غرد	غَرَّدَ	يُغَرِّدُ	غُرِّدَ	يُغَرَّدُ
غرز	غَرَزَ	يَغْرِزُ	غُرِزَ	يُغْرَزُ
غرس	غَرَسَ	يَغْرِسُ	غُرِسَ	يُغْرَسُ
غرض	غَرَّضَ	يُغَرِّضُ	غُرِّضَ	يُغَرَّضُ
غرغر	غَرْغَرَ	يُغَرْغِرُ	غُرْغِرَ	يُغَرْغَرُ
غرف	غَرَفَ	يَغْرُفُ	غُرِفَ	يُغْرَفُ
غرق	غَرَّقَ	يُغَرِّقُ	غُرِّقَ	يُغَرَّقُ
غرقل	غَرْقَلَ	يُغَرْقِلُ	-	-
غرم	غَرَّمَ	يُغَرِّمُ	غُرِّمَ	يُغَرَّمُ
غرى	غَرَّى	يُغَرِّي	غُرِّيَ	يُغَرَّى
