# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
أرتب	أَرْتَبَ	يُرْتِبُ	أُرْتِبَ	يُرْتَبُ
أرجأ	أَرْجَأَ	يُرْجِئُ	أُرْجِئَ	يُرْجَأُ
أرجف	أَرْجَفَ	يُرْجِفُ	أُرْجِفَ	يُرْجَفُ
أرجى	أَرْجَى	يُرْجِي	أُرْجِيَ	يُرْجَى
أرخ	أَرَّخَ	يُؤَرِّخُ	أُرِّخَ	يُؤَرَّخُ
أرخى	أَرْخَى	يُرْخِي	أُرْخِيَ	يُرْخَى
أردف	أَرْدَفَ	يُرْدِفُ	أُرْدِفَ	يُرْدَفُ
أردن	أَرْدَنَ	يُؤَرْدِنُ	أُرْدِنَ	يُؤَرْدَنُ
أردى	أَرْدَى	يُرْدِي	أُرْدِيَ	يُرْدَى
أرذل	أَرْذَلَ	يُرْذِلُ	أُرْذِلَ	يُرْذَلُ
أرز	أَرَزَّ	يُرِزُّ	أُرِزَّ	يُرَزُّ
أرسب	أَرْسَبَ	يُرْسِبُ	أُرْسِبَ	يُرْسَبُ
أرسخ	أَرْسَخَ	يُرْسِخُ	أُرْسِخَ	يُرْسَخُ
أرسل	أَرْسَلَ	يُرْسِلُ	أُرْسِلَ	يُرْسَلُ
أرسى	أَرْسَى	يُرْسِي	أُرْسِيَ	يُرْسَى
أرشد	أَرْشَدَ	يُرْشِدُ	أُرْشِدَ	يُرْشَدُ
أرشف	أَرْشَفَ	يُؤَرْشِفُ	أُرْشِفَ	يُؤَرْشَفُ
أرض	أَرَّضَ	يُؤَرِّضُ	أُرِّضَ	يُؤَرَّضُ
أرضع	أَرْضَعَ	يُرْضِعُ	أُرْضِعَ	يُرْضَعُ
أرضى	أَرْضَى	يُرْضِي	أُرْضِيَ	يُرْضَى
أرعب	أَرْعَبَ	يُرْعِبُ	أُرْعِبَ	يُرْعَبُ
أرعد	أَرْعَدَ	يُرْعِدُ	أُرْعِدَ	يُرْعَدُ
أرغم	أَرْغَمَ	يُرْغِمُ	أُرْغِمَ	يُرْغَمُ
أرغن	أَرْغَنَ	يُرْغِنُ	أُرْغِنَ	يُرْغَنُ
أرفض	أَرْفَضَ	يُرْفِضُ	أُرْفِضَ	يُرْفَضُ
أرفق	أَرْفَقَ	يُرْفِقُ	أُرْفِقَ	يُرْفَقُ
أرق	أَرَّقَ	يُؤَرِّقُ	أُرِّقَ	يُؤَرَّقُ
أرقد	أَرْقَدَ	يُرْقِدُ	أُرْقِدَ	يُرْقَدُ
أركس	أَرْكَسَ	يُرْكِسُ	أُرْكِسَ	يُرْكَسُ
أركض	أَرْكَضَ	يُرْكِضُ	-	-
أرمل	أَرْمَلَ	يُرْمِلُ	-	-
أرهب	أَرْهَبَ	يُرْهِبُ	أُرْهِبَ	يُرْهَبُ
أرهف	أَرْهَفَ	يُرْهِفُ	أُرْهِفَ	يُرْهَفُ
أرهق	أَرْهَقَ	يُرْهِقُ	أُرْهِقَ	يُرْهَقُ
أروح	أَرْوَحَ	يُرْوِحُ	-	-
أرى	أَرَى	يُرِي	أُرِيَ	يُرَى
أري	أَرِيَ	يَأْرَى	-	-
أزأم	أَزْأَمَ	يُزْئِمُ	أُزْئِمَ	يُزْأَمُ
أزاح	أَزَاحَ	يُزِيحُ	أُزِيحَ	يُزَاحُ
أزال	أَزَالَ	يُزِيلُ	أُزِيلَ	يُزَالُ
أزر	أَزَّرَ	يُؤَزِّرُ	أُزِّرَ	يُؤَزَّرُ
أزرع	أَزْرَعَ	يُزْرِعُ	أُزْرِعَ	يُزْرَعُ
أزرى	أَزْرَى	يُزْرِي	أُزْرِيَ	يُزْرَى
أزعج	أَزْعَجَ	يُزْعِجُ	أُزْعِجَ	يُزْعَجُ
أزعل	أَزْعَلَ	يُزْعِلُ	أُزْعِلَ	يُزْعَلُ
أزلف	أَزْلَفَ	يُزْلِفُ	أُزْلِفَ	يُزْلَفُ
أزهر	أَزْهَرَ	يُزْهِرُ	-	-
أزهق	أَزْهَقَ	يُزْهِقُ	أُزْهِقَ	يُزْهَقُ
أسأم	أَسْأَمَ	يُسْئِمُ	أُسْئِمَ	يُسْأَمُ
أساء	أَسَاءَ	يُسِيءُ	أُسِيءَ	يُسَاءُ
أسبغ	أَسْبَغَ	يُسْبِغُ	أُسْبِغَ	يُسْبَغُ
أسبن	أَسْبَنَ	يُؤَسْبِنُ	أُسْبِنَ	يُؤَسْبَنُ
أسحق	أَسْحَقَ	يُسْحِقُ	أُسْحِقَ	يُسْحَقُ
أسخط	أَسْخَطَ	يُسْخِطُ	أُسْخِطَ	يُسْخَطُ
أسد	أَسَدَّ	يُسِدُّ	أُسِدَّ	يُسَدُّ
أسدل	أَسْدَلَ	يُسْدِلُ	أُسْدِلَ	يُسْدَلُ
أسدى	أَسْدَى	يُسْدِي	أُسْدِيَ	يُسْدَى
أسر	أَسَرَّ	يُسِرُّ	أُسِرَّ	يُسَرُّ
أسرج	أَسْرَجَ	يُسْرِجُ	أُسْرِجَ	يُسْرَجُ
أسرع	أَسْرَعَ	يُسْرِعُ	أُسْرِعَ	يُسْرَعُ
أسرف	أَسْرَفَ	يُسْرِفُ	أُسْرِفَ	يُسْرَفُ
أسرل	أَسْرَلَ	يُؤَسْرِلُ	أُسْرِلَ	يُؤَسْرَلُ
أسرى	أَسْرَى	يُسْرِي	أُسْرِيَ	يُسْرَى
أسس	أَسَّسَ	يُؤَسِّسُ	أُسِّسَ	يُؤَسَّسُ
أسعد	أَسْعَدَ	يُسْعِدُ	أُسْعِدَ	يُسْعَدُ
أسعف	أَسْعَفَ	يُسْعِفُ	أُسْعِفَ	يُسْعَفُ
أسف	أَسَفَّ	يُسِفُّ	أُسِفَّ	يُسَفُّ
أسفر	أَسْفَرَ	يُسْفِرُ	أُسْفِرَ	يُسْفَرُ
أسقط	أَسْقَطَ	يُسْقِطُ	أُسْقِطَ	يُسْقَطُ
أسقى	أَسْقَى	يُسْقِي	أُسْقِيَ	يُسْقَى
أسكر	أَسْكَرَ	يُسْكِرُ	أُسْكِرَ	يُسْكَرُ
