# lemma	class (uje a i et-i et-eji ne)
vyletět	et-i
vyleštit	i
vyležet	et-i
vylichotit	i
vylichvařit	i
vylichvit	i
vylidnit	i
vylinout	ne
vylišit	i
vylodit	i
vylopotit	i
vyloudit	i
vyloupit	i
vyloučit	i
vyloužit	i
vyložit	i
vyluštit	i
vyláteřit	i
vyléčit	i
vylíčit	i
vymanit	i
vymanout	ne
vymarnit	i
vymarodit	i
vymastit	i
vymazlit	i
vymaškarádit	i
vymaškařit	i
vymejšlet	et-i
vymerčit	i
vyminout	ne
vymizet	et-i
vymladit	i
vymlácet	et-i
vymlátit	i
vymlčet	et-i
vymnout	ne
vymodlit	i
vymodřit	i
vymozolit	i
vymočit	i
vymořit	i
vymrazit	i
vymračit	i
vymručet	et-i
vymrštit	i
vymučit	i
vymydlit	i
vymyslit	i
vymámit	i
vymáčet	et-i
vymínit	i
vymísit	i
vymístit	i
vymódit	i
vymýtit	i
vymýšlet	et-i
vymědlit	i
vyměnit	i
vyměřit	i
vynachválit	i
vynacházet	et-i
vynahledět	et-i
vynahradit	i
vynaložit	i
vynasnažit	i
vynasytit	i
vynatěšit	i
vynosit	i
vynořit	i
vynutit	i
vynášet	et-i
vyoblit	i
vyobloučit	i
vyosit	i
vyoslit	i
vyostřit	i
vypachtit	i
vypartykařit	i
vyparádit	i
vypařit	i
vypažit	i
vypelešit	i
vypentlit	i
vyperlit	i
vypestřit	i
vypeřit	i
vypištět	et-i
vyplachtit	i
vyplanit	i
vyplanout	ne
vyplatit	i
vyplavčit	i
vyplavět	et-i
vyplazit	i
vyplašit	i
vyplemenit	i
vyplenit	i
vyplevelit	i
vyplešatět	et-i
vypleštit	i
vyplichtit	i
vyplnit	i
vyplodit	i
vyploužit	i
vyplynout	ne
vyplácet	et-i
vyplísnit	i
vyplížit	i
vypobízet	et-i
vypodložit	i
vypodobnit	i
vypodsadit	i
vypohlavčit	i
vypohodit	i
vypojit	i
vypoklidit	i
vypoklízet	et-i
vypolštářit	i
vypopelit	i
vyporoučet	et-i
vyporážet	et-i
vypostit	i
vypotit	i
vypotácet	et-i
vypoulet	et-i
vypoulit	i
vypouzdřit	i
vypouzet	et-i
vypoučet	et-i
vypouštět	et-i
vypočinout	ne
vypramenit	i
vyprasečit	i
vyprasit	i
vypražit	i
vyprdět	et-i
vyprocházet	et-i
vyprosit	i
vyprostit	i
vyproudit	i
vyprovodit	i
vyprovázet	et-i
vyprudit	i
vypružit	i
vypryštit	i
vyprávět	et-i
vyprázdnit	i
vyprášet	et-i
vyprášit	i
vyprýštit	i
vypršet	et-i
vypudit	i
vypulit	i
vypustit	i
vypučet	et-i
vypytlačit	i
vypálit	i
vypáčit	i
vypídit	i
vypíjet	et-i
vypíčit	i
vypěnit	i
vypěstit	i
vypřímit	i
vypůjčit	i
vyrachotit	i
vyradit	i
vyrazit	i
vyrašit	i
vyrdousit	i
vyrejdit	i
vyrepetit	i
vyrobotit	i
vyrochňat	a
vyrodit	i
vyrojit	i
vyronit	i
vyrosit	i
vyrotit	i
vyroubit	i
vyrozprávět	et-i
vyrozumět	et-i
vyrušit	i
vyrybnit	i
vyrychlit	i
vyrábět	et-i
vyráčit	i
vyrážet	et-i
vysadit	i
vysedět	et-i
vysemenit	i
vyskeřit	i
vyskladnit	i
vyskotačit	i
vyskočit	i
vyskružit	i
vyskučet	et-i
vysladit	i
vyslanit	i
vyslepičit	i
vyslinit	i
vysloužit	i
vyslunit	i
vyslyšet	et-i
vyslzet	et-i
vyslídit	i
vysmažit	i
vysmejčit	i
vysmolit	i
vysmradit	i
vysmutnit	i
vysmýčit	i
vysnažit	i
vysněžit	i
vysolit	i
vysoptit	i
vysoudit	i
vysouložit	i
vysoustružit	i
vysoutěžit	i
vysoušet	et-i
vysrážet	et-i
vysršet	et-i
vystavět	et-i
vystačit	i
vystoupit	i
vystrašit	i
vystražit	i
vystrmět	et-i
vystrnadit	i
vystrnout	ne
vystrojit	i
vystroužit	i
vystružit	i
vystrájet	et-i
vystrčit	i
vystudit	i
vystájit	i
vystínit	i
vystředit	i
vystřelit	i
vystřežit	i
vystříbřit	i
vystřílet	et-i
vystřízlivět	et-i
vysunout	ne
vysupět	et-i
vysušit	i
vysviňačit	i
vysvobodit	i
vysvítit	i
vysvědčit	i
vysvětit	i
vysvětlit	i
vysyčet	et-i
vysázet	et-i
vysídlit	i
vysílit	i
vysířit	i
vytanout	ne
vytančit	i
vytarasit	i
vytasit	i
vytaškařit	i
vytelit	i
vytenčit	i
vyteplit	i
vytesknit	i
vytlačit	i
vytlumit	i
vytlumočit	i
vytláčet	et-i
vytmelit	i
vytnout	ne
vytonout	ne
vytoužit	i
vytočit	i
vytratit	i
vytrolit	i
vytroubit	i
vytrousit	i
vytrpět	et-i
vytrácet	et-i
vytrápit	i
vytrávit	i
vytrčet	et-i
vytrčit	i
vytunit	i
vytučnit	i
vytušit	i
vytužit	i
vytvořit	i
vytvrdit	i
vytvářet	et-i
vytvářit	i
vytyčit	i
vytápět	et-i
vytáčet	et-i
vytísnit	i
vytížit	i
vytýčit	i
vytěsnit	i
vytěšit	i
vytěžit	i
vytřeštit	i
vytříbit	i
vytřídit	i
vytříslit	i
vyudit	i
vyuhlit	i
vyučit	i
vyvadit	i
vyvalit	i
vyvanout	ne
vyvařit	i
vyvděčit	i
vyvejřit	i
vyvenčit	i
vyvinit	i
vyvinout	ne
vyvlastnit	i
vyvlnit	i
vyvláčet	et-i
vyvodit	i
vyvolit	i
vyvolnit	i
vyvonět	et-i
vyvoslit	i
vyvozit	i
vyvracet	et-i
vyvraždit	i
vyvrcholit	i
vyvrtět	et-i
vyvrásnit	i
vyvrátit	i
vyvrčet	et-i
vyvršit	i
vyvzdušnit	i
vyvzpomenout	ne
vyvábit	i
vyvádět	et-i
vyválet	et-i
vyválčit	i
vyvánět	et-i
vyvápnit	i
vyvářet	et-i
vyvážet	et-i
vyvážit	i
vyvíjet	et-i
vyvýšit	i
vyvěnit	i
vyvěsit	i
vyvětit	i
vyvětvit	i
vyvětřit	i
vyvěřit	i
vyvěštit	i
vyvěžit	i
vyvřeštět	et-i
vyzahálet	et-i
vyzaplatit	i
vyzbrojit	i
vyzdravět	et-i
vyzjistit	i
vyzkoušet	et-i
vyzkusit	i
vyzlatit	i
vyzměnit	i
vyznačit	i
vyzpružit	i
vyzradit	i
vyzrnit	i
vyzrušit	i
vyzrázet	et-i
vyztužit	i
vyzuřit	i
vyzvonit	i
vyzvracet	et-i
vyzvrátit	i
vyzvučet	et-i
vyzvánět	et-i
vyzváňat	a
vyzápasit	i
vyzávodit	i
vyzářit	i
vyúpět	et-i
vyústit	i
vyčalounit	i
vyčernit	i
vyčeřit	i
vyčinit	i
vyčistit	i
vyčiřit	i
vyčišet	et-i
vyčlenit	i
vyčmoudit	i
vyčmudit	i
vyčnět	et-i
vyčoudit	i
vyčpět	et-i
vyčudit	i
vyčíslit	i
vyřadit	i
vyřehnit	i
vyřezbařit	i
vyřečnit	i
vyřešit	i
vyřinout	ne
vyřádit	i
vyřídit	i
vyříjet	et-i
vyřítit	i
vyšantročit	i
vyšatit	i
vyšašit	i
vyšedit	i
vyšejdit	i
vyšetřit	i
vyšidit	i
vyšinout	ne
vyškeřit	i
vyšklíbit	i
vyškolit	i
vyškotit	i
vyškudlit	i
vyškvařit	i
vyškvířit	i
vyšlechtit	i
vyšmejdit	i
vyšmelinařit	i
vyšmelit	i
vyšnořit	i
vyšpendlit	i
vyšpinit	i
vyšpičatit	i
vyšpoulit	i
vyšprýmařit	i
vyšpulit	i
vyšramotit	i
vyštípit	i
vyštěrbit	i
vyšubelit	i
vyšulit	i
vyšumařit	i
vyšumět	et-i
vyšupajdit	i
vyšustit	i
vyšvadronit	i
vyšveholit	i
vyšvitořit	i
vyšálit	i
vyšňořit	i
vyžadonit	i
vyžebronit	i
vyžehlit	i
vyželet	et-i
vyženit	i
vyžlutit	i
vyžnout	ne
vyžulit	i
vyžvanit	i
vyžíznit	i
vyžďářit	i
vzbouzet	et-i
vzbouřit	i
vzbočit	i
vzbudit	i
vzchodit	i
vzchytit	i
vzcházet	et-i
vzdušnit	i
vzdušnět	et-i
vzdálit	i
vzepnout	ne
vzestrmět	et-i
vzezvučet	et-i
vzhlížet	et-i
vzklenout	ne
vzklíčit	i
vzkvasit	i
vzkynout	ne
vzkypět	et-i
vzkypřit	i
vzkřísit	i
vzletět	et-i
vzlítit	i
vzmocnit	i
vzmužit	i
vznášet	et-i
vznítit	i
vzpažit	i
vzpeřit	i
vzplamenit	i
vzplamenět	et-i
vzplanout	ne
vzplynout	ne
vzpomenout	ne
vzpouzet	et-i
vzpružit	i
vzpudit	i
vzpurnět	et-i
vzpučet	et-i
vzpěnit	i
vzpřažit	i
vzpřímit	i
vzpříčit	i
vzrcadlit	i
vzrojit	i
vzrušit	i
vzteklit	i
vztyčit	i
vztýčit	i
vzácnět	et-i
vzúpět	et-i
vzříjet	et-i
vzšumět	et-i
vábit	i
válet	et-i
válčit	i
vápenatět	et-i
vápeničit	i
vápenět	et-i
vápnit	i
vášnit	i
vášnivět	et-i
vážit	i
vážnět	et-i
vévodit	i
víjet	et-i
vítězit	i
vířit	i
vústit	i
východovatět	et-i
výdělkařit	i
výletit	i
výměničit	i
výměnkařit	i
výtvarničit	i
vývodit	i
výřit	i
včelařit	i
včlenit	i
vědařit	i
věnčit	i
věsit	i
věstit	i
větit	i
větroplašit	i
větvit	i
větřit	i
většit	i
vězet	et-i
věznit	i
věřit	i
věšet	et-i
věštit	i
věžit	i
vřadit	i
vředovatět	et-i
vřetězit	i
vřeštět	et-i
vřinout	ne
vřítit	i
všantročit	i
všednět	et-i
všemurozumět	et-i
všinout	ne
vštípit	i
všumět	et-i
všustit	i
vžehlit	i
vženit	i
zababušit	i
zababčit	i
zabafčit	i
zabahnit	i
zabahnět	et-i
zabaletit	i
zabalit	i
zabaranit	i
zabarvit	i
zabasamtit	i
zabasantit	i
zabasaremtetit	i
zabatolit	i
zabažit	i
zabednit	i
zabejčit	i
zabendit	i
zaberanit	i
zabezpečit	i
zabečet	et-i
zablahořečit	i
zablažit	i
zablešit	i
zabloudit	i
zablouznit	i
zablyštět	et-i
zablábolit	i
zablátit	i
zabláznit	i
zablýštět	et-i
zabolet	et-i
zabordelit	i
zaboudit	i
zabouřit	i
zabočit	i
zabořit	i
zabrebentit	i
zabrejlit	i
zabrečet	et-i
zabrigádničit	i
zabrnět	et-i
zabrousit	i
zabruslit	i
zabručet	et-i
zabrzdit	i
zabránit	i
zabrázdit	i
zabsolutnit	i
zabsolutnět	et-i
zabstraktnit	i
zabstraktnět	et-i
zabsurdnit	i
zabubačit	i
zabulit	i
zaburácet	et-i
zabučet	et-i
zabuřenět	et-i
zabušit	i
zabydlet	et-i
zabzučet	et-i
zabánit	i
zabásnit	i
zabáňat	a
zabíjet	et-i
zabílit	i
zabělet	et-i
zabělit	i
zaběsnit	i
zabřinčet	et-i
zacedit	i
zacelit	i
zacenit	i
zachladit	i
zachlácholit	i
zachmouřit	i
zachmuřit	i
zachmýřit	i
zachodit	i
zachoulit	i
zachovat	a
zachořet	et-i
zachramostit	i
zachraptět	et-i
zachrastit	i
zachrnět	et-i
zachroptit	i
zachroptět	et-i
zachrunět	et-i
zachrustět	et-i
zachránit	i
zachrčet	et-i
zachumelit	i
zachuravět	et-i
zachvácet	et-i
zachvátit	i
zachvět	et-i
zachytit	i
zachytračit	i
zacházet	et-i
zachřestit	i
zacigánit	i
zacikánit	i
zacivět	et-i
zaclonit	i
zaclánět	et-i
zacmudit	i
zacpat	a
zacrnčet	et-i
zacrčet	et-i
zaculit	i
zacvičit	i
zacvrnčet	et-i
zacvrčet	et-i
zacyklit	i
zacílit	i
zacítit	i
zadarebačit	i
zadařit	i
zademokratit	i
zadeštit	i
zadivočet	et-i
zadlužit	i
zadláždit	i
zadostiučinit	i
zadostičinit	i
zadostučinit	i
zadostčinit	i
zadovádět	et-i
zadrdolit	i
zadrmolit	i
zadrnit	i
zadrnčet	et-i
zadrtit	i
zadružit	i
zadrčet	et-i
zadržet	et-i
zadunět	et-i
zadurdit	i
zadusit	i
zadušit	i
zadychtit	i
zadálit	i
zadávit	i
zadýmit	i
zadědit	i
zaděsit	i
zafajfčit	i
zafajčit	i
zafajřit	i
zafandit	i
zafialovět	et-i
zafičet	et-i
zaforotit	i
zafotit	i
zafounět	et-i
zafrajeřit	i
zafrnčet	et-i
zafrnět	et-i
zafrčet	et-i
zafunkcionařit	i
zafunět	et-i
zafuriantit	i
zafučet	et-i
zahalasit	i
zahalit	i
zahanbit	i
zaharašit	i
zahartusit	i
zahasit	i
zahatit	i
zahejřit	i
zahemžit	i
zahihnit	i
zahihňat	a
zahladit	i
zahladovět	et-i
zahlaholit	i
zahledět	et-i
zahlenit	i
zahlinit	i
zahlomozit	i
zahloubit	i
zahložit	i
zahltit	i
zahlučet	et-i
zahlušit	i
zahlásit	i
zahlížet	et-i
zahmouřit	i
zahnojit	i
zahnout	ne
zahnízdit	i
zahodit	i
zahojit	i
zaholit	i
zahonit	i
zahonosit	i
zahorlit	i
zahospodařit	i
zahoubařit	i
zahoulet	et-i
zahovořit	i
zahořet	et-i
zahořčit	i
zahradit	i
zahradničit	i
zahranit	i
zahraničit	i
zahraždit	i
zahrdlit	i
zahrnout	ne
zahrotit	i
zahroužit	i
zahrádkařit	i
zahrčet	et-i
zahubačit	i
zahubnit	i
zahubácet	et-i
zahuhňat	a
zahulit	i
zahustit	i
zahutnit	i
zahučet	et-i
zahviždět	et-i
zahynout	ne
zahájit	i
zahálet	et-i
zahálčit	i
zahánět	et-i
zaházet	et-i
zaháčit	i
zahášet	et-i
zahýřit	i
zahřešit	i
zahřmotit	i
zahřmět	et-i
zahřížit	i
zainkoustit	i
zajezdit	i
zaječet	et-i
zaježit	i
zajiskřit	i
zajistit	i
zajitřit	i
zajizvit	i
zajínit	i
zajíšit	i
zajíždět	et-i
zakabonit	i
zakabousit	i
zakademičtit	i
zakademičtět	et-i
zakadeřit	i
zakadit	i
zakalit	i
zakanout	ne
zakantořit	i
zakančit	i
zakarbanit	i
zakeťasit	i
zaklenout	ne
zaklestit	i
zaklevetit	i
zaklikatit	i
zaklnout	ne
zaklonit	i
zakloubit	i
zaklovat	a
zaklábosit	i
zaklánět	et-i
zaklápět	et-i
zaklátit	i
zaklínit	i
zaklíčit	i
zaklíštit	i
zaklížit	i
zakmenit	i
zakničet	et-i
zaknotit	i
zakohoutit	i
zakolit	i
zakončit	i
zakoptit	i
zakosit	i
zakotoulet	et-i
zakotvit	i
zakotálet	et-i
zakoulet	et-i
zakoupit	i
zakouzlit	i
zakouřit	i
zakoušet	et-i
zakovat	a
zakořenit	i
zakrabatit	i
zakramařit	i
zakreslit	i
zakrnět	et-i
zakrojit	i
zakroutit	i
zakroužit	i
zakročit	i
zakručet	et-i
zakrvavět	et-i
zakrvácet	et-i
zakrákořit	i
zakrápět	et-i
zakrátit	i
zakráčet	et-i
zakrčit	i
zaktivnit	i
zaktivnět	et-i
zaktuálnit	i
zaktuálnět	et-i
zakubelit	i
zakudlit	i
zakudrnatit	i
zakudrnatět	et-i
zakuklit	i
zakulatit	i
zakulatět	et-i
zakulit	i
zakuláčet	et-i
zakusit	i
zakutalit	i
zakutit	i
zakutálet	et-i
zakvasit	i
zakvičet	et-i
zakvášet	et-i
zakvílet	et-i
zakymácet	et-i
zakynout	ne
zakypět	et-i
zakyselit	i
zakálet	et-i
zakňučet	et-i
zakřenit	i
zakřepčit	i
zakřičet	et-i
zakřídlit	i
zakřížit	i
zalahodit	i
zalajdačit	i
zalednit	i
zalenošit	i
zalesnit	i
zaletnit	i
zaletět	et-i
zaleštit	i
zaležet	et-i
zalichotit	i
zalichvařit	i
zalidnit	i
zalistit	i
zalnout	ne
zalomozit	i
zaloudit	i
založit	i
zalumpačit	i
zalučnit	i
zaluštit	i
zalyžařit	i
zaláteřit	i
zaléčit	i
zalíbit	i
zalícit	i
zalítostnit	i
zalíčit	i
zamanout	ne
zamarodit	i
zamastit	i
zamazlit	i
zamechovatět	et-i
zamečet	et-i
zamhouřit	i
zamladit	i
zamlaštět	et-i
zamlátit	i
zamlčet	et-i
zamlžit	i
zamnout	ne
zamodřit	i
zamokřit	i
zamounit	i
zamoučit	i
zamoučnit	i
zamočit	i
zamořit	i
zamravenčit	i
zamrazit	i
zamračit	i
zamrholit	i
zamrnět	et-i
zamručet	et-i
zamrzet	et-i
zamrčet	et-i
zamrštit	i
zamuškařit	i
zamydlit	i
zamyslit	i
zamáčet	et-i
zamínit	i
zamísit	i
zamířit	i
zamútit	i
zamýšlet	et-i
zaměnit	i
zaměřit	i
zamňučet	et-i
zanelíbit	i
zanenávidět	et-i
zaneprázdnit	i
zanevražit	i
zaneřádit	i
zanešvařit	i
zanimrodit	i
zanotit	i
zanořit	i
zanožit	i
zanutit	i
zanášet	et-i
zanítit	i
zaněmčit	i
zaobalit	i
zaoblačit	i
zaoblit	i
zaobloučit	i
zaobroubit	i
zaochotničit	i
zaokrouhlit	i
zaolovnit	i
zaonačit	i
zaopatřit	i
zaopičit	i
zaostřit	i
zaotálet	et-i
zapanikařit	i
zapantlit	i
zapartykařit	i
zapatřit	i
zapařit	i
zapažit	i
zapejřit	i
zapeklit	i
zapelešit	i
zapentlit	i
zapepřit	i
zaperlit	i
zapestřit	i
zapevnit	i
zapečetit	i
zapeřit	i
zapitvořit	i
zapištět	et-i
zaplachtit	i
zaplanout	ne
zaplatit	i
zaplavčit	i
zaplašit	i
zaplemenit	i
zaplesnivět	et-i
zapletichařit	i
zaplevelit	i
zapleštit	i
zaplnit	i
zaplodit	i
zaplotit	i
zaplstit	i
zaplužit	i
zaplynout	ne
zaplácet	et-i
zaplísnit	i
zapodpořit	i
zapodvracet	et-i
zapojit	i
zapoletět	et-i
zapomenout	ne
zapomnět	et-i
zapopelit	i
zaporoučet	et-i
zaporučit	i
zapotit	i
zapotácet	et-i
zapoustevničit	i
zapouzdřit	i
zapouzet	et-i
zapouštět	et-i
zapovíjet	et-i
zapozdit	i
zaprasit	i
zapraštět	et-i
zapražit	i
zaprdět	et-i
zaprosit	i
zaprotiřečit	i
zaproudit	i
zaprudit	i
zapružit	i
zaprášit	i
zaprýštit	i
zapršet	et-i
zapudit	i
zapustit	i
zapučet	et-i
zapylit	i
zapytlačit	i
zapyšnit	i
zapyšnět	et-i
zapájet	et-i
zapálit	i
zapáčit	i
zapářit	i
zapíjet	et-i
zapýřit	i
zapěnit	i
zapěstit	i
zapřednášet	et-i
zapřemýšlet	et-i
zapříčinit	i
zapříčit	i
zapůjčit	i
zarachotit	i
zaradikálničit	i
zarafičit	i
zarakvit	i
zarandit	i
zarazit	i
zarašit	i
zardousit	i
zarebelantit	i
zarejdit	i
zarejholit	i
zarepetit	i
zarezavět	et-i
zarezivět	et-i
zarmoutit	i
zarochnit	i
zarodit	i
zarojit	i
zaronit	i
zaropotit	i
zarotit	i
zaroubit	i
zarozprávět	et-i
zarošťačit	i
zarudnět	et-i
zaruměnit	i
zaruměnět	et-i
zaručit	i
zarušit	i
zarybařit	i
zarybnit	i
zaryčet	et-i
zarábět	et-i
zaráčit	i
zarážet	et-i
zarůžovatět	et-i
zarůžovět	et-i
zasadit	i
zasebevraždit	i
zasedlačit	i
zasedět	et-i
zasinavět	et-i
zaskladnit	i
zasklenit	i
zaskotačit	i
zaskočit	i
zaskučet	et-i
zaskvrnit	i
zaskvět	et-i
zaskřeholit	i
zaskřečet	et-i
zaskřípět	et-i
zaslinit	i
zaslnit	i
zaslonit	i
zasloužit	i
zaslunit	i
zaslyšet	et-i
zaslzet	et-i
zaslánět	et-i
zaslíbit	i
zaslídit	i
zasmažit	i
zasmolit	i
zasmoušit	i
zasmradit	i
zasmrdět	et-i
zasmutit	i
zasmutnit	i
zasmutnět	et-i
zasmušit	i
zasmýčit	i
zasměrnit	i
zasnoplit	i
zasnoubit	i
zasnout	ne
zasnovat	a
zasněžit	i
zasolit	i
zasoplit	i
zasoptit	i
zasouhlasit	i
zasouložit	i
zasoupeřit	i
zasoutěžit	i
zaspořit	i
zasprosťačit	i
zasrčet	et-i
zasršet	et-i
zastanout	ne
zastavět	et-i
zastesknit	i
zastkvět	et-i
zastolařit	i
zastoupit	i
zastrakatit	i
zastrašit	i
zastrojit	i
zastrčit	i
zastudenit	i
zastudit	i
zastydět	et-i
zastínit	i
zastřelit	i
zastřešit	i
zastříbrnět	et-i
zastříbřit	i
zastřílet	et-i
zasunout	ne
zasupět	et-i
zasvinit	i
zasvištět	et-i
zasvrbět	et-i
zasvévolit	i
zasvíjet	et-i
zasvítit	i
zasvědit	i
zasvědčit	i
zasvětačit	i
zasvětit	i
zasvětlit	i
zasytit	i
zasyčet	et-i
zasázet	et-i
zasídlit	i
zasípět	et-i
zasířit	i
zasýřit	i
zatajit	i
zatalácet	et-i
zatanout	ne
zatančit	i
zatarasit	i
zatartasit	i
zatasit	i
zataškařit	i
zatejnořit	i
zatemnit	i
zatemnět	et-i
zateplit	i
zateremtit	i
zatesklit	i
zatesknit	i
zatetelit	i
zatkvět	et-i
zatlačit	i
zatlumočit	i
zatmelit	i
zatmět	et-i
zatnout	ne
zatonout	ne
zatoužit	i
zatočit	i
zatraktivnit	i
zatratit	i
zatravnatět	et-i
zatravnit	i
zatrnit	i
zatrnout	ne
zatrojčit	i
zatroubit	i
zatrousit	i
zatroškařit	i
zatrpčit	i
zatrpět	et-i
zatrubnit	i
zatruchlit	i
zatrudit	i
zatrudnit	i
zatruhlařit	i
zatrápit	i
zatrávnit	i
zatrčet	et-i
zatrůnit	i
zatulit	i
zatušit	i
zatvořit	i
zatvrdit	i
zatvářit	i
zatábořit	i
zatápět	et-i
zatáčet	et-i
zatísnit	i
zatížit	i
zatěsnit	i
zatěšit	i
zatřeštit	i
zatřpytit	i
zatřídit	i
zatřísnit	i
zaudit	i
zauhlit	i
zauvážit	i
zauzdit	i
zauzlit	i
zauzlovatit	i
zaučit	i
zavadit	i
zavalit	i
zavanout	ne
zavazet	et-i
zavařit	i
zavděčit	i
zavejřit	i
zavelet	et-i
zaveselit	i
zavichřit	i
zavinit	i
zavinout	ne
zavlastenčit	i
zavlažit	i
zavlhčit	i
zavlnit	i
zavláčet	et-i
zavodit	i
zavodnit	i
zavojančit	i
zavolit	i
zavonět	et-i
zavozit	i
zavplácet	et-i
zavracet	et-i
zavraždit	i
zavrcholit	i
zavrnět	et-i
zavroubit	i
zavrtošit	i
zavrtět	et-i
zavrátit	i
zavrčet	et-i
završit	i
zavtipkařit	i
zavtělit	i
zavyvádět	et-i
zavzdušnit	i
zavzteklit	i
zavzácnět	et-i
zavábit	i
zavádět	et-i
zaválet	et-i
zaválčit	i
zavánět	et-i
zavápnit	i
zavázet	et-i
zavářet	et-i
zavážet	et-i
zavážit	i
zavíjet	et-i
zavířit	i
zavčelařit	i
zavčelit	i
zavěnčit	i
zavěsit	i
zavěstit	i
zavětvit	i
zavětřit	i
zavěřit	i
zavěšet	et-i
zavěštit	i
zavřesovatět	et-i
zavřeštět	et-i
zazahálet	et-i
zazakrápět	et-i
zazedničit	i
zazelenit	i
zazemnit	i
zazet	et-i
zazlatit	i
zazlatět	et-i
zazlořečit	i
zaznačit	i
zazračit	i
zazrcadlit	i
zazrušit	i
zazrzavět	et-i
zazurčet	et-i
zazuřit	i
zazvonit	i
zazvučet	et-i
zazvučit	i
zazvánět	et-i
zazvěřit	i
zazávidět	et-i
zazávodit	i
zazářit	i
zaúchylkařit	i
zaúderničit	i
zaúhořit	i
zaúpět	et-i
zaústit	i
zaútočit	i
zaúředničit	i
začadit	i
začepejřit	i
začepýřit	i
začepčit	i
začernit	i
začervenit	i
začeřit	i
začimčařit	i
začinit	i
začistit	i
začišet	et-i
začlenit	i
začmoudit	i
začmudit	i
začoudit	i
začpět	et-i
začtveračit	i
začudit	i
začumět	et-i
začíslit	i
zařadit	i
zařehnit	i
zařeholit	i
zařehonit	i
zařetězit	i
zařezbařit	i
zařečit	i
zařečnit	i
zařeřavět	et-i
zařežavět	et-i
zařinčet	et-i
zařičet	et-i
zařádit	i
zařídit	i
zaříjet	et-i
zašantročit	i
zašedivět	et-i
zašelestit	i
zašepelit	i
zašeredit	i
zašetřit	i
zaševelit	i
zašeřet	et-i
zašeřit	i
zašišatit	i
zaškaredit	i
zašklíbit	i
zaškodit	i
zaškolit	i
zaškolničit	i
zaškotit	i
zaškrtit	i
zaškvařit	i
zaškvičet	et-i
zaškvrnit	i
zaškvrčet	et-i
zaškvířit	i
zaškvěčet	et-i
zaškádlit	i
zašmejdit	i
zašmelinařit	i
zašmelit	i
zašpejlit	i
zašpendlit	i
zašpinit	i
zašpičatit	i
zašpičatět	et-i
zašpoulit	i
zašprýmařit	i
zašpulit	i
zašramotit	i
zaštilipět	et-i
zaštípit	i
zaštítit	i
zaštířit	i
zaštěničit	i
zašumět	et-i
zašupajdit	i
zašupět	et-i
zašustit	i
zašvadronit	i
zašvandronit	i
zašveholit	i
zašvihačit	i
zašvitořit	i
zažadonit	i
zažalostit	i
zažalostnit	i
zažebronit	i
zažehlit	i
zaželet	et-i
zažhavět	et-i
zažihlit	i
zažlutit	i
zažlutět	et-i
zažvanit	i
zažárlit	i
zažíznit	i
zažířit	i
zbabičkovatět	et-i
zbabět	et-i
zbabštět	et-i
zbachratět	et-i
zbaculatět	et-i
zbahnit	i
zbahnět	et-i
zbalamutit	i
zbalit	i
zbambulatět	et-i
zbambulovatět	et-i
zbankrotit	i
zbanálnit	i
zbanálnět	et-i
zbančit	i
zbarbarštět	et-i
zbarvit	i
zbaštit	i
zbezmocnit	i
zbezpečit	i
zbezpečnit	i
zbezradnět	et-i
zbezvýznamnit	i
zblahobytnět	et-i
zblankytnět	et-i
zblažit	i
zblbit	i
zblbět	et-i
zbledět	et-i
zbloudit	i
zblouznivět	et-i
zbláhovět	et-i
zblátivět	et-i
zbláznit	i
zbodřet	et-i
zbodřit	i
zbohatit	i
zbohatět	et-i
zbojničit	i
zbojovnět	et-i
zbojácnět	et-i
zbokatět	et-i
zbolavět	et-i
zbolestnět	et-i
zbolnět	et-i
zbortit	i
zboubelatět	et-i
zbočit	i
zbořit	i
zbožnit	i
zbožštit	i
zbrantovatět	et-i
zbrejlit	i
zbrnět	et-i
zbrodit	i
zbrojit	i
zbronzovět	et-i
zbrotit	i
zbrousit	i
zbrunátnět	et-i
zbrzdit	i
zbránit	i
zbrázdit	i
zbrčit	i
zbubřet	et-i
zbuchtovatět	et-i
zbuclatět	et-i
zbujařet	et-i
zbujařit	i
zbujet	et-i
zbujnit	i
zbujnět	et-i
zbulit	i
zburácet	et-i
zburžoasnět	et-i
zburžoaznět	et-i
zbyrokratičtět	et-i
zbyrokratět	et-i
zbystřit	i
zbytnět	et-i
zbájit	i
zbásnit	i
zbásničtit	i
zbázlivět	et-i
zbídačet	et-i
zbídačit	i
zbídnit	i
zbídnět	et-i
zbíjet	et-i
zbílit	i
zbědačit	i
zbělavět	et-i
zbělet	et-i
zbělit	i
zběsit	i
zběsnit	i
zbředit	i
zbřichatět	et-i
zbřidličnatět	et-i
zbřídit	i
zcelit	i
zcenit	i
zcepenět	et-i
zchachařit	i
zchamradit	i
zchamtit	i
zchatrnět	et-i
zchladit	i
zchladnět	et-i
zchlapečtět	et-i
zchlupatět	et-i
zchlácholit	i
zchmelit	i
zchmouřit	i
zchmurnět	et-i
zchmuřit	i
zchocholit	i
zchodit	i
zchorobnět	et-i
zchoulostivit	i
zchoulostivět	et-i
zchraplavět	et-i
zchraptět	et-i
zchromět	et-i
zchuchvalit	i
zchudačit	i
zchudit	i
zchudobnět	et-i
zchumálet	et-i
zchuravět	et-i
zchutnit	i
zchvácet	et-i
zchvátit	i
