# lemma	class (uje a i et-i et-eji ne)
nadnášet	et-i
nadohánět	et-i
nadojit	i
nadovádět	et-i
nadrandit	i
nadrmolit	i
nadrtit	i
nadráždit	i
nadržet	et-i
nadsadit	i
nadskočit	i
nadstavět	et-i
nadstřešit	i
nadtrhnout	ne
naduřet	et-i
nadvýšit	i
nadychtit	i
nadílet	et-i
nadýmit	i
nadělit	i
nadřadit	i
nadřídit	i
nafintit	i
nafotit	i
nafrajeřit	i
nafunkcionařit	i
nafučet	et-i
nahamonit	i
nahamounit	i
nahartusit	i
nahastrošit	i
nahihňat	a
nahlaholit	i
nahledět	et-i
nahloučit	i
nahlásit	i
nahlížet	et-i
nahmoždit	i
nahniličet	et-i
nahnout	ne
nahodit	i
nahonit	i
nahospodařit	i
nahovořit	i
nahradit	i
nahrnout	ne
nahromadit	i
nahrčet	et-i
nahulit	i
nahustit	i
nahučet	et-i
nahánět	et-i
naházet	et-i
naháňat	a
najednotit	i
najezdit	i
naježit	i
najíždět	et-i
nakabonit	i
nakadeřit	i
nakadit	i
nakazit	i
nakeťasit	i
naklevetit	i
naklidit	i
naklohnit	i
naklonit	i
naklopotit	i
naklánět	et-i
naklápět	et-i
naklátit	i
naklíčit	i
naklížit	i
nakojit	i
nakolejit	i
nakosit	i
nakoulet	et-i
nakoupit	i
nakouřit	i
nakořistit	i
nakrabatit	i
nakramařit	i
nakreslit	i
nakrojit	i
nakroutit	i
nakročit	i
nakrájet	et-i
nakrátit	i
nakráčet	et-i
nakrčit	i
nakuchtit	i
nakvasit	i
nakynout	ne
nakypět	et-i
nakypřit	i
nakácet	et-i
nakálet	et-i
nakřenit	i
nakřičet	et-i
nakřížit	i
naladit	i
nalakotit	i
nalanařit	i
nalenošit	i
nalesnit	i
naletnit	i
naletět	et-i
naleštit	i
naležet	et-i
nalichvařit	i
nalodit	i
nalopotit	i
naloupit	i
nalozit	i
naložit	i
nalíčit	i
namamonit	i
namanout	ne
namarodit	i
namastit	i
namladit	i
namlátit	i
namnožit	i
namodřit	i
namokřit	i
namočit	i
namořit	i
namrazit	i
namračit	i
namučit	i
namydlit	i
namyslit	i
namáčet	et-i
namísit	i
namířit	i
naměřit	i
nanosit	i
nanutit	i
nanášet	et-i
naobtáčet	et-i
naodklízet	et-i
naostřit	i
naotáčet	et-i
napachtit	i
naparádit	i
napařit	i
naplahočit	i
