# lemma	p-sg1	p-sg2	p-sg3	p-du1	p-du2	p-du3	p-pl1	p-pl2	p-pl3	imp2sg	lptcp	supine ("-" = derive)
basirati	basiram	basiraš	basira	basirava	basirata	basirata	basiramo	basirate	basirajo	-	-	-	-	-
bati	bojim	bojiš	boji	bojiva	bojita	bojita	bojimo	bojite	bojijo	boj	-	-	-	-
batinati	batinam	batinaš	batina	batinava	batinata	batinata	batinamo	batinate	batinajo	-	-	-	-	-
bavkati	bavčem	bavčeš	bavče	bavčeva	bavčeta	bavčeta	bavčemo	bavčete	bavčejo	bavči	-	-	-	-
bazirati	baziram	baziraš	bazira	bazirava	bazirata	bazirata	baziramo	bazirate	bazirajo	-	-	-	-	-
beatificirati	beatificiram	beatificiraš	beatificira	beatificirava	beatificirata	beatificirata	beatificiramo	beatificirate	beatificirajo	-	-	-	-	-
bebljati	bebljam	bebljaš	beblja	bebljava	bebljata	bebljata	bebljamo	bebljate	bebljajo	-	-	-	-	-
begati	begam	begaš	bega	begava	begata	begata	begamo	begate	begajo	-	-	-	-	-
beketati	bekečem	bekečeš	bekeče	bekečeva	bekečeta	bekečeta	bekečemo	bekečete	bekečejo	bekeči	-	-	-	-
beneficirati	beneficiram	beneficiraš	beneficira	beneficirava	beneficirata	beneficirata	beneficiramo	beneficirate	beneficirajo	-	-	-	-	-
besežirati	besežiram	besežiraš	besežira	besežirava	besežirata	besežirata	besežiramo	besežirate	besežirajo	-	-	-	-	-
betonirati	betoniram	betoniraš	betonira	betonirava	betonirata	betonirata	betoniramo	betonirate	betonirajo	-	-	-	-	-
bevkati	bevčem	bevčeš	bevče	bevčeva	bevčeta	bevčeta	bevčemo	bevčete	bevčejo	bevči	-	-	-	-
bevskati	bevskam	bevskaš	bevska	bevskava	bevskata	bevskata	bevskamo	bevskate	bevskajo	-	-	-	-	-
bevskniti	bevsknem	bevskneš	bevskne	bevskneva	bevskneta	bevskneta	bevsknemo	bevsknete	bevsknejo	-	-	-	-	-
bevsniti	bevsnem	bevsneš	bevsne	bevsneva	bevsneta	bevsneta	bevsnemo	bevsnete	bevsnejo	-	-	-	-	-
bezati	bezam	bezaš	beza	bezava	bezata	bezata	bezamo	bezate	bezajo	-	-	-	-	-
bezlati	bezlam	bezlaš	bezla	bezlava	bezlata	bezlata	bezlamo	bezlate	bezlajo	-	-	-	-	-
bezljati	bezljam	bezljaš	bezlja	bezljava	bezljata	bezljata	bezljamo	bezljate	bezljajo	-	-	-	-	-
bežati	bežim	bežiš	beži	beživa	bežita	bežita	bežimo	bežite	bežijo	beži	-	-	-	-
biatlonirati	biatloniram	biatloniraš	biatlonira	biatlonirava	biatlonirata	biatlonirata	biatloniramo	biatlonirate	biatlonirajo	-	-	-	-	-
biciklirati	bicikliram	bicikliraš	biciklira	biciklirava	biciklirata	biciklirata	bicikliramo	biciklirate	biciklirajo	-	-	-	-	-
biksati	biksam	biksaš	biksa	biksava	biksata	biksata	biksamo	biksate	biksajo	-	-	-	-	-
