# lemma	p1sg	p3sg	pst1sg	pst3sg	nut	pass-prs	pass-pst	imp2sg ("-" = type-I default)
alivoltittaa	alivoltitan	alivoltittaa	alivoltitin	alivoltitti	alivoltittanut	alivoltitetaan	alivoltittettiin	alivoltita	alivoltittavat	alivoltittakaa	alivoltittaisi	alivoltittanee
alivuokrata	alivuokraan	alivuokraa	alivuokrasin	alivuokrasi	alivuokrannut	alivuokrataan	alivuokrattiin	alivuokraa	alivuokraavat	alivuokratkaa	-	alivuokrannee
alkaa	alan	-	aloin	alkoi	-	aletaan	alettiin	ala	-	-	-	alkanee
alkalisoida	alkalisoin	alkalisoi	alkalisoin	alkalisoi	alkalisoinut	alkalisoidaan	alkalisoitiin	alkalisoi	alkalisoivat	-	-	alkalisoinee
alkaloida	alkaloin	alkaloi	alkaloin	alkaloi	alkaloinut	alkaloidaan	alkaloitiin	alkaloi	alkaloivat	-	-	alkaloinee
alkoholisoida	alkoholisoin	alkoholisoi	alkoholisoin	alkoholisoi	alkoholisoinut	alkoholisoidaan	alkoholisoitiin	alkoholisoi	alkoholisoivat	-	-	alkoholisoinee
alkoholisoitua	alkoholisoidun	-	alkoholisoiduin	alkoholisoitui	-	alkoholisoidutaan	alkoholisoiduttiin	alkoholisoidu	-	-	-	alkoholisoitunee
alkuunpanna	alkuunpanen	alkuunpanee	alkuunpanin	alkuunpani	alkuunpannut	alkuunpannaan	alkuunpantiin	alkuunpane	alkuunpanevat	alkuunpankaa	-	alkuunpannee
alkyloida	alkyloin	alkyloi	alkyloin	alkyloi	alkyloinut	alkyloidaan	alkyloitiin	alkyloi	alkyloivat	-	-	alkyloinee
allastaa	-	-	allastin	allasti	-	allastetaan	allastettiin	-	-	-	-	allastanee
allekirjoittaa	allekirjoitan	-	allekirjoitin	allekirjoitti	-	allekirjoitetaan	allekirjoitettiin	allekirjoita	-	-	-	allekirjoittanee
allergisoida	allergisoin	allergisoi	allergisoin	allergisoi	allergisoinut	allergisoidaan	allergisoitiin	allergisoi	allergisoivat	-	-	allergisoinee
allergisoitua	allergisoidun	-	allergisoiduin	allergisoitui	-	allergisoidutaan	allergisoiduttiin	allergisoidu	-	-	-	allergisoitunee
allergistaa	-	-	allergistin	allergisti	-	allergistetaan	allergistettiin	-	-	-	-	allergistanee
allergistua	-	-	-	-	-	-	-	-	-	-	-	allergistunee
alleviivailla	alleviivailen	alleviivailee	alleviivailin	alleviivaili	alleviivaillut	alleviivaillaan	alleviivailtiin	alleviivaile	-	-	-	alleviivaillee
alleviivata	alleviivaan	alleviivaa	alleviivasin	alleviivasi	alleviivannut	alleviivataan	alleviivattiin	alleviivaa	alleviivaavat	alleviivatkaa	-	alleviivannee
allokoida	allokoin	allokoi	allokoin	allokoi	allokoinut	allokoidaan	allokoitiin	allokoi	allokoivat	-	-	allokoinee
