# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
αναστατώνομαι	αναστατώνομαι	αναστατώνεσαι	αναστατώνεται	αναστατωνόμαστε	αναστατωνόσαστε1	αναστατώνονται	αναστατωνόμουν	αναστατωνόσουν	αναστατωνόταν	αναστατωνόμασταν	αναστατωνόσασταν	αναστατωνόντανε	αναστατώθηκα	αναστατώθηκες	αναστατώθηκε	αναστατωθήκαμε	αναστατωθήκατε	αναστατωθήκανε	αναστατώσου	αναστατωθείτε	-
αναστατώνω	-	-	-	-	-	-	αναστάτωνα	αναστάτωνες	αναστάτωνε	αναστατώναμε	αναστατώνατε	αναστάτωναν	αναστάτωσα	αναστάτωσες	αναστάτωσε	αναστατώσαμε	αναστατώσατε	αναστάτωσαν	αναστάτωνε	αναστατώνετε	-
αναστενάζω	-	-	-	-	-	-	αναστέναζα	αναστέναζες	αναστέναζε	αναστενάζαμε	αναστενάζατε	αναστέναζαν	αναστέναξα	αναστέναξες	αναστέναξε	αναστενάξαμε	αναστενάξατε	αναστέναξαν	αναστέναζε	αναστενάζετε	-
αναστηλώνομαι	αναστηλώνομαι	αναστηλώνεσαι	αναστηλώνεται	αναστηλωνόμαστε	αναστηλωνόσαστε1	αναστηλώνονται	αναστηλωνόμουν	αναστηλωνόσουν	αναστηλωνόταν	αναστηλωνόμασταν	αναστηλωνόσασταν	αναστηλωνόντανε	αναστηλώθηκα	αναστηλώθηκες	αναστηλώθηκε	αναστηλωθήκαμε	αναστηλωθήκατε	αναστηλωθήκανε	αναστηλώσου	αναστηλωθείτε	-
αναστηλώνω	-	-	-	-	-	-	αναστήλωνα	αναστήλωνες	αναστήλωνε	αναστηλώναμε	αναστηλώνατε	αναστήλωναν	αναστήλωσα	αναστήλωσες	αναστήλωσε	αναστηλώσαμε	αναστηλώσατε	αναστήλωσαν	αναστήλωνε	αναστηλώνετε	-
αναστρέφω	-	-	-	-	-	-	ανέστρεφα	ανέστρεφες	ανέστρεφε	αναστρέφαμε	αναστρέφατε	ανέστρεφαν	ανέστρεψα	ανέστρεψες	ανέστρεψε	αναστρέψαμε	αναστρέψατε	ανέστρεψαν	ανάστρεφε	αναστρέφετε	-
αναστυλώνω	-	-	-	-	-	-	αναστύλωνα	αναστύλωνες	αναστύλωνε	αναστυλώναμε	αναστυλώνατε	αναστυλώναν	αναστύλωσα	αναστύλωσες	αναστύλωσε	αναστυλώσαμε	αναστυλώσατε	αναστυλώσαν	αναστύλωνε	αναστυλώνετε	-
ανασυγκροτώ	ανασυγκροτώ	ανασυγκροτείς	ανασυγκροτεί	ανασυγκροτούμε	ανασυγκροτείτε	ανασυγκροτούν	ανασυγκροτούσα	ανασυγκροτούσες	ανασυγκροτούσε	ανασυγκροτούσαμε	ανασυγκροτούσατε	ανασυγκροτούσαν	ανασυγκρότησα	ανασυγκρότησες	ανασυγκρότησε	ανασυγκροτήσαμε	ανασυγκροτήσατε	ανασυγκροτήσαν	ανασυγκρότησε	ανασυγκροτήστε	ανασυγκροτώντας
ανασυνδέω	-	-	-	-	-	-	ανασυνέδεα	ανασυνέδεες	ανασυνέδεε	ανασυνδέαμε	ανασυνδέατε	ανασυνέδεαν	ανασυνέδεσα	ανασυνέδεσες	ανασυνέδεσε	ανασυνδέσαμε	ανασυνδέσατε	ανασυνέδεσαν	ανασύνδεε	ανασυνδέετε	-
ανατέλλω	-	-	-	-	-	-	ανάτελλα	ανάτελλες	ανάτελλε	ανατέλλαμε	ανατέλλατε	ανατέλλαν	ανάτειλα	ανάτειλες	ανάτειλε	ανατείλαμε	ανατείλατε	ανάτειλαν	ανάτειλε	ανατέλλετε	-
