# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
τσούζω	-	-	-	-	-	-	έτσουζα	έτσουζες	έτσουζε	τσούζαμε	τσούζατε	έτσουζαν	έτσουξα	έτσουξες	έτσουξε	τσούξαμε	τσούξατε	έτσουξαν	έτσουζε	τσούζετε	-
τυλίγομαι	τυλίγομαι	τυλίγεσαι	τυλίγεται	τυλιγόμαστε	τυλίγεστε	τυλίγονται	τυλιγόμουν	τυλιγόσουν	τυλιγόταν	τυλιγόμασταν	τυλιγόσασταν	τυλίγονταν	τυλίχτηκα	τυλίχτηκες	τυλίχτηκε	τυλιχτήκαμε	τυλιχτήκατε	τυλίχτηκαν	τυλίξου	τυλιχτείτε	-
τυλίγω	-	-	-	-	-	-	τύλιγα	τύλιγες	τύλιγε	τυλίγαμε	τυλίγατε	τυλίγαν	τύλιξα	τύλιξες	τύλιξε	τυλίξαμε	τυλίξατε	τυλίξαν	τύλιγε	τυλίγετε	-
τυραννάω	-	τυραννάς	-	τυραννάμε	τυραννάτε	τυραννάν	τυράνναγα	τυράνναγες	τυράνναγε	τυραννάγαμε	τυραννάγατε	τυράνναγαν	τυράννησα	τυράννησες	τυράννησε	τυραννήσαμε	τυραννήσατε	τυράννησαν	τυράννησε	τυραννήστε	τυραννώντας
τυραννώ	τυραννάω	τυραννάς	τυραννά	τυραννάμε	τυραννάτε	τυραννάν	τυράνναγα	τυράνναγες	τυράνναγε	τυραννάγαμε	τυραννάγατε	τυράνναγαν	τυράννησα	τυράννησες	τυράννησε	τυραννήσαμε	τυραννήσατε	τυράννησαν	τυράννα	τυραννάτε	τυραννώντας
τυφλώνω	-	-	-	-	-	-	τύφλωνα	τύφλωνες	τύφλωνε	τυφλώναμε	τυφλώνατε	τυφλώναν	τύφλωσα	τύφλωσες	τύφλωσε	τυφλώσαμε	τυφλώσατε	τυφλώσαν	τύφλωνε	τυφλώνετε	-
υγροποιώ	υγροποιώ	υγροποιείς	υγροποιεί	υγροποιούμε	υγροποιείτε	υγροποιούν	υγροποιούσα	υγροποιούσες	υγροποιούσε	υγροποιούσαμε	υγροποιούσατε	υγροποιούσαν	υγροποίησα	υγροποίησες	υγροποίησε	υγροποιήσαμε	υγροποιήσατε	υγροποίησαν	υγροποίησε	υγροποιήστε	υγροποιώντας
υιοθετώ	υιοθετώ	υιοθετείς	υιοθετεί	υιοθετούμε	υιοθετείτε	υιοθετούν	υιοθετούσα	υιοθετούσες	υιοθετούσε	υιοθετούσαμε	υιοθετούσατε	υιοθετούσαν	υιοθέτησα	υιοθέτησες	υιοθέτησε	υιοθετήσαμε	υιοθετήσατε	υιοθέτησαν	υιοθέτησε	υιοθετήστε	υιοθετώντας
υμνώ	υμνώ	υμνείς	υμνεί	υμνούμε	υμνείτε	υμνούν	υμνούσα	υμνούσες	υμνούσε	υμνούσαμε	υμνούσατε	υμνούσαν	ύμνησα	ύμνησες	ύμνησε	υμνήσαμε	υμνήσατε	υμνήσαν	ύμνησε	υμνήστε	υμνώντας
υπάρχω	-	-	-	-	-	-	υπήρχα	υπήρχες	υπήρχε	υπήρχαμε	υπήρχατε	υπήρχαν	υπήρξα	υπήρξες	υπήρξε	υπήρξαμε	υπήρξατε	υπήρξαν	υπάρξε	υπάρξτε	-
υπαγορεύω	-	-	-	-	-	-	υπαγόρευα	υπαγόρευες	υπαγόρευε	υπαγορεύαμε	υπαγορεύατε	υπαγορεύαν	υπαγόρευσα	υπαγόρευσες	υπαγόρευσε	υπαγορεύσαμε	υπαγορεύσατε	υπαγορεύσαν	υπαγόρευε	υπαγορεύετε	-
υπακούω	-	υπακούς	-	υπακούμε	υπακούτε	υπακούν	υπάκουγα	υπάκουγες	υπάκουγε	υπακούγαμε	υπακούγατε	υπάκουγαν	υπάκουσα	υπάκουσες	υπάκουσε	υπακούσαμε	υπακούσατε	υπάκουσαν	υπάκουγε	υπακούστε	υπακούγοντας
υπενθυμίζω	-	-	-	-	-	-	υπενθύμιζα	υπενθύμιζες	υπενθύμιζε	υπενθυμίζαμε	υπενθυμίζατε	υπενθυμίζαν	υπενθύμισα	υπενθύμισες	υπενθύμισε	υπενθυμίσαμε	υπενθυμίσατε	υπενθυμίσαν	υπενθύμιζε	υπενθυμίζετε	-
υπερασπίζομαι	υπερασπίζομαι	υπερασπίζεσαι	υπερασπίζεται	υπερασπιζόμαστε	υπερασπίζεστε	υπερασπίζονται	υπερασπιζόμουν	υπερασπιζόσουν	υπερασπιζόταν	υπερασπιζόμασταν	υπερασπιζόσασταν	υπερασπίζονταν	υπερασπίστηκα	υπερασπίστηκες	υπερασπίστηκε	υπερασπιστήκαμε	υπερασπιστήκατε	υπερασπίστηκαν	υπερασπίσου	υπερασπιστείτε	-
υπερασπίζω	-	-	-	-	-	-	υπεράσπιζα	υπεράσπιζες	υπεράσπιζε	υπερασπίζαμε	υπερασπίζατε	υπεράσπιζαν	υπεράσπισα	υπεράσπισες	υπεράσπισε	υπερασπίσαμε	υπερασπίσατε	υπεράσπισαν	υπεράσπιζε	υπερασπίζετε	-
υπερβάλλω	-	-	-	-	-	-	υπερέβαλλα	υπερέβαλλες	υπερέβαλλε	υπερβάλλαμε	υπερβάλλατε	υπερέβαλλαν	υπερέβαλα	υπερέβαλες	υπερέβαλε	υπερβάλαμε	υπερβάλατε	υπερέβαλαν	-	υπερβάλετε	-
υπερβαίνω	-	-	-	-	-	-	υπερέβαινα	υπερέβαινες	υπερέβαινε	υπερβαίναμε	υπερβαίνατε	υπερέβαιναν	υπερέβην	υπερέβης	υπερέβη	υπερέβημεν	υπερέβητε	υπερέβησαν	υπερέβαινε	υπερβαίνετε	-
υπερισχύω	-	-	-	-	-	-	υπερίσχυα	υπερίσχυες	υπερίσχυε	υπερισχύαμε	υπερισχύατε	υπερίσχυαν	υπερίσχυσα	υπερίσχυσες	υπερίσχυσε	υπερισχύσαμε	υπερισχύσατε	υπερίσχυσαν	υπερίσχυε	υπερισχύετε	-
υπερυψώνω	-	-	-	-	-	-	υπερύψωνα	υπερύψωνες	υπερύψωνε	υπερυψώναμε	υπερυψώνατε	υπερυψώναν	υπερύψωσα	υπερύψωσες	υπερύψωσε	υπερυψώσαμε	υπερυψώσατε	υπερυψώσαν	υπερύψωνε	υπερυψώνετε	-
υπερφορτώνομαι	υπερφορτώνομαι	υπερφορτώνεσαι	υπερφορτώνεται	υπερφορτωνόμαστε	υπερφορτωνόσαστε1	υπερφορτώνονται	υπερφορτωνόμουν	υπερφορτωνόσουν	υπερφορτωνόταν	υπερφορτωνόμασταν	υπερφορτωνόσασταν	υπερφορτωνόντανε	υπερφορτώθηκα	υπερφορτώθηκες	υπερφορτώθηκε	υπερφορτωθήκαμε	υπερφορτωθήκατε	υπερφορτωθήκανε	υπερφορτώσου	υπερφορτωθείτε	-
υπερφορτώνω	-	-	-	-	-	-	υπερφόρτωνα	υπερφόρτωνες	υπερφόρτωνε	υπερφορτώναμε	υπερφορτώνατε	υπερφορτώναν	υπερφόρτωσα	υπερφόρτωσες	υπερφόρτωσε	υπερφορτώσαμε	υπερφορτώσατε	υπερφορτώσαν	υπερφόρτωνε	υπερφορτώνετε	-
υπερχειλίζω	-	-	-	-	-	-	υπερχείλιζα	υπερχείλιζες	υπερχείλιζε	υπερχειλίζαμε	υπερχειλίζατε	υπερχείλιζαν	υπερχείλισα	υπερχείλισες	υπερχείλισε	υπερχειλίσαμε	υπερχειλίσατε	υπερχείλισαν	υπερχείλιζε	υπερχειλίζετε	-
υποβαθμίζω	-	-	-	-	-	-	υποβάθμιζα	υποβάθμιζες	υποβάθμιζε	υποβαθμίζαμε	υποβαθμίζατε	υποβάθμιζαν	υποβάθμισα	υποβάθμισες	υποβάθμισε	υποβαθμίσαμε	υποβαθμίσατε	υποβάθμισαν	υποβάθμιζε	υποβαθμίζετε	-
υποβλέπω	-	-	-	-	-	-	υπέβλεπα	υπέβλεπες	υπέβλεπε	υποβλέπαμε	υποβλέπατε	υπέβλεπαν	-	-	-	-	-	-	-	υποβλέπετε	-
υπογράφω	-	-	-	-	-	-	υπέγραφα	υπέγραφες	υπέγραφε	υπογράφαμε	υπογράφατε	υπέγραφαν	υπέγραψα	υπέγραψες	υπέγραψε	υπογράψαμε	υπογράψατε	υπέγραψαν	υπόγραφε	υπογράφετε	-
υπογραμμίζω	-	-	-	-	-	-	υπογράμμιζα	υπογράμμιζες	υπογράμμιζε	υπογραμμίζαμε	υπογραμμίζατε	υπογράμμιζαν	υπογράμμισα	υπογράμμισες	υπογράμμισε	υπογραμμίσαμε	υπογραμμίσατε	υπογράμμισαν	υπογράμμιζε	υπογραμμίζετε	-
υποδέχομαι	υποδέχομαι	υποδέχεσαι	υποδέχεται	υποδεχόμαστε	υποδέχεστε	υποδέχονται	υποδεχόμουν	υποδεχόσουν	υποδεχόταν	υποδεχόμασταν	υποδεχόσασταν	υποδέχονταν	υποδέχθηκα	υποδέχθηκες	υποδέχθηκε	υποδεχθήκαμε	υποδεχθήκατε	υποδέχθηκαν	υποδέξου	υποδεχθείτε	-
υποδαυλίζω	-	-	-	-	-	-	υποδαύλιζα	υποδαύλιζες	υποδαύλιζε	υποδαυλίζαμε	υποδαυλίζατε	υποδαυλίζαν	υποδαύλισα	υποδαύλισες	υποδαύλισε	υποδαυλίσαμε	υποδαυλίσατε	υποδαυλίσαν	υποδαύλιζε	υποδαυλίζετε	-
υποδουλώνω	-	-	-	-	-	-	υποδούλωνα	υποδούλωνες	υποδούλωνε	υποδουλώναμε	υποδουλώνατε	υποδουλώναν	υποδούλωσα	υποδούλωσες	υποδούλωσε	υποδουλώσαμε	υποδουλώσατε	υποδουλώσαν	υποδούλωνε	υποδουλώνετε	-
υποθάλπω	-	-	-	-	-	υποθάλπουν[ε]	υπέθαλπα	υπέθαλπες	υπέθαλπε	υποθάλπαμε	υποθάλπατε	υπέθαλπαν	υπέθαλψα	υπέθαλψες	υπέθαλψε	υποθάλψαμε	υποθάλψατε	υπέθαλψαν	υπόθαλψε	υποθάλπετε	-
υποθηκεύω	-	-	-	-	-	-	υποθήκευα	υποθήκευες	υποθήκευε	υποθηκεύαμε	υποθηκεύατε	υποθήκευαν	υποθήκευσα	υποθήκευσες	υποθήκευσε	υποθηκεύσαμε	υποθηκεύσατε	υποθήκευσαν	υποθήκευε	υποθηκεύετε	-
υποκλέπτω	-	-	-	-	-	-	υπέκλεπτα	υπέκλεπτες	υπέκλεπτε	υποκλέπταμε	υποκλέπτατε	υπέκλεπταν	υπέκλεψα	υπέκλεψες	υπέκλεψε	υποκλέψαμε	υποκλέψατε	υπέκλεψαν	υπόκλεπτε	υποκλέπτετε	-
υποκρύπτω	-	-	-	-	-	υποκρύπτουν[ε]	υπέκρυπτα	υπέκρυπτες	υπέκρυπτε	υποκρύπταμε	υποκρύπτατε	υπέκρυπταν	υπέκρυψα	υπέκρυψες	υπέκρυψε	υποκρύψαμε	υποκρύψατε	υπέκρυψαν	υπόκρυψε	υποκρύπτετε	-
υποκύπτω	-	-	-	-	-	-	υπέκυπτα	υπέκυπτες	υπέκυπτε	υποκύπταμε	υποκύπτατε	υπέκυπταν	υπέκυψα	υπέκυψες	υπέκυψε	υποκύψαμε	υποκύψατε	υπέκυψαν	υπόκυψε	υποκύπτετε	-
υπολογίζω	-	-	-	-	-	-	υπολόγιζα	υπολόγιζες	υπολόγιζε	υπολογίζαμε	υπολογίζατε	υπολογίζαν	υπολόγισα	υπολόγισες	υπολόγισε	υπολογίσαμε	υπολογίσατε	υπολογίσαν	υπολόγιζε	υπολογίζετε	-
υποπτεύομαι	υποπτεύομαι	υποπτεύεσαι	υποπτεύεται	υποπτευόμαστε	υποπτευόσαστε1	υποπτεύονται	υποπτευόμουν	υποπτευόσουν	υποπτευόταν	υποπτευόμασταν	υποπτευόσασταν	υποπτευόντανε	υποπτεύθηκα	υποπτεύθηκες	υποπτεύθηκε	υποπτευθήκαμε	υποπτευθήκατε	υποπτευθήκανε	υποπτεύσου	υποπτευθείτε	-
υποσκάπτω	-	-	-	-	-	-	υπέσκαπτα	υπέσκαπτες	υπέσκαπτε	υποσκάπταμε	υποσκάπτατε	υπέσκαπταν	υπέσκαψα	υπέσκαψες	υπέσκαψε	υποσκάψαμε	υποσκάψατε	υπέσκαψαν	υπόσκαπτε	υποσκάπτετε	-
υποστηρίζω	-	-	-	-	-	-	υποστήριζα	υποστήριζες	υποστήριζε	υποστηρίζαμε	υποστηρίζατε	υποστήριζαν	υποστήριξα	υποστήριξες	υποστήριξε	υποστηρίξαμε	υποστηρίξατε	υποστήριξαν	υποστήριζε	υποστηρίζετε	-
υποφέρω	-	-	-	-	-	-	υπέφερα	υπέφερες	υπέφερε	υποφέραμε	υποφέρατε	υπέφεραν	υπέφερα	υπέφερες	υπέφερε	υποφέραμε	υποφέρατε	υπέφεραν	υπέφερε	υποφέρετε	-
υποχρεώνω	-	-	-	-	-	-	υποχρέωνα	υποχρέωνες	υποχρέωνε	υποχρεώναμε	υποχρεώνατε	υποχρέωναν	υποχρέωσα	υποχρέωσες	υποχρέωσε	υποχρεώσαμε	υποχρεώσατε	υποχρέωσαν	υποχρέωνε	υποχρεώνετε	-
υποχωρώ	υποχωρώ	υποχωρείς	υποχωρεί	υποχωρούμε	υποχωρείτε	υποχωρούν	υποχωρούσα	υποχωρούσες	υποχωρούσε	υποχωρούσαμε	υποχωρούσατε	υποχωρούσαν	υποχώρησα	υποχώρησες	υποχώρησε	υποχωρήσαμε	υποχωρήσατε	υποχωρήσαν	υποχώρησε	υποχωρήστε	υποχωρώντας
υποψιάζομαι	υποψιάζομαι	υποψιάζεσαι	υποψιάζεται	υποψιαζόμαστε	υποψιάζεστε	υποψιάζονται	υποψιαζόμουν	υποψιαζόσουν	υποψιαζόταν	υποψιαζόμασταν	υποψιαζόσασταν	υποψιάζονταν	υποψιάστηκα	υποψιάστηκες	υποψιάστηκε	υποψιαστήκαμε	υποψιαστήκατε	υποψιάστηκαν	υποψιάσου	υποψιαστείτε	υποψιάζοντας
υστερώ	υστερώ	υστερείς	υστερεί	υστερούμε	υστερείτε	υστερούν	υστερούσα	υστερούσες	υστερούσε	υστερούσαμε	υστερούσατε	υστερούσαν	υστέρησα	υστέρησες	υστέρησε	υστερήσαμε	υστερήσατε	υστέρησαν	υστέρησε	υστερήστε	υστερώντας
υψώνω	-	-	-	-	-	-	ύψωνα	ύψωνες	ύψωνε	υψώναμε	υψώνατε	υψώναν	ύψωσα	ύψωσες	ύψωσε	υψώσαμε	υψώσατε	υψώσαν	ύψωνε	υψώνετε	-
φέγγω	-	-	-	-	-	-	έφεγγα	έφεγγες	έφεγγε	φέγγαμε	φέγγατε	έφεγγαν	έφεξα	έφεξες	έφεξε	φέξαμε	φέξατε	έφεξαν	φέγγε	φέγγετε	-
φέρνω	-	-	-	-	-	-	έφερνα	έφερνες	έφερνε	φέρναμε	φέρνατε	έφερναν	έφερα	έφερες	έφερε	φέραμε	φέρατε	έφεραν	φέρε	φέρνετε	-
φέρω	-	-	-	-	-	-	έφερα	έφερες	έφερε	φέραμε	φέρατε	έφεραν	έφερα	έφερες	έφερε	φέραμε	φέρατε	έφεραν	φέρε	φέρετε	-
φαγουρίζω	-	-	-	-	-	-	φαγούριζα	φαγούριζες	φαγούριζε	φαγουρίζαμε	φαγουρίζατε	φαγουρίζαν	φαγούρισα	φαγούρισες	φαγούρισε	φαγουρίσαμε	φαγουρίσατε	φαγουρίσαν	φαγούριζε	φαγουρίζετε	-
φανερώνω	-	-	-	-	-	-	φανέρωνα	φανέρωνες	φανέρωνε	φανερώναμε	φανερώνατε	φανέρωναν	φανέρωσα	φανέρωσες	φανέρωσε	φανερώσαμε	φανερώσατε	φανέρωσαν	φανέρωνε	φανερώνετε	-
φαντάζω	-	-	-	-	-	-	φάνταζα	φάνταζες	φάνταζε	φαντάζαμε	φαντάζατε	φάνταζαν	φάνταξα	φάνταξες	φάνταξε	φαντάξαμε	φαντάξατε	φάνταξαν	φάνταζε	φαντάζετε	-
φαρδαίνω	-	-	-	-	-	-	φάρδαινα	φάρδαινες	φάρδαινε	φαρδαίναμε	φαρδαίνατε	φάρδαιναν	φάρδυνα	φάρδυνες	φάρδυνε	φαρδύναμε	φαρδύνατε	φάρδυναν	φάρδαινε	φαρδαίνετε	-
φαρμακώνομαι	φαρμακώνομαι	φαρμακώνεσαι	φαρμακώνεται	φαρμακωνόμαστε	φαρμακωνόσαστε1	φαρμακώνονται	φαρμακωνόμουν	φαρμακωνόσουν	φαρμακωνόταν	φαρμακωνόμασταν	φαρμακωνόσασταν	φαρμακωνόντανε	φαρμακώθηκα	φαρμακώθηκες	φαρμακώθηκε	φαρμακωθήκαμε	φαρμακωθήκατε	φαρμακωθήκανε	φαρμακώσου	φαρμακωθείτε	-
φαρμακώνω	-	-	-	-	-	-	φαρμάκωνα	φαρμάκωνες	φαρμάκωνε	φαρμακώναμε	φαρμακώνατε	φαρμάκωναν	φαρμάκωσα	φαρμάκωσες	φαρμάκωσε	φαρμακώσαμε	φαρμακώσατε	φαρμάκωσαν	φαρμάκωνε	φαρμακώνετε	-
φασκιώνομαι	φασκιώνομαι	φασκιώνεσαι	φασκιώνεται	φασκιωνόμαστε	φασκιωνόσαστε1	φασκιώνονται	φασκιωνόμουν	φασκιωνόσουν	φασκιωνόταν	φασκιωνόμασταν	φασκιωνόσασταν	φασκιωνόντανε	φασκιώθηκα	φασκιώθηκες	φασκιώθηκε	φασκιωθήκαμε	φασκιωθήκατε	φασκιωθήκανε	φασκιώσου	φασκιωθείτε	-
φασκιώνω	-	-	-	-	-	-	φάσκιωνα	φάσκιωνες	φάσκιωνε	φασκιώναμε	φασκιώνατε	φάσκιωναν	φάσκιωσα	φάσκιωσες	φάσκιωσε	φασκιώσαμε	φασκιώσατε	φάσκιωσαν	φάσκιωνε	φασκιώνετε	-
φεύγω	-	-	-	-	-	-	έφευγα	έφευγες	έφευγε	φεύγαμε	φεύγατε	έφευγαν	έφυγα	έφυγες	έφυγε	φύγαμε	φύγατε	έφυγαν	φεύγα	φευγάτε	-
φθάνω	-	-	-	-	-	-	έφθανα	έφθανες	έφθανε	φθάναμε	φθάνατε	έφθαναν	έφθασα	έφθασες	έφθασε	φθάσαμε	φθάσατε	έφθασαν	φθάνε	φθάνετε	-
φιλάω	-	φιλάς	φιλά	φιλάμε	φιλάτε	φιλάν	φίλαγα	φίλαγες	φίλαγε	φιλάγαμε	φιλάγατε	φίλαγαν	φίλησα	φίλησες	φίλησε	φιλήσαμε	φιλήσατε	φίλησαν	φίλα	φιλάτε	φιλώντας
φιλοδοξώ	φιλοδοξώ	φιλοδοξείς	φιλοδοξεί	φιλοδοξούμε	φιλοδοξείτε	φιλοδοξούν	φιλοδοξούσα	φιλοδοξούσες	φιλοδοξούσε	φιλοδοξούσαμε	φιλοδοξούσατε	φιλοδοξούσαν	φιλοδόξησα	φιλοδόξησες	φιλοδόξησε	φιλοδοξήσαμε	φιλοδοξήσατε	φιλοδοξήσαν	φιλοδόξησε	φιλοδοξήστε	φιλοδοξώντας
φιλοξενώ	φιλοξενώ	φιλοξενείς	φιλοξενεί	φιλοξενούμε	φιλοξενείτε	φιλοξενούν	φιλοξενούσα	φιλοξενούσες	φιλοξενούσε	φιλοξενούσαμε	φιλοξενούσατε	φιλοξενούσαν	φιλοξένησα	φιλοξένησες	φιλοξένησε	φιλοξενήσαμε	φιλοξενήσατε	φιλοξένησαν	φιλοξένησε	φιλοξενήστε	φιλοξενώντας
φιλοσοφώ	φιλοσοφώ	φιλοσοφείς	φιλοσοφεί	φιλοσοφούμε	φιλοσοφείτε	φιλοσοφούν	φιλοσοφούσα	φιλοσοφούσες	φιλοσοφούσε	φιλοσοφούσαμε	φιλοσοφούσατε	φιλοσοφούσαν	φιλοσόφησα	φιλοσόφησες	φιλοσόφησε	φιλοσοφήσαμε	φιλοσοφήσατε	φιλοσοφήσαν	φιλοσόφησε	φιλοσοφήστε	φιλοσοφώντας
φιλώ	φιλάω	φιλάς	φιλά	φιλάμε	φιλάτε	φιλάν	φίλαγα	φίλαγες	φίλαγε	φιλάγαμε	φιλάγατε	φίλαγαν	φίλησα	φίλησες	φίλησε	φιλήσαμε	φιλήσατε	φίλησαν	φίλα	φιλάτε	φιλώντας
φιξάρω	-	-	-	-	-	-	φιξάριζα	φιξάριζες	φιξάριζε	φιξάραμε	φιξάρατε	φιξάραν	φιξάρισα	φιξάρισες	φιξάρισε	φιξάραμε	φιξάρατε	φιξάραν	φιξάριζε	φιξάρετε	-
φλερτάρω	-	-	-	-	-	-	φλέρταρα	φλέρταρες	φλέρταρε	φλερτάραμε	φλερτάρατε	φλέρταραν	φλέρταρα	φλέρταρες	φλέρταρε	φλερτάραμε	φλερτάρατε	φλέρταραν	φλέρταρε	φλερτάρετε	-
φλιπάρω	-	-	-	-	-	-	φλίπαρα	φλίπαρες	φλίπαρε	φλιπάραμε	φλιπάρατε	φλίπαραν	φλίπαρα	φλίπαρες	φλίπαρε	φλιπάραμε	φλιπάρατε	φλίπαραν	φλίπαρε	φλιπάρετε	-
φοβάμαι	φοβάμαι	φοβάσαι	φοβάται	φοβούμαστε	φοβάστε	φοβούνται	φοβόμουν	φοβόσουν	φοβόταν	φοβούμαστε	φοβόσασταν	φοβούνταν	φοβήθηκα	φοβήθηκες	φοβήθηκε	φοβηθήκαμε	φοβηθήκατε	φοβήθηκαν	φοβήσου	φοβάστε	—
φοβίζω	-	-	-	-	-	-	φόβιζα	φόβιζες	φόβιζε	φοβίζαμε	φοβίζατε	φοβίζαν	φόβισα	φόβισες	φόβισε	φοβίσαμε	φοβίσατε	φοβίσαν	φόβιζε	φοβίζετε	-
φονεύω	-	-	-	-	-	-	φόνευα	φόνευες	φόνευε	φονεύαμε	φονεύατε	φονεύαν	φόνευσα	φόνευσες	φόνευσε	φονεύσαμε	φονεύσατε	φονεύσαν	φόνευε	φονεύετε	-
φοράω	-	φοράς	-	φοράμε	φοράτε	φοράν	φορούσα	φορούσες	φορούσε	φοράγαμε	φοράγατε	φοράγανε	φόρεσα	φόρεσες	φόρεσε	φορέσαμε	φορέσατε	φορέσαν	φόρα	φορέστε	φορώντας
φοριέμαι	φοριέμαι	φοριέσαι	φοριέται	φοριόμαστε	φοριέστε	φοριούνται	φοριόμουν	φοριόσουν	φοριόταν	φοριόμασταν	φοριόσασταν	φοριούνταν	φορέθηκα	φορέθηκες	φορέθηκε	φορεθήκαμε	φορεθήκατε	φορέθηκαν	φορέσου	φορεθείτε	—
φοροκλέπτω	-	-	-	-	-	-	φοροέκλεπτα	φοροέκλεπτες	φοροέκλεπτε	φοροκλέπταμε	φοροκλέπτατε	φοροέκλεπταν	φοροέκλεψα	φοροέκλεψες	φοροέκλεψε	φοροκλέψαμε	φοροκλέψατε	φοροέκλεψαν	-	φοροκλέπτετε	-
φορολογώ	φορολογώ	φορολογείς	φορολογεί	φορολογούμε	φορολογείτε	φορολογούν	φορολογούσα	φορολογούσες	φορολογούσε	φορολογούσαμε	φορολογούσατε	φορολογούσαν	φορολόγησα	φορολόγησες	φορολόγησε	φορολογήσαμε	φορολογήσατε	φορολογήσαν	φορολόγησε	φορολογήστε	φορολογώντας
φορτώνω	-	-	-	-	-	-	φόρτωνα	φόρτωνες	φόρτωνε	φορτώναμε	φορτώνατε	φορτώναν	φόρτωσα	φόρτωσες	φόρτωσε	φορτώσαμε	φορτώσατε	φορτώσαν	φόρτωνε	φορτώνετε	-
φορώ	φοράω	φοράς	φορά	φοράμε	φοράτε	φοράν	φορούσα	φορούσες	φορούσε	φοράγαμε	φοράγατε	φοράγανε	φόρεσα	φόρεσες	φόρεσε	φορέσαμε	φορέσατε	φορέσαν	φόρα	φοράτε	φορώντας
φουμάρω	-	-	-	-	-	-	φουμάριζα	φουμάριζες	φουμάριζε	φουμάραμε	φουμάρατε	φουμάραν	φουμάρισα	φουμάρισες	φουμάρισε	φουμάραμε	φουμάρατε	φουμάραν	φουμάριζε	φουμάρετε	-
φράζω	-	-	-	-	-	-	έφραζα	έφραζες	έφραζε	φράζαμε	φράζατε	έφραζαν	έφραξα	έφραξες	έφραξε	φράξαμε	φράξατε	έφραξαν	φράζε	φράζετε	-
φρενάρω	-	-	-	-	-	-	φρέναρα	φρέναρες	φρέναρε	φρενάραμε	φρενάρατε	φρέναραν	φρενάρα	φρενάρες	φρενάρε	φρενάραμε	φρενάρατε	φρενάραν	φρέναρε	φρενάρετε	-
φρεσκάρω	-	-	-	-	-	-	φρέσκαρα	φρέσκαρες	φρέσκαρε	φρεσκάραμε	φρεσκάρατε	φρέσκαραν	φρέσκαρα	φρέσκαρες	φρέσκαρε	φρεσκάραμε	φρεσκάρατε	φρέσκαραν	φρέσκαρε	φρεσκάρετε	-
φροντίζω	-	-	-	-	-	-	φρόντιζα	φρόντιζες	φρόντιζε	φροντίζαμε	φροντίζατε	φροντίζαν	φρόντισα	φρόντισες	φρόντισε	φροντίσαμε	φροντίσατε	φροντίσαν	φρόντιζε	φροντίζετε	-
φρυγανίζω	-	-	-	-	-	-	φρυγάνιζα	φρυγάνιζες	φρυγάνιζε	φρυγανίζαμε	φρυγανίζατε	φρυγάνιζαν	φρυγάνισα	φρυγάνισες	φρυγάνισε	φρυγανίσαμε	φρυγανίσατε	φρυγάνισαν	φρυγάνιζε	φρυγανίζετε	-
φτάνω	-	-	-	-	-	-	έφτανα	έφτανες	έφτανε	φτάναμε	φτάνατε	έφταναν	έφτασα	έφτασες	έφτασε	φτάσαμε	φτάσατε	έφτασαν	φτάσε	φτάνετε	-
φταίω	-	φταις	-	φταίμε	φταίτε	φταίνε	έφταιγα	έφταιγες	έφταιγε	φταίγαμε	φταίγατε	έφταιγαν	έφταιξα	έφταιξες	έφταιξε	φταίξαμε	φταίξατε	έφταιξαν	φταίξε	φταίξτε	φταίγοντας
φτερουγίζω	-	-	-	-	-	-	φτερούγιζα	φτερούγιζες	φτερούγιζε	φτερουγίζαμε	φτερουγίζατε	φτερουγίζαν	φτερούγισα	φτερούγισες	φτερούγισε	φτερουγίσαμε	φτερουγίσατε	φτερουγίσαν	φτερούγιζε	φτερουγίζετε	-
φτιάχνομαι	φτιάχνομαι	φτιάχνεσαι	φτιάχνεται	φτιαχνόμαστε	φτιάχνεστε	φτιάχνονται	φτιαχνόμουν	φτιαχνόσουν	φτιαχνόταν	φτιαχνόμασταν	φτιαχνόσασταν	φτιάχνονταν	φτιάχτηκα	φτιάχτηκες	φτιάχτηκε	φτιαχτήκαμε	φτιαχτήκατε	φτιάχτηκαν	φτιάξου	φτιαχτείτε	-
φτιάχνω	-	-	-	-	-	-	έφτιαχνα	έφτιαχνες	έφτιαχνε	φτιάχναμε	φτιάχνατε	έφτιαχναν	έφτιαξα	έφτιαξες	έφτιαξε	φτιάξαμε	φτιάξατε	έφτιαξαν	φτιάξε	φτιάξτε	-
φτύνω	-	-	-	-	-	-	έφτυνα	έφτυνες	έφτυνε	φτύναμε	φτύνατε	έφτυναν	έφτυσα	έφτυσες	έφτυσε	φτύσαμε	φτύσατε	έφτυσαν	φτύνε	φτύνετε	-
