# lemma(infinitive)	V;NFIN	V;GER	V;PTCP;MASC;SG	V;PTCP;FEM;SG	V;PTCP;MASC;PL	V;PTCP;FEM;PL	V;IND;PRS;1;SG	V;IND;PRS;1;PL	V;IND;PRS;2;SG	V;IND;PRS;2;PL	V;IND;PRS;3;SG	V;IND;PRS;3;PL	V;IND;IPFV;1;SG	V;IND;IPFV;1;PL	V;IND;IPFV;2;SG	V;IND;IPFV;2;PL	V;IND;IPFV;3;SG	V;IND;IPFV;3;PL	V;IND;PRET;1;SG	V;IND;PRET;1;PL	V;IND;PRET;2;SG	V;IND;PRET;2;PL	V;IND;PRET;3;SG	V;IND;PRET;3;PL	V;IND;PLUP;1;SG	V;IND;PLUP;1;PL	V;IND;PLUP;2;SG	V;IND;PLUP;2;PL	V;IND;PLUP;3;SG	V;IND;PLUP;3;PL	V;IND;FUT;1;SG	V;IND;FUT;1;PL	V;IND;FUT;2;SG	V;IND;FUT;2;PL	V;IND;FUT;3;SG	V;IND;FUT;3;PL	V;COND;1;SG	V;COND;1;PL	V;COND;2;SG	V;COND;2;PL	V;COND;3;SG	V;COND;3;PL	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	V;SBJV;PST;1;PL	V;SBJV;PST;2;SG	V;SBJV;PST;2;PL	V;SBJV;PST;3;SG	V;SBJV;PST;3;PL	V;SBJV;FUT;1;SG	V;SBJV;FUT;1;PL	V;SBJV;FUT;2;SG	V;SBJV;FUT;2;PL	V;SBJV;FUT;3;SG	V;SBJV;FUT;3;PL	V;INF;1;SG	V;INF;1;PL	V;INF;2;SG	V;INF;2;PL	V;INF;3;SG	V;INF;3;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
presurizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	presuricei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	presurice	presuricemos	presurices	presuricedes	presurice	presuricen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
prever	-	-	previsto	prevista	previstos	previstas	prevejo	-	prevés	-	prevé	preveem	-	-	-	-	-	-	-	previmos	-	previstes	previu	previram	previra	previramos	previras	previrades	previra	previram	-	-	-	-	-	-	-	-	-	-	-	-	preveja	prevejamos	prevejas	prevejades	preveja	prevejam	previse	prevísemos	previses	prevísedes	previse	previsen	previr	previrmos	previres	previrdes	previr	previrem	-	-	-	-	-	-	prevé	-
previsualizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	previsualicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
priorizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prioricen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
privatizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	privaticen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
processar	-	-	-	-	-	-	-	-	-	-	-	processam	processava	processávamos	processavas	processávades	processava	processavam	-	-	processache	-	-	processaram	-	processáramos	-	processárades	-	processaram	-	-	-	-	-	processarám	processaria	processaríamos	processarias	processaríades	processaria	processariam	-	-	-	-	-	processem	processasse	processássemos	processasses	processássedes	processasse	processassem	-	-	-	-	-	processarem	-	-	-	-	-	processarem	-	-
producir	-	-	-	-	-	-	produzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	produza	produzamos	produzas	produzades	produza	produzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
produzir	-	-	-	-	-	-	-	-	-	-	produz	produzem	produzia	produzíamos	produzias	produzíades	produzia	produziam	produzi	-	produziche	-	-	produziram	-	produzíramos	-	produzírades	-	produziram	-	-	-	-	-	produzirám	produziria	produziríamos	produzirias	produziríades	produziria	produziriam	-	-	-	-	-	produzam	produzisse	produzíssemos	produzisses	produzíssedes	produzisse	produzissem	-	-	-	-	-	produzirem	-	-	-	-	-	produzirem	-	-
proer	-	-	proído	proída	proídos	proídas	-	-	-	-	-	-	-	proíamos	-	proíades	-	-	-	-	proeche	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	proam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
proferir	-	-	-	-	-	-	profiro	-	-	-	-	proferem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	profira	profiramos	profiras	profirades	profira	profiram	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
profesionalizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	profesionalicei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	profesionalice	profesionalicemos	profesionalices	profesionalicedes	profesionalice	profesionalicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
proibir	-	-	-	-	-	-	proíbo	-	proíbes	-	proíbe	proíbem	proibia	proibíamos	proibias	proibíades	proibia	proibiam	proibi	-	proibiche	-	-	proibiram	-	proibíramos	-	proibírades	-	proibiram	-	-	-	-	-	proibirám	proibiria	proibiríamos	proibirias	proibiríades	proibiria	proibiriam	proíba	-	proíbas	-	proíba	proíbam	proibisse	proibíssemos	proibisses	proibíssedes	proibisse	proibissem	-	-	-	-	-	proibirem	-	-	-	-	-	proibirem	proíbe	-
prolongar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prolonguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prolongue	prolonguemos	prolongues	prolonguedes	prolongue	prolonguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
propoñer	-	-	proposto	proposta	propostos	propostas	-	-	propós	-	propón	-	-	-	-	-	-	-	propuxen	propuxemos	propuxeches	propuxestes	propuxo	propuxeron	propuxera	propuxeramos	propuxeras	propuxerades	propuxera	propuxeran	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	propuxese	propuxésemos	propuxeses	propuxésedes	propuxese	propuxesen	propuxer	propuxermos	propuxeres	propuxerdes	propuxer	propuxeren	-	-	-	-	-	-	propón	-
prorrogar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prorroguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prorrogue	prorroguemos	prorrogues	prorroguedes	prorrogue	prorroguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
proseguir	-	-	-	-	-	-	prosigo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prosiga	prosigamos	prosigas	prosigades	prosiga	prosigan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prosigue	-
proteger	-	-	-	-	-	-	protejo	-	-	-	-	protegem	protegia	protegíamos	protegias	protegíades	protegia	protegiam	protegi	-	protegeche	-	-	protegeram	-	protegêramos	-	protegêrades	-	protegeram	-	-	-	-	-	protegerám	protegeria	protegeríamos	protegerias	protegeríades	protegeria	protegeriam	proteja	protejamos	protejas	protejades	proteja	protejam	protegesse	protegêssemos	protegesses	protegêssedes	protegesse	protegessem	-	-	-	-	-	protegerem	-	-	-	-	-	protegerem	-	-
provir	-	-	provindo	provinda	provindos	provindas	provenho	-	provéns	-	provém	provenhem	provinha	proviñamos	provinhas	proviñades	provinha	provinham	-	proviemos	provieste	proviestes	proveio	provieram	proviera	provinhéramos	provieras	provinhérades	proviera	provieram	-	-	-	-	-	-	-	-	-	-	-	-	provenha	provenhamos	provenhas	provenhades	provenha	provenham	proviesse	provinhéssemos	proviesses	provinhéssedes	proviesse	proviessem	provier	proviermos	provieres	provierdes	provier	provierem	-	-	-	-	-	-	provém	-
publicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	publiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	publique	publiquemos	publiques	publiquedes	publique	publiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pulir	-	-	-	-	-	-	-	-	poles	-	pole	polen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
purificar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	purifiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	purifique	purifiquemos	purifiques	purifiquedes	purifique	purifiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
quecer	-	-	-	-	-	-	quezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	queza	quezamos	quezas	quezades	queza	quezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
quencer	-	-	-	-	-	-	quenzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	quenza	quenzamos	quenzas	quenzades	quenza	quenzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
querer	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	quigem	quigemos	quigeche	quigestes	quijo	quigérom	quigera	quigéramos	quigeras	quigérades	quigera	quigeram	-	-	-	-	-	-	-	-	-	-	-	-	queira	queiramos	queiras	queirades	queira	queiram	quigesse	quigéssemos	quigesses	quigéssedes	quigesse	quigessem	quiger	quigermos	quigeres	quigerdes	quiger	quigerem	-	-	-	-	-	-	-	-
raer	-	-	raído	raída	raídos	raídas	raio	-	-	-	-	-	-	raïamos	-	raïades	-	-	-	-	raíches	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	raia	raiamos	raias	raiades	raia	raian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rascar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rasquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rasque	rasquemos	rasques	rasquedes	rasque	rasquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rasgar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rasguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rasgue	rasguemos	rasgues	rasguedes	rasgue	rasguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reabastecer	-	-	-	-	-	-	reabastezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reabasteza	reabastezamos	reabastezas	reabastezades	reabasteza	reabastezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reabrir	-	-	reaberto	reaberta	reabertos	reabertas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reaparecer	-	-	-	-	-	-	reaparezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reapareza	reaparezamos	reaparezas	reaparezades	reapareza	reaparezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rebocar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reboquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reboque	reboquemos	reboques	reboquedes	reboque	reboquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rebulir	-	-	-	-	-	-	-	-	reboles	-	rebole	rebolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reburdiar	-	-	-	-	-	-	reburdío	-	reburdías	-	reburdía	reburdían	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reburdíe	-	reburdíes	-	reburdíe	reburdíen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reburdía	-
recentralizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recentralicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rechegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recheguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rechegue	recheguemos	rechegues	recheguedes	rechegue	recheguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rechoer	-	-	rechoído	rechoída	rechoídos	rechoídas	-	-	-	-	-	-	-	rechoíamos	-	rechoíades	-	-	-	-	rechoeche	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rechoam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recomezar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recomecei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recomece	recomecemos	recomeces	recomecedes	recomece	recomecen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recompoñer	-	-	recomposto	recomposta	recompostos	recompostas	-	-	recompós	-	recompón	-	-	-	-	-	-	-	recompuxen	recompuxemos	recompuxeches	recompuxestes	recompuxo	recompuxeron	recompuxera	recompuxeramos	recompuxeras	recompuxerades	recompuxera	recompuxeran	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recompuxese	recompuxésemos	recompuxeses	recompuxésedes	recompuxese	recompuxesen	recompuxer	recompuxermos	recompuxeres	recompuxerdes	recompuxer	recompuxeren	-	-	-	-	-	-	recompón	-
reconvir	-	-	reconvindo	reconvinda	reconvindos	reconvindas	reconvenho	-	reconvéns	-	reconvém	reconvenhem	reconvinha	reconviñamos	reconvinhas	reconviñades	reconvinha	reconvinham	-	reconviemos	reconvieste	reconviestes	reconveio	reconvieram	reconviera	reconvinhéramos	reconvieras	reconvinhérades	reconviera	reconvieram	-	-	-	-	-	-	-	-	-	-	-	-	reconvenha	reconvenhamos	reconvenhas	reconvenhades	reconvenha	reconvenham	reconviesse	reconvinhéssemos	reconviesses	reconvinhéssedes	reconviesse	reconviessem	reconvier	reconviermos	reconvieres	reconvierdes	reconvier	reconvierem	-	-	-	-	-	-	reconvém	-
recoñecer	-	-	-	-	-	-	recoñezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recoñeza	recoñezamos	recoñezas	recoñezades	recoñeza	recoñezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recruar	-	-	-	-	-	-	-	-	-	-	-	recruam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recruem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recuar	-	-	-	-	-	-	-	-	-	-	-	recuam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recuem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recudir	-	-	-	-	-	-	-	-	recodes	-	recode	recoden	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recuncar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recunquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	recunque	recunquemos	recunques	recunquedes	recunque	recunquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
redescubrir	-	-	redescoberto	redescoberta	redescobertos	redescobertas	-	-	redescobres	-	redescobre	redescobren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reducir	-	-	-	-	-	-	reduzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reduza	reduzamos	reduzas	reduzades	reduza	reduzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refacer	-	-	refeito	refeita	refeitos	refeitas	refago	-	refás	-	refai	refán	-	-	-	-	-	-	refixen	refixemos	refixeches	refixestes	refixo	refixeron	refixera	refixeramos	refixeras	refixerades	refixera	refixeran	refarei	refaremos	refarás	refaredes	refará	refarán	refaría	refariamos	refarías	refariades	refaría	refarían	refaga	refagamos	refagas	refagades	refaga	refagan	refixese	refixésemos	refixeses	refixésedes	refixese	refixesen	refixer	refixermos	refixeres	refixerdes	refixer	refixeren	-	-	-	-	-	-	refai	-
referir	-	-	-	-	-	-	refiro	-	-	-	-	referem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refira	refiramos	refiras	refirades	refira	refiram	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reflectir	-	-	-	-	-	-	reflicto	-	reflictes	-	reflicte	reflicten	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reflicta	reflictamos	reflictas	reflictades	reflicta	reflictan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reflicte	-
refletir	-	-	-	-	-	-	reflito	-	-	-	-	refletem	refletia	refletíamos	refletias	refletíades	refletia	refletiam	refleti	-	refletiche	-	-	refletiram	-	refletíramos	-	refletírades	-	refletiram	-	-	-	-	-	refletirám	refletiria	refletiríamos	refletirias	refletiríades	refletiria	refletiriam	reflita	reflitamos	reflitas	reflitades	reflita	reflitam	refletisse	refletíssemos	refletisses	refletíssedes	refletisse	refletissem	-	-	-	-	-	refletirem	-	-	-	-	-	refletirem	-	-
reforzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reforcei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reforce	reforcemos	reforces	reforcedes	reforce	reforcen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refregar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refreguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refregue	refreguemos	refregues	refreguedes	refregue	refreguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refucir	-	-	-	-	-	-	refuzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refuza	refuzamos	refuzas	refuzades	refuza	refuzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refugar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refuguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refugue	refuguemos	refugues	refuguedes	refugue	refuguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refungar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refunguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	refungue	refunguemos	refungues	refunguedes	refungue	refunguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
regar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	regue	reguemos	regues	reguedes	regue	reguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
regressar	-	-	-	-	-	-	-	-	-	-	-	regressam	regressava	regressávamos	regressavas	regressávades	regressava	regressavam	-	-	regressache	-	-	regressaram	-	regressáramos	-	regressárades	-	regressaram	-	-	-	-	-	regressarám	regressaria	regressaríamos	regressarias	regressaríades	regressaria	regressariam	-	-	-	-	-	regressem	regressasse	regressássemos	regressasses	regressássedes	regressasse	regressassem	-	-	-	-	-	regressarem	-	-	-	-	-	regressarem	-	-
reindustrializar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reindustrialicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reler	-	-	-	-	-	-	releio	-	relés	-	relé	releem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	relea	releamos	releas	releades	relea	releam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	relé	-
reloucar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	relouquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	relouque	relouquemos	relouques	relouquedes	relouque	relouquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
relucir	-	-	-	-	-	-	reluzo	-	reloces	-	reloce	relocen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reluza	reluzamos	reluzas	reluzades	reluza	reluzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reluscar	-	-	-	-	-	-	-	-	-	-	-	reluscam	reluscava	reluscávamos	reluscavas	reluscávades	-	reluscavam	relusquei	-	reluscache	-	-	reluscaram	-	reluscáramos	-	reluscárades	-	reluscaram	-	-	-	-	-	reluscarám	reluscaria	reluscaríamos	reluscarias	reluscaríades	-	reluscariam	relusque	relusquemos	relusques	relusquedes	relusque	relusquem	reluscasse	reluscássemos	reluscasses	reluscássedes	-	reluscassem	-	-	-	-	-	reluscarem	-	-	-	-	-	reluscarem	-	-
relustrar	-	-	-	-	-	-	-	-	-	-	-	relustram	relustrava	relustrávamos	relustravas	relustrávades	-	relustravam	-	-	relustrache	-	-	relustraram	-	relustráramos	-	relustrárades	-	relustraram	-	-	-	-	-	relustrarám	relustraria	relustraríamos	relustrarias	relustraríades	-	relustrariam	-	-	-	-	-	relustrem	relustrasse	relustrássemos	relustrasses	relustrássedes	-	relustrassem	-	-	-	-	-	relustrarem	-	-	-	-	-	relustrarem	-	-
remanecer	-	-	-	-	-	-	remanezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remaneza	remanezamos	remanezas	remanezades	remaneza	remanezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
remangar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remanguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remangue	remanguemos	remangues	remanguedes	remangue	remanguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
remoscar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remosquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remosque	remosquemos	remosques	remosquedes	remosque	remosquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
remoucar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remouquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	remouque	remouquemos	remouques	remouquedes	remouque	remouquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
renacer	-	-	-	-	-	-	renazo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	renaza	renazamos	renazas	renazades	renaza	renazan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
renegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reneguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	renegue	reneguemos	renegues	reneguedes	renegue	reneguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reorganizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	reorganicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
repenicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	repeniquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	repenique	repeniquemos	repeniques	repeniquedes	repenique	repeniquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
repetir	-	-	-	-	-	-	repito	-	-	-	-	repetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	repita	repitamos	repitas	repitades	repita	repitam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
repoñer	-	-	reposto	reposta	repostos	repostas	-	-	repós	-	repón	-	-	-	-	-	-	-	repuxen	repuxemos	repuxeches	repuxestes	repuxo	repuxeron	repuxera	repuxeramos	repuxeras	repuxerades	repuxera	repuxeran	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	repuxese	repuxésemos	repuxeses	repuxésedes	repuxese	repuxesen	repuxer	repuxermos	repuxeres	repuxerdes	repuxer	repuxeren	-	-	-	-	-	-	repón	-
