# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
anchecken	-	-	-	-	-	-	-	-	-	agecheckt
andecken	-	-	-	-	-	-	-	-	-	agedeckt
andeelen	-	-	-	-	-	-	-	-	-	agedeelt
andreiwen	-	-	-	-	-	-	-	-	-	agedriwwen
androen	-	-	-	-	-	-	-	-	-	agedroen
andrécken	-	-	-	-	-	-	-	-	-	agedréckt
andréien	-	-	-	-	-	-	-	-	-	agedréit
andréngen	-	-	-	-	-	-	-	-	-	agedrongen
anengen	-	-	-	-	-	-	-	-	-	agëengt
anhaen	-	-	-	-	-	-	-	-	-	agehaen
anhuelen	-	-	-	-	-	-	-	-	-	ageholl
anhänken	-	-	-	-	-	-	-	-	-	agehaang
annäipen	-	-	-	-	-	-	-	-	-	agenäipt
annécken	-	-	-	-	-	-	-	-	-	agenéckt
antompen	-	-	-	-	-	-	-	-	-	agetompt
antriichteren	-	-	-	-	-	-	-	-	-	agetriichtert
antroteren	-	-	-	-	-	-	-	-	-	agetrotert
anzéien	-	-	-	-	-	-	-	-	-	agezunn
anzénken	-	-	-	-	-	-	-	-	-	agezénkt
apaken	-	-	-	-	-	-	-	-	-	agepaakt
apetéieren	-	-	-	-	-	-	-	-	-	geapetéiert
arenken	-	-	-	-	-	-	-	-	-	agerenkt
arieden	-	-	-	-	-	-	-	-	-	ageriet
aschléissen	-	-	-	-	-	-	-	-	-	ageschloss
aschreiwen	-	-	-	-	-	-	-	-	-	ageschriwwen
aschätzen	-	-	-	-	-	-	-	-	-	ageschat
asetzen	-	-	-	-	-	-	-	-	-	agesat
asteigen	-	-	-	-	-	-	-	-	-	agestigen
asäckelen	-	-	-	-	-	-	-	-	-	agesäckelt
ausbriechen	-	-	-	-	-	-	-	-	-	ausgebrach
ausdoen	-	-	-	-	-	-	-	-	-	ausgedoen
ausdroen	-	-	-	-	-	-	-	-	-	ausgedroen
ausfroen	-	-	-	-	-	-	-	-	-	ausgefrot
