# lemma	p1sg	p3sg	da	pst1sg	nud	tud	imp2sg	gu	takse ("-" = derive)
seiklema	-	-	seigelda	-	seigelnud	seigeldud	-	seigelgu	seigeldakse	-	-
seisma	seisan	seisab	seista	seisin	-	seistud	seisa	seisku	seistakse	seisis	seisev
siduma	seon	seob	-	-	-	seotud	seo	-	seotakse	-	-
sihtima	sihin	sihib	-	-	-	sihitud	sihi	-	sihitakse	-	-
sittuma	situn	situb	-	-	-	situtud	situ	-	situtakse
soolama	-	-	soolata	-	-	-	-	soolaku	-
streikima	streigin	streigib	-	-	-	streigitud	streigi	-	streigitakse
sundima	sunnin	sunnib	-	-	-	sunnitud	sunni	-	sunnitakse
surema	-	-	surra	surin	surnud	surdud	-	surgu	surrakse
surmama	-	-	surmata	-	-	-	-	surmaku	-
suudlema	-	-	suudelda	-	suudelnud	suudeldud	-	suudelgu	suudeldakse	-	-
suunama	-	-	suunata	-	-	-	-	suunaku	-
suutma	suudan	suudab	suuta	suutsin	-	suudetud	suuda	suutku	suudetakse	suutis	suutev
sõimama	-	-	sõimata	-	-	-	-	sõimaku	-
sõitma	sõidan	sõidab	sõita	sõitsin	-	sõidetud	sõida	sõitku	sõidetakse	sõitis	sõitev
sõudma	sõuan	sõuab	sõuda	-	-	sõutud	sõua	sõudku	sõutakse	sõudis	sõudev
sööma	-	-	süüa	sõin	-	söödud	-	-	süüakse
sööstma	sööstan	sööstab	söösta	sööstsin	-	sööstetud	söösta	sööstku	sööstetakse	sööstis	sööstev
söötma	söödan	söödab	sööta	söötsin	-	söödetud	sööda	söötku	söödetakse	söötis	söötev
sülgama	-	-	süljata	-	süljanud	süljatud	-	süljaku	süljatakse
sündima	sünnin	sünnib	-	-	-	sünnitud	sünni	-	sünnitakse
taguma	taon	taob	-	-	-	taotud	tao	-	taotakse	-	-
tahtma	tahan	tahab	tahta	tahtsin	-	tahetud	taha	tahtku	tahetakse	tahtis	tahtev
tallama	-	-	tallata	-	-	-	-	tallaku	-
tapma	tapan	tapab	tappa	tapsin	-	tapetud	tapa	tapku	tapetakse	tappis	tappev
teadma	tean	teab	teada	teadsin	-	teatud	tea	teadku	teatakse	teadis	teadev
tegema	teen	teeb	teha	tegin	teinud	tehtud	tee	tehku	tehakse
tilkuma	tilgun	tilgub	-	-	-	tilgutud	tilgu	-	tilgutakse
tohtima	tohin	tohib	-	-	-	tohitud	tohi	-	tohitakse
toitma	toidan	toidab	toita	toitsin	-	toidetud	toida	toitku	toidetakse	toitis	toitev
tooma	-	-	tuua	tõin	-	toodud	-	-	tuuakse
tootma	toodan	toodab	toota	tootsin	-	toodetud	tooda	tootku	toodetakse	tootis	tootev
trükkima	trükin	trükib	-	-	-	trükitud	trüki	-	trükitakse
tuiskama	-	-	tuisata	-	tuisanud	tuisatud	-	tuisaku	tuisatakse
tukkuma	tukun	tukub	-	-	-	tukutud	tuku	-	tukutakse
tulema	-	-	tulla	tulin	tulnud	tuldud	-	tulgu	tullakse
tundma	tunnen	tunneb	tunda	-	-	tuntud	tunne	tundku	tuntakse	tundis	tundev
tuupima	tuubin	tuubib	-	-	-	tuubitud	tuubi	-	tuubitakse
täitma	täidan	täidab	täita	täitsin	-	täidetud	täida	täitku	täidetakse	täitis	täitev
tärkama	-	-	tärgata	-	tärganud	tärgatud	-	tärgaku	tärgatakse
tõlkima	tõlgin	tõlgib	-	-	-	tõlgitud	tõlgi	-	tõlgitakse
tõmbama	-	-	tõmmata	-	tõmmanud	tõmmatud	-	tõmmaku	tõmmatakse
tõrvama	-	-	tõrvata	-	-	-	-	tõrvaku	-
tõstma	tõstan	tõstab	tõsta	tõstsin	-	tõstetud	tõsta	tõstku	tõstetakse	tõstis	tõstev
tõttama	-	-	tõtata	-	tõtanud	tõtatud	-	tõtaku	tõtatakse
tõusma	tõusen	tõuseb	tõusta	tõusin	-	tõustud	tõuse	tõusku	tõustakse	tõusis	tõusev
uskuma	usun	usub	-	-	-	usutud	usu	-	usutakse
vaatama	-	-	vaadata	-	vaadanud	vaadatud	-	vaadaku	vaadatakse
vaatlema	-	-	vaadelda	-	vaadelnud	vaadeldud	-	vaadelgu	vaadeldakse
vaidlema	-	-	vaielda	-	vaielnud	vaieldud	-	vaielgu	vaieldakse	-	-
valdama	-	-	vallata	-	vallanud	vallatud	-	vallaku	vallatakse
valvama	-	-	valvata	-	-	-	-	valvaku	-
vanduma	vannun	vannub	-	-	-	vannutud	vannu	-	vannutakse
vastama	-	-	vastata	-	-	-	-	vastaku	-
vedama	vean	veab	-	-	-	veetud	vea	-	veetakse
veenma	veenan	veenab	-	veensin	-	veendud	veena	-	veendakse	veenis	veenev
veetma	veedan	veedab	veeta	veetsin	-	veedetud	veeda	veetku	veedetakse	veetis	veetev
vihkama	-	-	vihata	-	vihanud	vihatud	-	vihaku	vihatakse
viima	-	-	viia	-	-	viidud	-	-	viiakse
viitama	-	-	viidata	-	viidanud	viidatud	-	viidaku	viidatakse
viskama	-	-	visata	-	visanud	visatud	-	visaku	visatakse
voolama	-	-	voolata	-	-	-	-	voolaku	-
väisama	-	-	väisata	-	-	-	-	väisaku	-
väitma	väidan	väidab	väita	väitsin	-	väidetud	väida	väitku	väidetakse	väitis	väitev
vältima	väldin	väldib	-	-	-	välditud	väldi	-	välditakse	-	-
võidma	võian	võiab	võida	võidsin	-	võitud	võia	võidku	võitakse	võidis	võidev
võima	-	-	-	-	-	võidud	-	-	võidakse
võistlema	-	-	võistelda	-	võistelnud	võisteldud	-	võistelgu	võisteldakse
võitlema	-	-	võidelda	-	võidelnud	võideldud	-	võidelgu	võideldakse
võitma	võidan	võidab	võita	võitsin	-	võidetud	võida	võitku	võidetakse	võitis	võitev
võrdlema	-	-	võrrelda	-	võrrelnud	võrreldud	-	võrrelgu	võrreldakse
võtma	võtan	võtab	võtta	võtsin	-	võetud	võta	võtku	võetakse	võttis	võttev
ähkima	ähin	ähib	-	-	-	ähitud	ähi	-	ähitakse
ärkama	-	-	ärgata	-	ärganud	ärgatud	-	ärgaku	ärgatakse
õmblema	-	-	õmmelda	-	õmmelnud	õmmeldud	-	õmmelgu	õmmeldakse
õppima	õpin	õpib	-	-	-	õpitud	õpi	-	õpitakse
öökima	öögin	öögib	-	-	-	öögitud	öögi	-	öögitakse
ütlema	-	-	öelda	-	öelnud	öeldud	-	öelgu	öeldakse
