# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
przedzierzgać:Vp	-	-	-	-	-	-	przedzierzgam	przedzierzgasz	przedzierzga	przedzierzgamy	przedzierzgacie	przedzierzgają	-	przedzierzgała	przedzierzgało	przedzierzgali	przedzierzgały	przedzierzgaj	przedzierzgajmy	przedzierzgajcie	przedzierzgać
przedzierzgiwać	przedzierzguję	przedzierzgujesz	przedzierzguje	przedzierzgujemy	przedzierzgujecie	przedzierzgują	-	-	-	-	-	-	-	-	-	-	-	przedzierzguj	przedzierzgujmy	przedzierzgujcie	-
przedzierzgnąć	-	-	-	-	-	-	przedzierzgnę	przedzierzgniesz	przedzierzgnie	przedzierzgniemy	przedzierzgniecie	przedzierzgną	-	przedzierzgnęła	przedzierzgnęło	przedzierzgnęli	przedzierzgnęły	przedzierzgnij	przedzierzgnijmy	przedzierzgnijcie	-
przedzierżgiwać	przedzierżguję	przedzierżgujesz	przedzierżguje	przedzierżgujemy	przedzierżgujecie	przedzierżgują	-	-	-	-	-	-	-	-	-	-	-	przedzierżguj	przedzierżgujmy	przedzierżgujcie	-
przedzierżgnąć	-	-	-	-	-	-	przedzierżgnę	przedzierżgniesz	przedzierżgnie	przedzierżgniemy	przedzierżgniecie	przedzierżgną	-	przedzierżgnęła	przedzierżgnęło	przedzierżgnęli	przedzierżgnęły	przedzierżgnij	przedzierżgnijmy	przedzierżgnijcie	-
przedziesiątkować	-	-	-	-	-	-	przedziesiątkuję	przedziesiątkujesz	przedziesiątkuje	przedziesiątkujemy	przedziesiątkujecie	przedziesiątkują	-	-	-	-	-	przedziesiątkuj	przedziesiątkujmy	przedziesiątkujcie	-
przedziewać	przedziewam	przedziewasz	przedziewa	przedziewamy	przedziewacie	przedziewają	-	-	-	-	-	-	-	-	-	-	-	przedziewaj	przedziewajmy	przedziewajcie	-
przedziurawiać	przedziurawiam	przedziurawiasz	przedziurawia	przedziurawiamy	przedziurawiacie	przedziurawiają	-	-	-	-	-	-	-	-	-	-	-	przedziurawiaj	przedziurawiajmy	przedziurawiajcie	-
przedziurawić	-	-	-	-	-	-	przedziurawię	przedziurawisz	przedziurawi	przedziurawimy	przedziurawicie	przedziurawią	-	-	-	-	-	przedziuraw	przedziurawmy	przedziurawcie	-
przedziurkować	-	-	-	-	-	-	przedziurkuję	przedziurkujesz	przedziurkuje	przedziurkujemy	przedziurkujecie	przedziurkują	-	-	-	-	-	przedziurkuj	przedziurkujmy	przedziurkujcie	-
przedziurkowywać	przedziurkowuję	przedziurkowujesz	przedziurkowuje	przedziurkowujemy	przedziurkowujecie	przedziurkowują	-	-	-	-	-	-	-	-	-	-	-	przedziurkowuj	przedziurkowujmy	przedziurkowujcie	-
przedziwaczać	przedziwaczam	przedziwaczasz	przedziwacza	przedziwaczamy	przedziwaczacie	przedziwaczają	-	-	-	-	-	-	-	-	-	-	-	przedziwaczaj	przedziwaczajmy	przedziwaczajcie	-
przedziwaczyć	-	-	-	-	-	-	przedziwaczę	przedziwaczysz	przedziwaczy	przedziwaczymy	przedziwaczycie	przedziwaczą	-	-	-	-	-	przedziwacz	przedziwaczmy	przedziwaczcie	-
przedzwaniać	przedzwaniam	przedzwaniasz	przedzwania	przedzwaniamy	przedzwaniacie	przedzwaniają	-	-	-	-	-	-	-	-	-	-	-	przedzwaniaj	przedzwaniajmy	przedzwaniajcie	-
przedzwonić	-	-	-	-	-	-	przedzwonię	przedzwonisz	przedzwoni	przedzwonimy	przedzwonicie	przedzwonią	-	-	-	-	-	przedzwoń	przedzwońmy	przedzwońcie	-
przedąć	-	-	-	-	-	-	przedmę	przedmiesz	przedmie	przedmiemy	przedmiecie	przedmą	-	przedęła	przedęło	przedęli	przedęły	przedmij	przedmijmy	przedmijcie	-
przedłożyć	-	-	-	-	-	-	przedłożę	przedłożysz	przedłoży	przedłożymy	przedłożycie	przedłożą	-	-	-	-	-	przedłóż	przedłóżmy	przedłóżcie	-
przedłużać	przedłużam	przedłużasz	przedłuża	przedłużamy	przedłużacie	przedłużają	-	-	-	-	-	-	-	-	-	-	-	przedłużaj	przedłużajmy	przedłużajcie	-
przedłużyć	-	-	-	-	-	-	przedłużę	przedłużysz	przedłuży	przedłużymy	przedłużycie	przedłużą	-	-	-	-	-	przedłuż	przedłużmy	przedłużcie	-
przedźwigać	-	-	-	-	-	-	przedźwigam	przedźwigasz	przedźwiga	przedźwigamy	przedźwigacie	przedźwigają	-	-	-	-	-	przedźwigaj	przedźwigajmy	przedźwigajcie	-
przedźwigiwać	przedźwiguję	przedźwigujesz	przedźwiguje	przedźwigujemy	przedźwigujecie	przedźwigują	-	-	-	-	-	-	-	-	-	-	-	przedźwiguj	przedźwigujmy	przedźwigujcie	-
przedźwignąć	-	-	-	-	-	-	przedźwignę	przedźwigniesz	przedźwignie	przedźwigniemy	przedźwigniecie	przedźwigną	-	przedźwignęła	przedźwignęło	przedźwignęli	przedźwignęły	przedźwignij	przedźwignijmy	przedźwignijcie	-
przedźwięczeć	-	-	-	-	-	-	przedźwięczę	przedźwięczysz	przedźwięczy	przedźwięczymy	przedźwięczycie	przedźwięczą	-	przedźwięczała	przedźwięczało	-	przedźwięczały	przedźwięcz	przedźwięczmy	przedźwięczcie	-
przedźwiękiwać	przedźwiękuję	przedźwiękujesz	przedźwiękuje	przedźwiękujemy	przedźwiękujecie	przedźwiękują	-	-	-	-	-	-	-	-	-	-	-	przedźwiękuj	przedźwiękujmy	przedźwiękujcie	-
przedźwięknąć	-	-	-	-	-	-	przedźwięknę	przedźwiękniesz	przedźwięknie	przedźwiękniemy	przedźwiękniecie	przedźwiękną	-	przedźwięknęła	przedźwięknęło	przedźwięknęli	przedźwięknęły	przedźwięknij	przedźwięknijmy	przedźwięknijcie	-
przeegzaminować	-	-	-	-	-	-	przeegzaminuję	przeegzaminujesz	przeegzaminuje	przeegzaminujemy	przeegzaminujecie	przeegzaminują	-	-	-	-	-	przeegzaminuj	przeegzaminujmy	przeegzaminujcie	-
przeegzaminowywać	przeegzaminowuję	przeegzaminowujesz	przeegzaminowuje	przeegzaminowujemy	przeegzaminowujecie	przeegzaminowują	-	-	-	-	-	-	-	-	-	-	-	przeegzaminowuj	przeegzaminowujmy	przeegzaminowujcie	-
przeekspediować	-	-	-	-	-	-	przeekspediuję	przeekspediujesz	przeekspediuje	przeekspediujemy	przeekspediujecie	przeekspediują	-	-	-	-	-	przeekspediuj	przeekspediujmy	przeekspediujcie	-
przeeksperymentować	-	-	-	-	-	-	przeeksperymentuję	przeeksperymentujesz	przeeksperymentuje	przeeksperymentujemy	przeeksperymentujecie	przeeksperymentują	-	-	-	-	-	przeeksperymentuj	przeeksperymentujmy	przeeksperymentujcie	-
przeeksponować	-	-	-	-	-	-	przeeksponuję	przeeksponujesz	przeeksponuje	przeeksponujemy	przeeksponujecie	przeeksponują	-	-	-	-	-	przeeksponuj	przeeksponujmy	przeeksponujcie	-
przeeksponowywać	przeeksponowuję	przeeksponowujesz	przeeksponowuje	przeeksponowujemy	przeeksponowujecie	przeeksponowują	-	-	-	-	-	-	-	-	-	-	-	przeeksponowuj	przeeksponowujmy	przeeksponowujcie	-
przeestetyzować	-	-	-	-	-	-	przeestetyzuję	przeestetyzujesz	przeestetyzuje	przeestetyzujemy	przeestetyzujecie	przeestetyzują	-	-	-	-	-	przeestetyzuj	przeestetyzujmy	przeestetyzujcie	-
przefacjendować	-	-	-	-	-	-	przefacjenduję	przefacjendujesz	przefacjenduje	przefacjendujemy	przefacjendujecie	przefacjendują	-	-	-	-	-	przefacjenduj	przefacjendujmy	przefacjendujcie	-
przefajkować	-	-	-	-	-	-	przefajkuję	przefajkujesz	przefajkuje	przefajkujemy	przefajkujecie	przefajkują	-	-	-	-	-	przefajkuj	przefajkujmy	przefajkujcie	-
przefajnować	-	-	-	-	-	-	przefajnuję	przefajnujesz	przefajnuje	przefajnujemy	przefajnujecie	przefajnują	-	-	-	-	-	przefajnuj	przefajnujmy	przefajnujcie	-
przefajnowywać	przefajnowuję	przefajnowujesz	przefajnowuje	przefajnowujemy	przefajnowujecie	przefajnowują	-	-	-	-	-	-	-	-	-	-	-	przefajnowuj	przefajnowujmy	przefajnowujcie	-
przefaksować	-	-	-	-	-	-	przefaksuję	przefaksujesz	przefaksuje	przefaksujemy	przefaksujecie	przefaksują	-	-	-	-	-	przefaksuj	przefaksujmy	przefaksujcie	-
przefaksowywać	przefaksowuję	przefaksowujesz	przefaksowuje	przefaksowujemy	przefaksowujecie	przefaksowują	-	-	-	-	-	-	-	-	-	-	-	przefaksowuj	przefaksowujmy	przefaksowujcie	-
przefalować	-	-	-	-	-	-	przefaluję	przefalujesz	przefaluje	przefalujemy	przefalujecie	przefalują	-	-	-	-	-	przefaluj	przefalujmy	przefalujcie	-
przefarbować	-	-	-	-	-	-	przefarbuję	przefarbujesz	przefarbuje	przefarbujemy	przefarbujecie	przefarbują	-	-	-	-	-	przefarbuj	przefarbujmy	przefarbujcie	-
przefarbowywać	przefarbowuję	przefarbowujesz	przefarbowuje	przefarbowujemy	przefarbowujecie	przefarbowują	-	-	-	-	-	-	-	-	-	-	-	przefarbowuj	przefarbowujmy	przefarbowujcie	-
przefasonować	-	-	-	-	-	-	przefasonuję	przefasonujesz	przefasonuje	przefasonujemy	przefasonujecie	przefasonują	-	-	-	-	-	przefasonuj	przefasonujmy	przefasonujcie	-
przefasować	-	-	-	-	-	-	przefasuję	przefasujesz	przefasuje	przefasujemy	przefasujecie	przefasują	-	-	-	-	-	przefasuj	przefasujmy	przefasujcie	-
przefermentować	-	-	-	-	-	-	przefermentuję	przefermentujesz	przefermentuje	przefermentujemy	przefermentujecie	przefermentują	-	-	-	-	-	przefermentuj	przefermentujmy	przefermentujcie	-
przefermentowywać	przefermentowuję	przefermentowujesz	przefermentowuje	przefermentowujemy	przefermentowujecie	przefermentowują	-	-	-	-	-	-	-	-	-	-	-	przefermentowuj	przefermentowujmy	przefermentowujcie	-
przefilozofować	-	-	-	-	-	-	przefilozofuję	przefilozofujesz	przefilozofuje	przefilozofujemy	przefilozofujecie	przefilozofują	-	-	-	-	-	przefilozofuj	przefilozofujmy	przefilozofujcie	-
przefiltrować	-	-	-	-	-	-	przefiltruję	przefiltrujesz	przefiltruje	przefiltrujemy	przefiltrujecie	przefiltrują	-	-	-	-	-	przefiltruj	przefiltrujmy	przefiltrujcie	-
przefiltrowywać	przefiltrowuję	przefiltrowujesz	przefiltrowuje	przefiltrowujemy	przefiltrowujecie	przefiltrowują	-	-	-	-	-	-	-	-	-	-	-	przefiltrowuj	przefiltrowujmy	przefiltrowujcie	-
przefiukać	-	-	-	-	-	-	przefiukam	przefiukasz	przefiuka	przefiukamy	przefiukacie	przefiukają	-	-	-	-	-	przefiukaj	przefiukajmy	przefiukajcie	-
przefiukiwać	przefiukuję	przefiukujesz	przefiukuje	przefiukujemy	przefiukujecie	przefiukują	-	-	-	-	-	-	-	-	-	-	-	przefiukuj	przefiukujmy	przefiukujcie	-
przeflancować	-	-	-	-	-	-	przeflancuję	przeflancujesz	przeflancuje	przeflancujemy	przeflancujecie	przeflancują	-	-	-	-	-	przeflancuj	przeflancujmy	przeflancujcie	-
przeflancowywać	przeflancowuję	przeflancowujesz	przeflancowuje	przeflancowujemy	przeflancowujecie	przeflancowują	-	-	-	-	-	-	-	-	-	-	-	przeflancowuj	przeflancowujmy	przeflancowujcie	-
przeformatować	-	-	-	-	-	-	przeformatuję	przeformatujesz	przeformatuje	przeformatujemy	przeformatujecie	przeformatują	-	-	-	-	-	przeformatuj	przeformatujmy	przeformatujcie	-
przeformować	-	-	-	-	-	-	przeformuję	przeformujesz	przeformuje	przeformujemy	przeformujecie	przeformują	-	-	-	-	-	przeformuj	przeformujmy	przeformujcie	-
przeformowywać	przeformowuję	przeformowujesz	przeformowuje	przeformowujemy	przeformowujecie	przeformowują	-	-	-	-	-	-	-	-	-	-	-	przeformowuj	przeformowujmy	przeformowujcie	-
przeformułować	-	-	-	-	-	-	przeformułuję	przeformułujesz	przeformułuje	przeformułujemy	przeformułujecie	przeformułują	-	-	-	-	-	przeformułuj	przeformułujmy	przeformułujcie	-
przeformułowywać	przeformułowuję	przeformułowujesz	przeformułowuje	przeformułowujemy	przeformułowujecie	przeformułowują	-	-	-	-	-	-	-	-	-	-	-	przeformułowuj	przeformułowujmy	przeformułowujcie	-
przeforsować	-	-	-	-	-	-	przeforsuję	przeforsujesz	przeforsuje	przeforsujemy	przeforsujecie	przeforsują	-	-	-	-	-	przeforsuj	przeforsujmy	przeforsujcie	-
przeforsowywać	przeforsowuję	przeforsowujesz	przeforsowuje	przeforsowujemy	przeforsowujecie	przeforsowują	-	-	-	-	-	-	-	-	-	-	-	przeforsowuj	przeforsowujmy	przeforsowujcie	-
przeforsztować	-	-	-	-	-	-	przeforsztuję	przeforsztujesz	przeforsztuje	przeforsztujemy	przeforsztujecie	przeforsztują	-	-	-	-	-	przeforsztuj	przeforsztujmy	przeforsztujcie	-
przeforwardować	-	-	-	-	-	-	przeforwarduję	przeforwardujesz	przeforwarduje	przeforwardujemy	przeforwardujecie	przeforwardują	-	-	-	-	-	przeforwarduj	przeforwardujmy	przeforwardujcie	-
przefrunąć	-	-	-	-	-	-	przefrunę	przefruniesz	przefrunie	przefruniemy	przefruniecie	przefruną	-	przefrunęła	przefrunęło	przefrunęli	przefrunęły	przefruń	przefruńmy	przefruńcie	-
przefruwać	przefruwam	przefruwasz	przefruwa	przefruwamy	przefruwacie	przefruwają	-	-	-	-	-	-	-	-	-	-	-	przefruwaj	przefruwajmy	przefruwajcie	-
przefrymarczyć	-	-	-	-	-	-	przefrymarczę	przefrymarczysz	przefrymarczy	przefrymarczymy	przefrymarczycie	przefrymarczą	-	-	-	-	-	przefrymarcz	przefrymarczmy	przefrymarczcie	-
przefujarzyć	-	-	-	-	-	-	przefujarzę	przefujarzysz	przefujarzy	przefujarzymy	przefujarzycie	przefujarzą	-	-	-	-	-	przefujarz	przefujarzmy	przefujarzcie	-
przefundować	-	-	-	-	-	-	przefunduję	przefundujesz	przefunduje	przefundujemy	przefundujecie	przefundują	-	-	-	-	-	przefunduj	przefundujmy	przefundujcie	-
przefurczeć	-	-	-	-	-	-	przefurczę	przefurczysz	przefurczy	przefurczymy	przefurczycie	przefurczą	-	przefurczała	przefurczało	-	przefurczały	przefurcz	przefurczmy	przefurczcie	-
przegadać	-	-	-	-	-	-	przegadam	przegadasz	przegada	przegadamy	przegadacie	przegadają	-	-	-	-	-	przegadaj	przegadajmy	przegadajcie	-
przegadywać	przegaduję	przegadujesz	przegaduje	przegadujemy	przegadujecie	przegadują	-	-	-	-	-	-	-	-	-	-	-	przegaduj	przegadujmy	przegadujcie	-
przegalopować	-	-	-	-	-	-	przegalopuję	przegalopujesz	przegalopuje	przegalopujemy	przegalopujecie	przegalopują	-	-	-	-	-	przegalopuj	przegalopujmy	przegalopujcie	-
przeganiać	przeganiam	przeganiasz	przegania	przeganiamy	przeganiacie	przeganiają	-	-	-	-	-	-	-	-	-	-	-	przeganiaj	przeganiajmy	przeganiajcie	-
przegapiać	przegapiam	przegapiasz	przegapia	przegapiamy	przegapiacie	przegapiają	-	-	-	-	-	-	-	-	-	-	-	przegapiaj	przegapiajmy	przegapiajcie	-
przegapić	-	-	-	-	-	-	przegapię	przegapisz	przegapi	przegapimy	przegapicie	przegapią	-	-	-	-	-	przegap	przegapmy	przegapcie	-
przegarbować	-	-	-	-	-	-	przegarbuję	przegarbujesz	przegarbuje	przegarbujemy	przegarbujecie	przegarbują	-	-	-	-	-	przegarbuj	przegarbujmy	przegarbujcie	-
przegarbowywać	przegarbowuję	przegarbowujesz	przegarbowuje	przegarbowujemy	przegarbowujecie	przegarbowują	-	-	-	-	-	-	-	-	-	-	-	przegarbowuj	przegarbowujmy	przegarbowujcie	-
przegardzać	przegardzam	przegardzasz	przegardza	przegardzamy	przegardzacie	przegardzają	-	-	-	-	-	-	-	-	-	-	-	przegardzaj	przegardzajmy	przegardzajcie	-
przegardzić	-	-	-	-	-	-	przegardzę	przegardzisz	przegardzi	przegardzimy	przegardzicie	przegardzą	-	-	-	-	-	przegardź	przegardźmy	przegardźcie	-
przegarniać	przegarniam	przegarniasz	przegarnia	przegarniamy	przegarniacie	przegarniają	-	-	-	-	-	-	-	-	-	-	-	przegarniaj	przegarniajmy	przegarniajcie	-
przegarnąć	-	-	-	-	-	-	przegarnę	przegarniesz	przegarnie	przegarniemy	przegarniecie	przegarną	-	przegarnęła	przegarnęło	przegarnęli	przegarnęły	przegarnij	przegarnijmy	przegarnijcie	-
przegarować	-	-	-	-	-	-	przegaruję	przegarujesz	przegaruje	przegarujemy	przegarujecie	przegarują	-	-	-	-	-	przegaruj	przegarujmy	przegarujcie	-
przegartywać	przegartuję	przegartujesz	przegartuje	przegartujemy	przegartujecie	przegartują	-	-	-	-	-	-	-	-	-	-	-	przegartuj	przegartujmy	przegartujcie	-
przegawędzić	-	-	-	-	-	-	przegawędzę	przegawędzisz	przegawędzi	przegawędzimy	przegawędzicie	przegawędzą	-	-	-	-	-	przegawędź	przegawędźmy	przegawędźcie	-
przegimnastykować	-	-	-	-	-	-	przegimnastykuję	przegimnastykujesz	przegimnastykuje	przegimnastykujemy	przegimnastykujecie	przegimnastykują	-	-	-	-	-	przegimnastykuj	przegimnastykujmy	przegimnastykujcie	-
przeginać	przeginam	przeginasz	przegina	przeginamy	przeginacie	przeginają	-	-	-	-	-	-	-	-	-	-	-	przeginaj	przeginajmy	przeginajcie	-
przeginąć	-	-	-	-	-	-	przeginę	przeginiesz	przeginie	przeginiemy	przeginiecie	przeginą	-	przeginęła	przeginęło	przeginęli	przeginęły	przegiń	przegińmy	przegińcie	-
przegiąć	-	-	-	-	-	-	przegnę	przegniesz	przegnie	przegniemy	przegniecie	przegną	-	przegięła	przegięło	przegięli	przegięły	przegnij	przegnijmy	przegnijcie	-
przeglądać	przeglądam	przeglądasz	przegląda	przeglądamy	przeglądacie	przeglądają	-	-	-	-	-	-	-	-	-	-	-	przeglądaj	przeglądajmy	przeglądajcie	-
przeglądnąć	-	-	-	-	-	-	przeglądnę	przeglądniesz	przeglądnie	przeglądniemy	przeglądniecie	przeglądną	-	przeglądnęła	przeglądnęło	przeglądnęli	przeglądnęły	przeglądnij	przeglądnijmy	przeglądnijcie	-
przegnajać	przegnajam	przegnajasz	przegnaja	przegnajamy	przegnajacie	przegnajają	-	-	-	-	-	-	-	-	-	-	-	przegnajaj	przegnajajmy	przegnajajcie	-
przegnać	-	-	-	-	-	-	przegnam	przegnasz	przegna	przegnamy	przegnacie	przegnają	-	-	-	-	-	przegnaj	przegnajmy	przegnajcie	-
przegniatać	przegniatam	przegniatasz	przegniata	przegniatamy	przegniatacie	przegniatają	-	-	-	-	-	-	-	-	-	-	-	przegniataj	przegniatajmy	przegniatajcie	-
przegniewać	-	-	-	-	-	-	przegniewam	przegniewasz	przegniewa	przegniewamy	przegniewacie	przegniewają	-	-	-	-	-	przegniewaj	przegniewajmy	przegniewajcie	-
przegnieść	-	-	-	-	-	-	przegniotę	przegnieciesz	przegniecie	przegnieciemy	przegnieciecie	przegniotą	-	przegniotła	przegniotło	przegnietli	przegniotły	przegnieć	przegniećmy	przegniećcie	-
przegniwać	przegniwam	przegniwasz	przegniwa	przegniwamy	przegniwacie	przegniwają	-	-	-	-	-	-	-	-	-	-	-	przegniwaj	przegniwajmy	przegniwajcie	-
przegnić	-	-	-	-	-	-	przegniję	przegnijesz	przegnije	przegnijemy	przegnijecie	przegniją	-	-	-	-	-	przegnij	przegnijmy	przegnijcie	-
przegnoić	-	-	-	-	-	-	przegnoję	przegnoisz	przegnoi	przegnoimy	przegnoicie	przegnoją	-	-	-	-	-	przegnój	przegnójmy	przegnójcie	-
przegonić	-	-	-	-	-	-	przegonię	przegonisz	przegoni	przegonimy	przegonicie	przegonią	-	-	-	-	-	przegoń	przegońmy	przegońcie	-
przegorzeć	-	-	-	-	-	-	przegorzeję	przegorzejesz	przegorzeje	przegorzejemy	przegorzejecie	przegorzeją	-	przegorzała	przegorzało	-	przegorzały	przegorzej	przegorzejmy	przegorzejcie	-
przegospodarować	-	-	-	-	-	-	przegospodaruję	przegospodarujesz	przegospodaruje	przegospodarujemy	przegospodarujecie	przegospodarują	-	-	-	-	-	przegospodaruj	przegospodarujmy	przegospodarujcie	-
przegotować	-	-	-	-	-	-	przegotuję	przegotujesz	przegotuje	przegotujemy	przegotujecie	przegotują	-	-	-	-	-	przegotuj	przegotujmy	przegotujcie	-
przegotowywać	przegotowuję	przegotowujesz	przegotowuje	przegotowujemy	przegotowujecie	przegotowują	-	-	-	-	-	-	-	-	-	-	-	przegotowuj	przegotowujmy	przegotowujcie	-
przegradzać	przegradzam	przegradzasz	przegradza	przegradzamy	przegradzacie	przegradzają	-	-	-	-	-	-	-	-	-	-	-	przegradzaj	przegradzajmy	przegradzajcie	-
przegramolić	-	-	-	-	-	-	przegramolę	przegramolisz	przegramoli	przegramolimy	przegramolicie	przegramolą	-	-	-	-	-	przegramol	przegramolmy	przegramolcie	-
przegranulować	-	-	-	-	-	-	przegranuluję	przegranulujesz	przegranuluje	przegranulujemy	przegranulujecie	przegranulują	-	-	-	-	-	przegranuluj	przegranulujmy	przegranulujcie	-
przegranulowywać	przegranulowuję	przegranulowujesz	przegranulowuje	przegranulowujemy	przegranulowujecie	przegranulowują	-	-	-	-	-	-	-	-	-	-	-	przegranulowuj	przegranulowujmy	przegranulowujcie	-
przegrać	-	-	-	-	-	-	przegram	przegrasz	przegra	przegramy	przegracie	przegrają	-	-	-	-	-	przegraj	przegrajmy	przegrajcie	-
przegrażać	przegrażam	przegrażasz	przegraża	przegrażamy	przegrażacie	przegrażają	-	-	-	-	-	-	-	-	-	-	-	przegrażaj	przegrażajmy	przegrażajcie	-
przegrodzić	-	-	-	-	-	-	przegrodzę	przegrodzisz	przegrodzi	przegrodzimy	przegrodzicie	przegrodzą	-	-	-	-	-	przegrodź	przegrodźmy	przegrodźcie	-
przegrozić	-	-	-	-	-	-	przegrożę	przegrozisz	przegrozi	przegrozimy	przegrozicie	przegrożą	-	-	-	-	-	przegroź	przegroźmy	przegroźcie	-
przegrupować	-	-	-	-	-	-	przegrupuję	przegrupujesz	przegrupuje	przegrupujemy	przegrupujecie	przegrupują	-	-	-	-	-	przegrupuj	przegrupujmy	przegrupujcie	-
przegrupowywać	przegrupowuję	przegrupowujesz	przegrupowuje	przegrupowujemy	przegrupowujecie	przegrupowują	-	-	-	-	-	-	-	-	-	-	-	przegrupowuj	przegrupowujmy	przegrupowujcie	-
przegrywać	przegrywam	przegrywasz	przegrywa	przegrywamy	przegrywacie	przegrywają	-	-	-	-	-	-	-	-	-	-	-	przegrywaj	przegrywajmy	przegrywajcie	-
przegryzać	przegryzam	przegryzasz	przegryza	przegryzamy	przegryzacie	przegryzają	-	-	-	-	-	-	-	-	-	-	-	przegryzaj	przegryzajmy	przegryzajcie	-
przegryźć	-	-	-	-	-	-	przegryzę	przegryziesz	przegryzie	przegryziemy	przegryziecie	przegryzą	-	przegryzła	przegryzło	-	przegryzły	przegryź	przegryźmy	przegryźcie	-
przegrzać	-	-	-	-	-	-	przegrzeję	przegrzejesz	przegrzeje	przegrzejemy	przegrzejecie	przegrzeją	-	-	-	-	-	przegrzej	przegrzejmy	przegrzejcie	-
przegrzebać	-	-	-	-	-	-	przegrzebię	przegrzebiesz	przegrzebie	przegrzebiemy	przegrzebiecie	przegrzebią	-	-	-	-	-	przegrzeb	przegrzebmy	przegrzebcie	-
przegrzebywać	przegrzebuję	przegrzebujesz	przegrzebuje	przegrzebujemy	przegrzebujecie	przegrzebują	-	-	-	-	-	-	-	-	-	-	-	przegrzebuj	przegrzebujmy	przegrzebujcie	-
przegrzewać	przegrzewam	przegrzewasz	przegrzewa	przegrzewamy	przegrzewacie	przegrzewają	-	-	-	-	-	-	-	-	-	-	-	przegrzewaj	przegrzewajmy	przegrzewajcie	-
przegrzmiewać	przegrzmiewam	przegrzmiewasz	przegrzmiewa	przegrzmiewamy	przegrzmiewacie	przegrzmiewają	-	-	-	-	-	-	-	-	-	-	-	przegrzmiewaj	przegrzmiewajmy	przegrzmiewajcie	-
przegrzmieć	-	-	-	-	-	-	przegrzmię	przegrzmisz	przegrzmi	przegrzmimy	przegrzmicie	przegrzmią	-	przegrzmiała	przegrzmiało	-	przegrzmiały	przegrzmij	przegrzmijmy	przegrzmijcie	-
przegwarzyć	-	-	-	-	-	-	przegwarzę	przegwarzysz	przegwarzy	przegwarzymy	przegwarzycie	przegwarzą	-	-	-	-	-	przegwarz	przegwarzmy	przegwarzcie	-
przegwizdać	-	-	-	-	-	-	przegwiżdżę	przegwiżdżesz	przegwiżdże	przegwiżdżemy	przegwiżdżecie	przegwiżdżą	-	-	-	-	-	przegwiżdż	przegwiżdżmy	przegwiżdżcie	-
przegwizdywać	przegwizduję	przegwizdujesz	przegwizduje	przegwizdujemy	przegwizdujecie	przegwizdują	-	-	-	-	-	-	-	-	-	-	-	przegwizduj	przegwizdujmy	przegwizdujcie	-
przegęścić	-	-	-	-	-	-	przegęszczę	przegęścisz	przegęści	przegęścimy	przegęścicie	przegęszczą	-	-	-	-	-	przegęść	przegęśćmy	przegęśćcie	-
przegładzać	przegładzam	przegładzasz	przegładza	przegładzamy	przegładzacie	przegładzają	-	-	-	-	-	-	-	-	-	-	-	przegładzaj	przegładzajmy	przegładzajcie	-
przegładzić	-	-	-	-	-	-	przegładzę	przegładzisz	przegładzi	przegładzimy	przegładzicie	przegładzą	-	-	-	-	-	przegładź	przegładźmy	przegładźcie	-
przegłodzić	-	-	-	-	-	-	przegłodzę	przegłodzisz	przegłodzi	przegłodzimy	przegłodzicie	przegłodzą	-	-	-	-	-	przegłodź	przegłodźmy	przegłodźcie	-
przegłosić	-	-	-	-	-	-	przegłoszę	przegłosisz	przegłosi	przegłosimy	przegłosicie	przegłoszą	-	-	-	-	-	przegłoś	przegłośmy	przegłoście	-
przegłosować	-	-	-	-	-	-	przegłosuję	przegłosujesz	przegłosuje	przegłosujemy	przegłosujecie	przegłosują	-	-	-	-	-	przegłosuj	przegłosujmy	przegłosujcie	-
przegłosowywać	przegłosowuję	przegłosowujesz	przegłosowuje	przegłosowujemy	przegłosowujecie	przegłosowują	-	-	-	-	-	-	-	-	-	-	-	przegłosowuj	przegłosowujmy	przegłosowujcie	-
przegłębiać	przegłębiam	przegłębiasz	przegłębia	przegłębiamy	przegłębiacie	przegłębiają	-	-	-	-	-	-	-	-	-	-	-	przegłębiaj	przegłębiajmy	przegłębiajcie	-
przegłębić	-	-	-	-	-	-	przegłębię	przegłębisz	przegłębi	przegłębimy	przegłębicie	przegłębią	-	-	-	-	-	przegłąb	przegłąbmy	przegłąbcie	-
przehandlować	-	-	-	-	-	-	przehandluję	przehandlujesz	przehandluje	przehandlujemy	przehandlujecie	przehandlują	-	-	-	-	-	przehandluj	przehandlujmy	przehandlujcie	-
przehandlowywać	przehandlowuję	przehandlowujesz	przehandlowuje	przehandlowujemy	przehandlowujecie	przehandlowują	-	-	-	-	-	-	-	-	-	-	-	przehandlowuj	przehandlowujmy	przehandlowujcie	-
