# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
afheg	-	-	afgeheg	-	-
afhel	-	-	afgehel	-	-
afhelp	-	-	afgehelp	-	-
afhok	-	-	afgehok	-	-
afhol	-	-	afgehol	-	-
afhou	-	-	afgehou	-	-
afhys	-	-	afgehys	-	-
afhê	-	-	afgehad	-	-
afja	-	-	afgeja	-	-
afjaag	-	-	afgejaag	-	-
afjae	-	-	afgejae	-	-
afjak	-	-	afgejak	-	-
afjakker	-	-	afgejakker	-	-
afkaats	-	-	afgekaats	-	-
afkak	-	-	afgekak	-	-
afkalk	-	-	afgekalk	-	-
afkalwe	-	-	afgekalwe	-	-
afkalwer	-	-	afgekalwer	-	-
afkam	-	-	afgekam	-	-
afkamp	-	-	afgekamp	-	-
afkant	-	-	afgekant	-	-
afkap	-	-	afgekap	-	-
afkarring	-	-	afgekarring	-	-
afkeer	-	-	afgekeer	-	-
afkets	-	-	afgekets	-	-
afkeur	-	-	afgekeur	-	-
afklap	-	-	afgeklap	-	-
afklim	-	-	afgeklim	-	-
afklop	-	-	afgeklop	-	-
afklouter	-	-	afgeklouter	-	-
afkluif	-	-	afgekluif	-	-
afkluiwe	-	-	afgekluiwe	-	-
afknaag	-	-	afgeknaag	-	-
afknabbel	-	-	afgeknabbel	-	-
afknae	-	-	afgeknae	-	-
afknak	-	-	afgeknak	-	-
afknibbel	-	-	afgeknibbel	-	-
afknik	-	-	afgeknik	-	-
afknip	-	-	afgeknip	-	-
afknoop	-	-	afgeknoop	-	-
afknot	-	-	afgeknot	-	-
afknou	-	-	afgeknou	-	-
afknyp	-	-	afgeknyp	-	-
afkoel	-	-	afgekoel	-	-
afkom	-	-	afgekom	-	-
afkondig	-	-	afgekondig	-	-
afkook	-	-	afgekook	-	-
afkoppel	-	-	afgekoppel	-	-
afkort	-	-	afgekort	-	-
afkou	-	-	afgekou	-	-
afkraak	-	-	afgekraak	-	-
afkrap	-	-	afgekrap	-	-
afkruip	-	-	afgekruip	-	-
afkrummel	-	-	afgekrummel	-	-
afkry	-	-	afgekry	-	-
afkuif	-	-	afgekuif	-	-
afkyk	-	-	afgekyk	-	-
aflaai	-	-	afgelaai	-	-
aflaat	-	-	afgelaat	-	-
afleer	-	-	afgeleer	-	-
aflees	-	-	afgelees	-	-
aflei	-	-	afgelei	-	-
aflek	-	-	afgelek	-	-
aflewer	-	-	afgelewer	-	-
aflig	-	-	afgelig	-	-
afloer	-	-	afgeloer	-	-
afloop	-	-	afgeloop	-	-
aflos	-	-	afgelos	-	-
aflui	-	-	afgelui	-	-
afluister	-	-	afgeluister	-	-
aflê	-	-	afgelê	-	-
afmaai	-	-	afgemaai	-	-
afmaak	-	-	afgemaak	-	-
afmat	-	-	afgemat	-	-
afmeet	-	-	afgemeet	-	-
afmerk	-	-	afgemerk	-	-
afmonster	-	-	afgemonster	-	-
afneem	-	-	afgeneem	-	-
afnerf	-	-	afgenerf	-	-
afnerwe	-	-	afgenerwe	-	-
afnommer	-	-	afgenommer	-	-
afoes	-	-	afgeoes	-	-
afpaal	-	-	afgepaal	-	-
afpaar	-	-	afgepaar	-	-
afpak	-	-	afgepak	-	-
afpeil	-	-	afgepeil	-	-
afpel	-	-	afgepel	-	-
afpen	-	-	afgepen	-	-
afperk	-	-	afgeperk	-	-
afpers	-	-	afgepers	-	-
afpiekel	-	-	afgepiekel	-	-
afpiets	-	-	afgepiets	-	-
afpik	-	-	afgepik	-	-
afplat	-	-	afgeplat	-	-
afpleister	-	-	afgepleister	-	-
afploeg	-	-	afgeploeg	-	-
afploeë	-	-	afgeploeë	-	-
afpluis	-	-	afgepluis	-	-
afpluk	-	-	afgepluk	-	-
afpoets	-	-	afgepoets	-	-
afpraat	-	-	afgepraat	-	-
afpyl	-	-	afgepyl	-	-
afraai	-	-	afgeraai	-	-
afraak	-	-	afgeraak	-	-
afrafel	-	-	afgerafel	-	-
aframmel	-	-	afgerammel	-	-
afrand	-	-	afgerand	-	-
afransel	-	-	afgeransel	-	-
afratel	-	-	afgeratel	-	-
afreageer	-	-	afgereageer	-	-
afreis	-	-	afgereis	-	-
afreken	-	-	afgereken	-	-
afrem	-	-	afgerem	-	-
afreën	-	-	afgereën	-	-
afrig	-	-	afgerig	-	-
afrits	-	-	afgerits	-	-
afroep	-	-	afgeroep	-	-
afroes	-	-	afgeroes	-	-
afrokkel	-	-	afgerokkel	-	-
afrol	-	-	afgerol	-	-
afrond	-	-	afgerond	-	-
afroom	-	-	afgeroom	-	-
afruk	-	-	afgeruk	-	-
afry	-	-	afgery	-	-
afsaag	-	-	afgesaag	afsagende	-
afsaal	-	-	afgesaal	-	-
afsak	-	-	afgesak	-	-
afseil	-	-	afgeseil	-	-
afsend	-	-	afgesend	-	-
afset	-	-	afgeset	-	-
afshow	-	-	afgeshow	-	-
afsien	-	-	afgesien	-	-
afsit	-	-	afgesit	-	-
afskaaf	-	-	afgeskaaf	-	-
afskaal	-	-	afgeskaal	-	-
afskadu	-	-	afgeskadu	-	-
afskaf	-	-	afgeskaf	afskaffende	-
afskakel	-	-	afgeskakel	-	-
afskawe	-	-	afgeskawe	-	-
afskeep	-	-	afgeskeep	-	-
afskeer	-	-	afgeskeer	-	-
afskei	-	-	afgeskei	-	-
afskeie	-	-	afgeskeie	-	-
afskep	-	-	afgeskep	-	-
afskerm	-	-	afgeskerm	-	-
afskerp	-	-	afgeskerp	-	-
afskets	-	-	afgeskets	-	-
afskeur	-	-	afgeskeur	-	-
afskiet	-	-	afgeskiet	-	-
afskil	-	-	afgeskil	-	-
afskilder	-	-	afgeskilder	-	-
afskilfer	-	-	afgeskilfer	-	-
afskilwer	-	-	afgeskilwer	-	-
afskop	-	-	afgeskop	-	-
afskort	-	-	afgeskort	-	-
afskraap	-	-	afgeskraap	-	-
afskram	-	-	afgeskram	-	-
afskrik	-	-	afgeskrik	-	-
afskroef	-	-	afgeskroef	-	-
afskroei	-	-	afgeskroei	-	-
afskroewe	-	-	afgeskroewe	-	-
afskrop	-	-	afgeskrop	-	-
afskryf	-	-	afgeskryf	-	-
afskrywe	-	-	afgeskrywe	-	-
afskud	-	-	afgeskud	-	-
afskuif	-	-	afgeskuif	-	-
afskuim	-	-	afgeskuim	-	-
afskuins	-	-	afgeskuins	-	-
afskuiwe	-	-	afgeskuiwe	-	-
afskut	-	-	afgeskut	-	-
afskuur	-	-	afgeskuur	-	-
afslaan	-	-	afgeslaan	-	-
afslaap	-	-	afgeslaap	-	-
afslag	-	-	afgeslag	-	-
afsleep	-	-	afgesleep	-	-
afslinger	-	-	afgeslinger	-	-
afslons	-	-	afgeslons	-	-
afsloof	-	-	afgesloof	-	-
afslowe	-	-	afgeslowe	-	-
afsluip	-	-	afgesluip	-	-
afsluit	-	-	afgesluit	-	-
afsluk	-	-	afgesluk	-	-
afslyp	-	-	afgeslyp	-	-
afslyt	-	-	afgeslyt	-	-
afsmeek	-	-	afgesmeek	-	-
afsmeer	-	-	afgesmeer	-	-
afsmelt	-	-	afgesmelt	-	-
afsmyt	-	-	afgesmyt	-	-
afsnel	-	-	afgesnel	-	-
afsnoei	-	-	afgesnoei	-	-
afsnoer	-	-	afgesnoer	-	-
afsnou	-	-	afgesnou	-	-
afsny	-	-	afgesny	-	-
afsoek	-	-	afgesoek	-	-
afsoen	-	-	afgesoen	-	-
afsonder	-	-	afgesonder	-	-
afsoom	-	-	afgesoom	-	-
afspat	-	-	afgespat	-	-
afspeel	-	-	afgespeel	-	-
afspeld	-	-	afgespeld	-	-
afsper	-	-	afgesper	-	-
afspieël	-	-	afgespieël	-	-
afspit	-	-	afgespit	-	-
afsplinter	-	-	afgesplinter	-	-
afsplits	-	-	afgesplits	-	-
afsplyt	-	-	afgesplyt	-	-
afspoel	-	-	afgespoel	-	-
afspons	-	-	afgespons	-	-
afspreek	-	-	afgespreek	-	-
afspring	-	-	afgespring	-	-
afspuit	-	-	afgespuit	-	-
afstaan	-	-	afgestaan	-	-
afstam	-	-	afgestam	-	-
afstamp	-	-	afgestamp	-	-
afstap	-	-	afgestap	-	-
afsteek	-	-	afgesteek	-	-
afstel	-	-	afgestel	-	-
afstem	-	-	afgestem	-	-
afstempel	-	-	afgestempel	-	-
afsterf	-	-	afgesterf	-	-
afsterwe	-	-	afgesterwe	-	-
afstig	-	-	afgestig	-	-
afstoei	-	-	afgestoei	-	-
afstof	-	-	afgestof	-	-
afstomp	-	-	afgestomp	-	-
afstoot	-	-	afgestoot	-	-
afstorm	-	-	afgestorm	-	-
afstort	-	-	afgestort	-	-
afstraal	-	-	afgestraal	-	-
afstroom	-	-	afgestroom	-	-
afstroop	-	-	afgestroop	-	-
afstry	-	-	afgestry	-	-
afstryk	-	-	afgestryk	-	-
afstudeer	-	-	afgestudeer	-	-
afstuif	-	-	afgestuif	-	-
afstuit	-	-	afgestuit	-	-
afstuiwe	-	-	afgestuiwe	-	-
afstuur	-	-	afgestuur	-	-
afstyg	-	-	afgestyg	-	-
afsuie	-	-	afgesuie	-	-
afsuig	-	-	afgesuig	-	-
afsukkel	-	-	afgesukkel	-	-
afswaai	-	-	afgeswaai	-	-
afsweer	-	-	afgesweer	-	-
afswem	-	-	afgeswem	-	-
afswenk	-	-	afgeswenk	-	-
afswoeg	-	-	afgeswoeg	-	-
afswoeë	-	-	afgeswoeë	-	-
afsypel	-	-	afgesypel	-	-
afsê	-	-	afgesê	-	-
aftak	-	-	afgetak	-	-
aftakel	-	-	afgetakel	-	-
aftap	-	-	afgetap	-	-
aftas	-	-	afgetas	-	-
afteken	-	-	afgeteken	-	-
aftel	-	-	afgetel	-	-
aftik	-	-	afgetik	-	-
aftjop	-	-	afgetjop	-	-
aftob	-	-	afgetob	-	-
aftoom	-	-	afgetoom	-	-
aftop	-	-	afgetop	-	-
aftrap	-	-	afgetrap	-	-
aftree	-	-	afgetree	aftreeënde	-
