# lemma(infinitive)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG;IPFV	V;IND;PST;2;SG;IPFV	V;IND;PST;3;SG;IPFV	V;IND;PST;1;PL;IPFV	V;IND;PST;2;PL;IPFV	V;IND;PST;3;PL;IPFV	V;IND;PST;1;SG;PFV	V;IND;PST;2;SG;PFV	V;IND;PST;3;SG;PFV	V;IND;PST;1;PL;PFV	V;IND;PST;2;PL;PFV	V;IND;PST;3;PL;PFV	V;1;SG;IND;FUT	V;2;SG;IND;FUT	V;3;SG;IND;FUT	V;1;PL;IND;FUT	V;2;PL;IND;FUT	V;3;PL;IND;FUT	V;1;SG;COND	V;2;SG;COND	V;3;SG;COND	V;1;PL;COND	V;2;PL;COND	V;3;PL;COND	V;1;SG;SBJV;PRS	V;2;SG;SBJV;PRS	V;3;SG;SBJV;PRS	V;1;PL;SBJV;PRS	V;2;PL;SBJV;PRS	V;3;PL;SBJV;PRS	V;1;SG;SBJV;PST;IPFV	V;2;SG;SBJV;PST;IPFV	V;3;SG;SBJV;PST;IPFV	V;1;PL;SBJV;PST;IPFV	V;2;PL;SBJV;PST;IPFV	V;3;PL;SBJV;PST;IPFV	V;2;SG;IMP	V;1;PL;IMP	V;2;PL;IMP	V;NFIN	V.PTCP;PST	V.CVB;PRS  ("-" = productive default)
banhar	banhe	-	-	-	-	-	banhava	-	-	banhaviam	banhaviatz	-	banhei	banheras	banhet	banhem	banheriatz	banheran	-	-	-	banharam	banharatz	-	banhariá	banhariàs	-	banharem	banharetz	-	-	-	-	banhassiam	banhassiatz	banhan	banhesse	-	banhesse	banhessiam	banhessiatz	banhesson	-	banhassiam	-	-	-	-
baratar	barate	-	-	-	-	-	baratava	-	-	barataviam	barataviatz	-	baratei	barateras	baratet	baratem	barateriatz	barateran	-	-	-	barataram	barataratz	-	baratariá	baratariàs	-	baratarem	barataretz	-	-	-	-	baratassiam	baratassiatz	baratan	baratesse	-	baratesse	baratessiam	baratessiatz	baratesson	-	baratassiam	-	-	-	-
barjacar	-	-	-	-	-	-	barjacava	-	-	barjacaviam	barjacaviatz	-	-	-	-	-	-	-	-	-	-	barjacaram	barjacaratz	-	barjacariá	barjacariàs	-	barjacarem	barjacaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
barrar	barre	-	-	-	-	-	barrava	-	-	barraviam	barraviatz	-	barrei	barreras	barret	barrem	barreriatz	barreran	-	-	-	barraram	barraratz	-	barrariá	barrariàs	-	barrarem	barraretz	-	-	-	-	barrassiam	barrassiatz	barran	barresse	-	barresse	barressiam	barressiatz	barresson	-	barrassiam	-	-	-	-
barrejar	-	barreges	-	-	-	-	barrejava	-	-	barrejaviam	barrejaviatz	-	-	-	-	-	-	-	-	-	-	barrejaram	barrejaratz	-	barrejariá	barrejariàs	-	barrejarem	barrejaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
barrutlar	barrutle	-	-	-	-	-	barrutlava	-	-	barrutlaviam	barrutlaviatz	-	barrutlei	barrutleras	barrutlet	barrutlem	barrutleriatz	barrutleran	-	-	-	barrutlaram	barrutlaratz	-	barrutlariá	barrutlariàs	-	barrutlarem	barrutlaretz	-	-	-	-	barrutlassiam	barrutlassiatz	barrutlan	barrutlesse	-	barrutlesse	barrutlessiam	barrutlessiatz	barrutlesson	-	barrutlassiam	-	-	-	-
bassacar	-	-	-	-	-	-	bassacava	-	-	bassacaviam	bassacaviatz	-	-	-	-	-	-	-	-	-	-	bassacaram	bassacaratz	-	bassacariá	bassacariàs	-	bassacarem	bassacaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
beure	bevi	beves	beu	bevèm	bevètz	bevon	beviái	beviás	beviá	beviam	beviatz	bevián	beguèri	beguères	beguèt	beguèrem	beguèretz	beguèron	beurai	beuràs	beurà	beurem	beuretz	beuràn	beuriái	beuriás	beuriá	beuriam	beuriatz	beurián	bega	-	bega	bega	begatz	began	beguèsse	-	beguèsse	beguèssem	beguèssetz	beguèsson	beu	begam	bevètz	beure	begut	-
bolegar	-	-	-	-	-	-	bolegava	-	-	bolegaviam	bolegaviatz	-	-	-	-	-	-	-	-	-	-	bolegaram	bolegaratz	-	bolegariá	bolegariàs	-	bolegarem	bolegaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
botar	bote	-	-	-	-	-	botava	-	-	botaviam	botaviatz	-	botei	boteras	botet	botem	boteriatz	boteran	-	-	-	botaram	botaratz	-	botariá	botariàs	-	botarem	botaretz	-	-	-	-	botassiam	botassiatz	botan	botesse	-	botesse	botessiam	botessiatz	botesson	-	botassiam	-	-	-	-
brembar	brembe	-	-	-	-	-	brembava	-	-	brembaviam	brembaviatz	-	brembei	bremberas	brembet	brembem	bremberiatz	bremberan	-	-	-	brembaram	brembaratz	-	brembariá	brembariàs	-	brembarem	brembaretz	-	-	-	-	brembassiam	brembassiatz	bremban	brembesse	-	brembesse	brembessiam	brembessiatz	brembesson	-	brembassiam	-	-	-	-
brilhar	brilhe	-	-	-	-	-	brilhava	-	-	brilhaviam	brilhaviatz	-	brilhei	brilheras	brilhet	brilhem	brilheriatz	brilheran	-	-	-	brilharam	brilharatz	-	brilhariá	brilhariàs	-	brilharem	brilharetz	-	-	-	-	brilhassiam	brilhassiatz	brilhan	brilhesse	-	brilhesse	brilhessiam	brilhessiatz	brilhesson	-	brilhassiam	-	-	-	-
bronzinar	bronzine	-	-	-	-	-	bronzinava	-	-	bronzinaviam	bronzinaviatz	-	bronzinei	bronzineras	bronzinet	bronzinem	bronzineriatz	bronzineran	-	-	-	bronzinaram	bronzinaratz	-	bronzinariá	bronzinariàs	-	bronzinarem	bronzinaretz	-	-	-	-	bronzinassiam	bronzinassiatz	bronzinan	bronzinesse	-	bronzinesse	bronzinessiam	bronzinessiatz	bronzinesson	-	bronzinassiam	-	-	-	-
brutlar	brutle	-	-	-	-	-	brutlava	-	-	brutlaviam	brutlaviatz	-	brutlei	brutleras	brutlet	brutlem	brutleriatz	brutleran	-	-	-	brutlaram	brutlaratz	-	brutlariá	brutlariàs	-	brutlarem	brutlaretz	-	-	-	-	brutlassiam	brutlassiatz	brutlan	brutlesse	-	brutlesse	brutlessiam	brutlessiatz	brutlesson	-	brutlassiam	-	-	-	-
bufar	bufe	-	-	-	-	-	bufava	-	-	bufaviam	bufaviatz	-	bufei	buferas	bufet	bufem	buferiatz	buferan	-	-	-	bufaram	bufaratz	-	bufariá	bufariàs	-	bufarem	bufaretz	-	-	-	-	bufassiam	bufassiatz	bufan	bufesse	-	bufesse	bufessiam	bufessiatz	bufesson	-	bufassiam	-	-	-	-
butar	bute	-	-	-	-	-	butava	-	-	butaviam	butaviatz	-	butei	buteras	butet	butem	buteriatz	buteran	-	-	-	butaram	butaratz	-	butariá	butariàs	-	butarem	butaretz	-	-	-	-	butassiam	butassiatz	butan	butesse	-	butesse	butessiam	butessiatz	butesson	-	butassiam	-	-	-	-
cabussar	cabusse	-	-	-	-	-	cabussava	-	-	cabussaviam	cabussaviatz	-	cabussei	cabusseras	cabusset	cabussem	cabusseriatz	cabusseran	-	-	-	cabussaram	cabussaratz	-	cabussariá	cabussariàs	-	cabussarem	cabussaretz	-	-	-	-	cabussassiam	cabussassiatz	cabussan	cabussesse	-	cabussesse	cabussessiam	cabussessiatz	cabussesson	-	cabussassiam	-	-	-	-
