# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
אונטערהאָדעווען	-	-	-	-	-	-	-	-	אונטערהאָדעוונדיק	-	-
אונטערהינקען	-	-	-	-	-	-	-	-	-	אונטערגעהונקען	-
אונטערהעלפֿן	-	-	-	-	-	-	-	-	-	אונטערגעהאָלפֿן	-
אונטערוואַרטן	-	-	-	-	-	-	-	-	-	אונטערגעוואַרט	-
אונטערזינגען	-	-	-	-	-	-	-	-	-	אונטערגעזונגען	-
אונטערפֿאָרן	-	-	-	-	-	-	-	-	-	אונטערגעפֿאָרן	-
אונטערצינדן	-	-	-	-	-	-	-	-	-	אונטערגעצונדן	-
אונטעררײַסן	-	-	-	-	-	-	-	-	-	אונטערגעריסן	-
אונטערשטרײַכן	-	-	-	-	-	-	-	-	-	אונטערגעשטראָכן	-
אונטערשיידן	-	-	אונטערשיידט	-	אונטערשיידט	-	-	אונטערשיידט	-	-	-
אונטערשרײַבן	-	-	-	-	-	-	-	-	-	אונטערגעשריבן	-
אורינירן	-	-	-	-	-	-	-	-	-	אורינירט	-
איבערבעטן	-	-	-	-	-	-	-	-	-	איבערגעבעט	-
איבערציִען	-	-	-	-	-	-	-	-	-	איבערגעצויגן	-
איבערקומען	-	-	-	-	-	-	-	-	-	איבערגעקומען	-
איבעררײַסן	-	-	-	-	-	-	-	-	-	איבערגעריסן	-
איזאָלירן	-	-	-	-	-	-	-	-	-	איזאָלירט	-
איזדיעקעווען	-	-	-	-	-	-	-	-	-	איזדיעקעוועט	-
אימפּיטשן	-	-	-	-	-	-	-	-	-	אימפּיטשט	-
אינדיווידואַליזירן	-	-	-	-	-	-	-	-	-	אינדיווידואַליזירט	-
אינטערנירן	-	-	-	-	-	-	-	-	-	אינטערנירט	-
אינסצענירן	-	-	-	-	-	-	-	-	-	אינסצענירט	-
אױסלינקען	-	-	-	-	-	-	-	-	אויסלינקענדיק	אויסגעלונקען	-
אײַנאָרדענען	-	-	-	-	-	-	-	-	-	אײַנגעאָרדנט	-
אײַנגעוויינען	-	-	-	-	-	-	-	-	אײַןגעוויינענדיק	אײַנגעוויינט	-
אײַנהאַלטן	-	-	-	-	-	-	-	-	-	אײַנגעהאַלטן	-
אײַנהילן	-	-	-	-	-	-	-	-	-	אײַנגעהילט	-
אײַנוווינען	-	-	-	-	-	-	-	-	-	אײַנגעוווינט	-
אײַנזאַפּן	-	-	-	-	-	-	-	-	-	אײַנגעזאַפּט	-
אײַנטענהן	-	-	-	-	-	-	-	-	-	אײַנגעטענהט	-
אײַנמאַכן	-	-	-	-	-	-	-	-	אײַןמאַכנדיק	אײַןגעמאַכט	-
אײַננעמען	-	-	-	-	-	-	-	-	-	אײַנגענומען	-
אײַנפּלאַצירן	אײַנפּלאַצירן	אײַנפּלאַצירנסט	אײַנפּלאַצירנט	אײַנפּלאַצירנען	אײַנפּלאַצירנט	אײַנפּלאַצירנען	אײַנפּלאַצירן	אײַנפּלאַצירנט	אײַנפּלאַצירנענדיק	אײַנפּלאַצירט	-
אײַנפֿאַלן	-	-	-	-	-	-	-	-	-	אײַנגעפֿאַלן	-
אײַנפֿלעקן	-	-	-	-	-	-	-	-	-	אײַנגעפֿלעקט	-
אײַנקויפֿן	-	-	-	-	-	-	-	-	-	אײַנגעקויפֿט	-
אײַנרײַסן	-	-	-	-	-	-	-	-	אײַןרײַסנדיק	אײַנגעריסן	-
אײַנשטומען	-	-	-	-	-	-	-	-	-	אײַנגעשטומט	-
אײַנשטילן	-	-	-	-	-	-	-	-	אײַןשטילנדיק	אײַןגעשטילט	-
אײַנשרומפּן	-	-	-	-	-	-	-	-	-	אײַנגעשרומפּן	-
אײַנשרײַבן	-	-	-	-	-	-	-	-	אײַןשרײַבנדיק	אײַנגעשריבן	-
באַגינען	-	-	-	-	-	-	-	-	-	באַגונען	-
באַגלייטן	-	-	-	-	-	-	-	-	-	באַגלייט	-
באַגנבֿענען	באַגנבֿע	באַגנבֿעסט	באַגנבֿעט	-	באַגנבֿעט	-	באַגנבֿע	באַגנבֿעט	-	באַגנבֿעט	-
באַגראָבן	-	-	-	-	-	-	-	-	-	באַגראָבן	-
באַדאַרפֿן	-	-	באַדאַרף	-	-	-	-	-	-	-	-
באַדײַטן	-	-	-	-	-	-	-	-	-	באַדײַט	-
באַהאַלטן	-	-	-	-	-	-	-	-	-	באַהאַלטן	-
באַהערשן	-	-	-	-	-	-	-	-	-	געבאַהערשט	-
באַטײַטן	-	-	-	-	-	-	-	-	-	באַטײַט	-
באַמערקן	-	-	-	-	-	-	-	-	-	געבאַמערקט	-
באַנוגענען	באַנוגן	באַנוגנסט	באַנוגנט	-	באַנוגנט	-	באַנוגן	באַנוגנט	-	באַנוגנט	-
באַפֿרײַנדן	-	-	באַפֿרײַנדט	-	באַפֿרײַנדט	-	-	באַפֿרײַנדט	-	-	-
באַציִען	באַצי	באַציסט	באַציט	-	באַציט	-	באַצי	באַציט	-	באַצויגן	-
באַקומען	-	-	-	-	-	-	-	-	-	באַקומען	-
באַקן	-	-	-	-	-	-	-	-	-	געבאַקן	-
באַקעמפֿן	-	-	-	-	-	-	-	-	-	געבאַקעמפֿט	-
באַראַבאַנעווען	-	-	-	-	-	-	-	-	-	געבאַראַבאַנעוועט	-
באַראָטן	-	-	-	-	-	-	-	-	-	באַראָטן	-
באַרעכענען	באַרעכן	באַרעכנסט	באַרעכנט	באַרעכנען	באַרעכנט	באַרעכנען	באַרעכן	באַרעכנט	באַרעכנענדיק	באַרעכנט	-
באַרשטן	-	-	-	-	-	-	-	-	-	געבאָרשטן	-
באַרײַסן	-	-	-	-	-	-	-	-	-	באַריסן	-
באַשאַפֿן	-	-	-	-	-	-	-	-	-	באַשאַפֿן	-
באַשטיין	-	-	-	באַשטייען	-	באַשטייען	-	-	-	באַשטאַנען	-
באַשטערנדלען	באַשטערנדלע	באַשטערנדלעסט	באַשטערנדלעט	-	באַשטערנדלעט	-	באַשטערנדלע	באַשטערנדלעט	-	באַשטערנדלעט	-
באַשיידן	-	-	באַשיידט	-	באַשיידט	-	-	באַשיידט	-	-	-
באַשיינען	-	-	-	-	-	-	-	-	-	געבאַשיינט	-
באַשליסן	-	-	-	-	-	-	-	-	-	באַשלאָסן	-
באַשרײַבן	-	-	-	-	-	-	-	-	-	באַשריבן	-
באָדן	-	-	באָדט	-	באָדט	-	-	באָדט	-	געבאָדן	-
בויען	בוי	בויסט	בויט	-	בויט	-	בוי	בויט	-	געבויט	-
ביאָצעפֿאַלן	-	-	-	-	-	-	-	-	-	ביאָצעפֿאַלן	-
ביטן	-	-	-	-	-	-	-	-	-	געביט	-
בייגן	-	-	-	-	-	-	-	-	-	געבויגן	-
