# lemma	past	future	present	infinitive
התנחל	התנחל	יתנחל	מתנחל	להתנחל
התנחשל	התנחשל	יתנחשל	מתנחשל	-
התניע	התניע	יתניע	מתניע	-
התנכל	התנכל	יתנכל	מתנכל	-
התנכר	התנכר	יתנכר	מתנכר	להתנכר
התנסה	התנסה	יתנסה	מתנסה	להתנסות
התנער	התנער	יתנער	מתנער	להתנער
התנפח	התנפח	יתנפח	מתנפח	-
התנפל	התנפל	יתנפל	מתנפל	להתנפל
התנפץ	התנפץ	יתנפץ	מתנפץ	-
התנצל	התנצל	יתנצל	מתנצל	להתנצל
התנצר	התנצר	יתנצר	מתנצר	-
התנקף	התנקף	יתנקף	מתנקף	להתנקף
התנקש	התנקש	יתנקש	מתנקש	להתנקש
התנשא	התנשא	יתנשא	מתנשא	-
התנשם	התנשם	יתנשם	מתנשם	להתנשם
התנשק	התנשק	יתנשק	מתנשק	להתנשק
התעבה	התעבה	יתעבה	מתעבה	-
התעדה	התעדה	יתעדה	מתעדה	-
התעדן	התעדן	יתעדן	מתעדן	-
התעורר	התעורר	יתעורר	מתעורר	להתעורר
התעטף	התעטף	יתעטף	מתעטף	להתעטף
התעטש	התעטש	יתעטש	מתעטש	-
התעייף	התעיף	יתעיף	מתעיף	-
התעכב	התעכב	יתעכב	מתעכב	-
התעלה	התעלה	יתעלה	מתעלה	להתעלות
התעלל	התעלל	יתעלל	מתעלל	להתעלל
התעלם	התעלם	יתעלם	מתעלם	-
התעלף	התעלף	יתעלף	מתעלף	להתעלף
התעמל	התעמל	יתעמל	מתעמל	להתעמל
התעמר	התעמר	יתעמר	מתעמר	להתעמר
התענג	התענג	יתענג	מתענג	-
התעצל	התעצל	יתעצל	מתעצל	להתעצל
התעקש	התעקש	יתעקש	מתעקש	להתעקש
התערב	התערב	יתערב	מתערב	להתערב
התערבב	התערבב	יתערבב	מתערבב	-
התעשר	התעשר	יתעשר	מתעשר	-
התפאר	התפאר	יתפאר	מתפאר	להתפאר
התפוגג	התפוגג	יתפוגג	מתפוגג	-
התפוטר	התפטר	יתפטר	מתפטר	-
התפוצץ	התפוצץ	יתפוצץ	מתפוצץ	להתפוצץ
התפורר	התפורר	יתפורר	מתפורר	-
התפטר	התפטר	יתפטר	מתפטר	להתפטר
התפיח	התפיח	יתפיח	מתפיח	-
התפלא	התפלא	יתפלא	מתפלא	להתפלא
התפלל	התפלל	יתפלל	מתפלל	להתפלל
התפלש	התפלש	יתפלש	מתפלש	-
התפנה	התפנה	יתפנה	מתפנה	-
התפספס	התפספס	יתפספס	מתפספס	להתפספס
התפעל	התפעל	יתפעל	מתפעל	-
התפרד	התפרד	יתפרד	מתפרד	להתפרד
התפרחח	התפרחח	יתפרחח	מתפרחח	-
התפרסם	התפרסם	יתפרסם	מתפרסם	להתפרסם
התפרע	התפרע	יתפרע	מתפרע	להתפרע
התפרק	התפרק	יתפרק	מתפרק	-
התפשט	התפשט	יתפשט	מתפשט	להתפשט
התפתה	התפתה	יתפתה	מתפתה	להתפתות
התפתח	התפתח	יתפתח	מתפתח	-
התקבל	התקבל	יתקבל	מתקבל	להתקבל
התקבץ	התקבץ	יתקבץ	מתקבץ	-
התקדם	התקדם	יתקדם	מתקדם	להתקדם
התקדש	התקדש	יתקדש	מתקדש	להתקדש
התקהל	התקהל	יתקהל	מתקהל	להתקהל
התקומם	התקומם	יתקומם	מתקומם	להתקומם
התקטן	התקטן	יתקטן	מתקטן	-
התקין	התקין	יתקין	מתקין	להתקין
התקיף	התקיף	יתקיף	מתקיף	-
התקלח	התקלח	יתקלח	מתקלח	להתקלח
התקלקל	התקלקל	יתקלקל	מתקלקל	להתקלקל
התקמט	התקמט	יתקמט	מתקמט	להתקמט
התקנא	התקנא	יתקנא	מתקנא	להתקנא
התקרב	התקרב	יתקרב	מתקרב	להתקרב
התקרח	התקרח	יתקרח	מתקרח	להתקרח
התקרר	התקרר	יתקרר	מתקרר	להתקרר
התקשר	התקשר	יתקשר	מתקשר	להתקשר
התראה	התראה	יתראה	מתראה	להתראות
התראיין	התראין	יתראין	מתראין	-
התרבה	התרבה	יתרבה	מתרבה	להתרבות
התרגז	התרגז	יתרגז	מתרגז	להתרגז
התרגל	התרגל	יתרגל	מתרגל	להתרגל
התרגש	התרגש	יתרגש	מתרגש	להתרגש
התרה	התרה	יתרה	מתרה	-
התרומם	התרומם	יתרומם	מתרומם	להתרומם
התרוקן	התרוקן	יתרוקן	מתרוקן	להתרוקן
התרחץ	התרחץ	יתרחץ	מתרחץ	להתרחץ
התרחש	התרחש	יתרחש	מתרחש	להתרחש
התרכז	התרכז	יתרכז	מתרכז	-
התרסק	התרסק	יתרסק	מתרסק	-
התרפא	התרפא	יתרפא	מתרפא	להתרפא
התרפה	התרפה	יתרפה	מתרפה	-
וידא	ודא	יודא	מודא	-
וילן	ולן	יולן	מולן	-
ויתר	ותר	יותר	מותר	-
זב	זב	יזוב	זב	לזוב
זבח	זבח	יזבח	זובח	-
זבל	זבל	יזבל	זובל	-
זגזג	זגזג	יזגזג	מזגזג	-
זוד	זד	יזוד	זד	-
זוהה	זהה	יזהה	מזהה	-
זוהם	זוהם	יזוהם	מזוהם	-
זועזע	זועזע	יזועזע	מזועזע	-
זז	זז	יזוז	זז	לזוז
זחל	זחל	יזחל	זוחל	לזחול
זיגג	זגג	יזגג	מזגג	-
זיהה	זיהה	יזהה	מזהה	לזהות
זיהם	זיהם	יזהם	מזהם	לזהם
זיין	זיין	יזיין	מזיין	לזיין
זייף	זיף	יזיף	מזיף	-
זיכה	זכה	יזכה	מזכה	-
זימן	זמן	יזמן	מזמן	-
זימר	זימר	יזמר	מזמר	לזמר
זיעזע	זיעזע	יזעזע	מזעזע	לזעזע
זיקק	זקק	יזקק	מזקק	-
זירז	זרז	יזרז	מזרז	-
זכה	זכה	יזכה	זוכה	לזכות
זכר	זכר	יזכור	זוכר	לזכור
זמבר	זמבר	יזמבר	מזמבר	-
זמם	זמם	יזמם	זומם	-
זמר	זמר	יזמר	זומר	-
זן	זן	יזון	זן	לזון
זנה	זנה	יזנה	זונה	לזנות
זנח	זנח	יזנח	זונח	לזנוח
זע	זע	יזוע	זע	-
זעזע	זעזע	יזעזע	מזעזע	-
זעם	זעם	יזעם	זועם	-
זעף	זעף	יזעף	זועף	לזעוף
זעק	זעק	יזעק	זועק	-
זקן	זקן	יזקן	זקן	לזקון
זקף	זקף	יזקוף	זוקף	לזקוף
זרח	זרח	יזרח	זורח	לזרוח
זרם	זרם	יזרם	זורם	-
זרע	זרע	יזרע	זורע	לזרוע
זרק	זרק	יזרוק	זורק	לזרוק
חבט	חבט	יחבט	חובט	-
חבק	חבק	יחבק	חובק	-
חבר	חבר	יחבר	חובר	-
חבש	חבש	יחבש	חובש	-
חג	חג	יחוג	חג	לחוג
חגג	חגג	יחגג	חוגג	-
חגר	חגר	יחגור	חוגר	לחגור
חד	חד	יחוד	חד	לחוד
חדל	חדל	יחדל	חדל	-
חדר	חדר	יחדור	חודר	לחדור
חובר	חובר	יחובר	מחובר	-
חווה	חווה	יחווה	חווה	לחוות
חוזק	חוזק	יחוזק	מחוזק	-
חולל	חולל	יחולל	מחולל	לחולל
חומם	חמם	יחמם	מחמם	-
חונך	חונך	יחונך	מחונך	-
חוקק	חוקק	יחוקק	מחוקק	לחוקק
חושב	חושב	יחושב	מחושב	-
חזה	חזה	יחזה	חוזה	-
חזק	חזק	יחזק	חזק	לחזוק
חזר	חזר	יחזור	חוזר	לחזור
חטא	חטא	יחטא	חוטא	לחטוא
חטף	חטף	יחטוף	חוטף	לחטוף
חי	חי	יחיה	חי	לחיות
חיבל	חיבל	יחבל	מחבל	לחבל
חיבק	חיבק	יחבק	מחבק	לחבק
חיבר	חיבר	יחבר	מחבר	לחבר
חידד	חדד	יחדד	מחדד	-
חידש	חידש	יחדש	מחדש	לחדש
חיווט	חוט	יחוט	מחוט	-
חיזק	חיזק	יחזק	מחזק	לחזק
חיזר	חזר	יחזר	מחזר	-
חיטא	חיטא	יחטא	מחטא	לחטא
חייב	חיב	יחיב	מחיב	-
חייג	חיג	יחיג	מחיג	-
חייך	חייך	יחייך	מחייך	לחייך
חייל	חיל	יחיל	מחיל	-
חיכה	חיכה	יחכה	מחכה	לחכות
חילל	חילל	יחלל	מחלל	לחלל
חילץ	חלץ	יחלץ	מחלץ	-
חילק	חילק	יחלק	מחלק	לחלק
חימם	חימם	יחמם	מחמם	לחמם
חימש	חמש	יחמש	מחמש	-
חינך	חינך	יחנך	מחנך	לחנך
חיסל	חסל	יחסל	מחסל	-
חיפה	חיפה	יחפה	מחפה	לחפות
חיפש	חיפש	יחפש	מחפש	לחפש
חיצרץ	חיצרץ	יחצרץ	מחצרץ	לחצרץ
חיקה	חיקה	יחקה	מחקה	לחקות
חירף	חרף	יחרף	מחרף	-
חישב	חישב	יחשב	מחשב	לחשב
חיתן	חתן	יחתן	מחתן	-
חכם	חכם	יחכם	חכם	לחכום
חל	חל	יחול	חל	לחול
חלב	חלב	יחלוב	חולב	לחלוב
חלה	חלה	יחלה	חולה	לחלות
חלט	חלט	יחלט	חולט	-
חלם	חלם	יחלום	חולם	לחלום
