# lemma	past	future	present	infinitive
אבד	אבד	יאבד	אובד	לאבוד
אבה	אבה	יאבה	אובה	לאבות
אבזר	אבזר	יאבזר	מאבזר	-
אבחן	אבחן	יאבחן	מאבחן	-
אבטח	אבטח	יאבטח	מאבטח	-
אבל	אבל	יאבל	אבל	לאבול
אגר	אגר	יאגור	אוגר	לאגור
אהב	אהב	יאהב	אוהב	לאהוב
אהד	אהד	יאהד	אוהד	לאהוד
אהל	אהל	יאהל	אוהל	-
אובזר	אובזר	יאובזר	מאובזר	-
אובחן	אובחן	יאובחן	מאובחן	-
אובטח	אובטח	יאובטח	מאובטח	-
אוגד	אגד	יאגד	מאגד	-
אוורר	אורר	יאורר	מאורר	-
אוזכר	אוזכר	יאוזכר	מאוזכר	-
אוחד	אוחד	יאוחד	מאוחד	-
אוית	אית	יאית	מאית	-
אוכל	אוכל	יאוכל	מאוכל	-
אומלל	אומלל	יאומלל	מאומלל	-
אומן	אומן	יאומן	מאומן	-
אומץ	אומץ	יאומץ	מאומץ	-
אונן	אונן	יאונן	מאונן	לאונן
אור	אור	יאור	אור	-
אורס	אורס	יאורס	מאורס	-
אושר	אשר	יאשר	מאשר	-
אותר	אתר	יאתר	מאתר	-
אותת	אותת	יאותת	מאותת	לאותת
אזכר	אזכר	יאזכר	מאזכר	-
אזל	אזל	יאזל	אוזל	לאזול
אחז	אחז	יאחז	אוחז	לאחוז
אחסן	אחסן	יאחסן	מאחסן	-
אטלק	אטלק	יאטלק	מאטלק	-
אטם	אטם	יאטם	אוטם	-
אטר	אטר	יאטר	אוטר	-
איבד	איבד	יאבד	מאבד	לאבד
איבזר	איבזר	יאבזר	מאבזר	לאבזר
איבטח	איבטח	יאבטח	מאבטח	לאבטח
אידה	אידה	יאדה	מאדה	לאדות
איווה	אוה	יאוה	מאוה	-
איזכר	איזכר	יאזכר	מאזכר	לאזכר
איזן	אזן	יאזן	מאזן	-
איחד	איחד	יאחד	מאחד	לאחד
איחל	אחל	יאחל	מאחל	-
איחר	איחר	יאחר	מאחר	לאחר
איים	איים	יאיים	מאיים	לאיים
אייר	איר	יאיר	מאיר	-
איית	אית	יאית	מאית	-
איכל	אכל	יאכל	מאכל	-
איכף	אכף	יאכף	מאכף	-
אילם	אלם	יאלם	מאלם	-
אילף	אילף	יאלף	מאלף	לאלף
אימן	אמן	יאמן	מאמן	-
אימץ	אימץ	יאמץ	מאמץ	לאמץ
אימת	אמת	יאמת	מאמת	-
איפר	אפר	יאפר	מאפר	-
אירח	ארח	יארח	מארח	-
אירע	ארע	-	-	-
אירש	ארש	יארש	מארש	-
אישר	אישר	יאשר	מאשר	לאשר
איתר	אתר	יאתר	מאתר	-
אכזב	אכזב	יאכזב	מאכזב	-
אכל	אכל	יאכל	אוכל	לאכול
אכלס	אכלס	יאכלס	מאכלס	-
אלתר	אלתר	יאלתר	מאלתר	-
אמד	אמד	יאמוד	אומד	לאמוד
אמלל	אמלל	יאמלל	מאמלל	-
אמר	אמר	יאמר	אומר	לומר
אנס	אנס	יאנוס	אונס	לאנוס
אסף	אסף	יאסוף	אוסף	לאסוף
אספן	אספן	יאספן	מאספן	-
אסר	אסר	יאסור	אוסר	לאסור
אפה	אפה	יאפה	אופה	לאפות
אפיין	אפין	יאפין	מאפין	-
אפשר	אפשר	יאפשר	מאפשר	-
אץ	אץ	יאוץ	אץ	לאוץ
אצר	אצר	יאצר	אוצר	-
ארב	ארב	יארוב	אורב	לארוב
ארג	ארג	יארג	אורג	-
ארגן	ארגן	יארגן	מארגן	-
ארז	ארז	יארוז	אורז	לארוז
ארח	ארח	יארח	אורח	לארוח
אשם	אשם	יאשם	אושם	-
אשפז	אשפז	יאשפז	מאשפז	-
אשרר	אשרר	יאשרר	מאשרר	-
אתגר	אתגר	יאתגר	מאתגר	-
אתה	אתה	יאתה	אותה	-
בא	בא	יבוא	בא	לבוא
באש	באש	יבאש	בואש	-
בגד	בגד	יבגוד	בוגד	לבגוד
בדה	בדה	יבדה	בודה	לבדות
בדל	בדל	יבדל	בדל	-
בדק	בדק	יבדוק	בודק	לבדוק
בהה	בהה	יבהה	בוהה	-
בואר	באר	יבאר	מבאר	-
בודד	בודד	יבודד	מבודד	לבודד
בוזה	בזה	יבזה	מבזה	-
בוטא	בוטא	יבוטא	מבוטא	-
בוטל	בוטל	יבוטל	מבוטל	-
בוית	בית	יבית	מבית	-
בוקר	בוקר	יבוקר	מבוקר	-
בורך	בורך	יבורך	מבורך	-
בוש	בוש	יבוש	בוש	לבוש
בז	בז	יבוז	בז	לבוז
בזבז	בזבז	יבזבז	מבזבז	-
בזה	בזה	יבזה	מבזה	-
בחן	בחן	יבחן	בוחן	-
בחר	בחר	יבחר	בוחר	לבחור
בחש	בחש	יבחש	בוחש	-
בטח	בטח	יבטח	בוטח	לבטוח
בטל	בטל	יבטל	בטל	-
ביאס	ביאס	יבאס	מבאס	לבאס
ביאר	ביאר	יבאר	מבאר	לבאר
בידח	בידח	יבדח	מבדח	לבדח
בידל	בידל	יבדל	מבדל	לבדל
ביהל	בהל	יבהל	מבהל	-
ביזבז	ביזבז	יבזבז	מבזבז	לבזבז
ביזה	בזה	יבזה	מבזה	-
ביטא	ביטא	יבטא	מבטא	לבטא
ביטל	ביטל	יבטל	מבטל	לבטל
ביים	בים	יבים	מבים	-
ביית	בית	יבית	מבית	-
ביכה	ביכה	יבכה	מבכה	לבכות
ביכר	ביכר	יבכר	מבכר	לבכר
בילבל	בילבל	יבלבל	מבלבל	לבלבל
בילה	בילה	יבלה	מבלה	לבלות
בילע	בילע	יבלע	מבלע	לבלע
ביסס	בסס	יבסס	מבסס	-
ביער	בער	יבער	מבער	-
ביצע	ביצע	יבצע	מבצע	לבצע
ביקע	ביקע	יבקע	מבקע	לבקע
ביקר	ביקר	יבקר	מבקר	לבקר
ביקש	ביקש	יבקש	מבקש	לבקש
בירך	בירך	יברך	מברך	לברך
בישל	בישל	יבשל	מבשל	לבשל
בישר	בישר	יבשר	מבשר	לבשר
בכה	בכה	יבכה	בוכה	לבכות
בלבל	בלבל	יבלבל	מבלבל	-
בלה	בלה	יבלה	בלה	לבלות
בלט	בלט	יבלט	בולט	-
בלל	בלל	יבלל	בולל	-
בלם	בלם	יבלום	בולם	לבלום
בלע	בלע	יבלע	בולע	לבלוע
בן	בן	יבין	בן	לבין
בנה	בנה	יבנה	בונה	לבנות
בעבע	בעבע	יבעבע	מבעבע	-
בעט	בעט	יבעט	בועט	לבעוט
בעל	בעל	יבעל	בועל	לבעול
בער	בער	יבער	בוער	לבעור
בצר	בצר	יבצר	בוצר	-
בקבק	בקבק	יבקבק	מבקבק	-
בקע	בקע	יבקע	בוקע	לבקוע
ברא	ברא	יברא	בורא	לברוא
ברבר	ברבר	יברבר	מברבר	-
ברח	ברח	יברח	בורח	לברוח
ברר	ברר	יבר	בורר	-
בתר	בתר	יבתר	בותר	-
גאה	גאה	יגאה	גואה	-
גאל	גאל	יגאל	גואל	לגאול
גבה	גבה	יגבה	גובה	-
גבל	גבל	יגבל	גובל	-
גבר	גבר	יגבר	גובר	לגבור
גדל	גדל	יגדל	גדל	לגדול
גדש	גדש	יגדש	גודש	-
גווע	גוע	יגוע	גווע	-
גויס	גיס	יגיס	מגיס	-
גולה	גולה	יגולה	מגולה	-
גורש	גורש	יגורש	מגורש	-
גז	גז	יגוז	גז	לגוז
גזז	גזז	יגזז	גוזז	-
גזל	גזל	יגזל	גוזל	-
גזר	גזר	יגזור	גוזר	לגזור
גז׳דר	גז׳דר	יגז׳דר	מגז׳דר	-
גחן	גחן	יגחן	גוחן	-
גיבה	גיבה	יגבה	מגבה	לגבות
גיגל	גגל	יגגל	מגגל	-
גידל	גידל	יגדל	מגדל	לגדל
גידף	גדף	יגדף	מגדף	-
גיהק	גהק	יגהק	מגהק	-
גייס	גיס	יגיס	מגיס	-
גייר	גיר	יגיר	מגיר	-
גילגל	גילגל	יגלגל	מגלגל	לגלגל
גילה	גילה	יגלה	מגלה	לגלות
גילח	גילח	יגלח	מגלח	לגלח
גילף	גלף	יגלף	מגלף	-
גימד	גימד	יגמד	מגמד	לגמד
גינה	גינה	יגנה	מגנה	לגנות
גינן	גנן	יגנן	מגנן	-
גירד	גרד	יגרד	מגרד	-
גירה	גירה	יגרה	מגרה	לגרות
גירר	גרר	יגרר	מגרר	-
גירש	גירש	יגרש	מגרש	לגרש
גישר	גשר	יגשר	מגשר	-
גישש	גשש	יגשש	מגשש	-
גלגל	גלגל	יגלגל	מגלגל	-
גלה	גלה	יגלה	גולה	לגלות
גלל	גלל	יגלל	גולל	-
גלף	גלף	יגלף	גולף	-
גלש	גלש	יגלש	גולש	-
גמגם	גמגם	יגמגם	מגמגם	-
גמל	גמל	יגמול	גומל	לגמול
גמר	גמר	יגמור	גומר	לגמור
גנב	גנב	יגנוב	גונב	לגנוב
גנז	גנז	יגנוז	גונז	לגנוז
גנן	גנן	יגנן	גונן	-
גר	גר	יגור	גר	לגור
גרב	גרב	יגרוב	גורב	לגרוב
גרם	גרם	יגרום	גורם	לגרום
גרס	גרס	יגרס	גורס	-
גרף	גרף	יגרף	גורף	-
גרר	גרר	יגרור	גורר	לגרור
גשר	גשר	יגשר	גושר	-
ג׳ונרט	ג׳נרט	יג׳נרט	מג׳נרט	-
דאב	דאב	ידאב	דואב	-
דאג	דאג	ידאג	דואג	לדאוג
דאה	דאה	ידאה	דואה	לדאות
דבלל	דבלל	ידבלל	מדבלל	-
דבק	דבק	ידבק	דובק	לדבוק
דג	דג	ידוג	דג	לדוג
דגדג	דגדג	ידגדג	מדגדג	-
דהר	דהר	ידהר	דוהר	-
דובר	דובר	ידובר	מדובר	-
דוכא	דוכא	ידוכא	מדוכא	-
דוכדך	דוכדך	ידוכדך	מדוכדך	-
דומה	דמה	ידמה	מדמה	-
דחה	דחה	ידחה	דוחה	לדחות
דחס	דחס	ידחס	דוחס	-
דחף	דחף	ידחוף	דוחף	לדחוף
דיבר	דיבר	ידבר	מדבר	לדבר
דיגדג	דיגדג	ידגדג	מדגדג	לדגדג
דיגל	דיגל	ידגל	מדגל	לדגל
דיווח	דוח	ידוח	מדוח	-
דיכא	דיכא	ידכא	מדכא	לדכא
דיכדך	דיכדך	ידכדך	מדכדך	לדכדך
דילל	דלל	ידלל	מדלל	-
דימה	דמה	ידמה	מדמה	-
דימם	דימם	ידמם	מדמם	לדמם
דכדך	דכדך	ידכדך	מדכדך	-
דלה	דלה	ידלה	דולה	לדלות
דלף	דלף	ידלף	דולף	-
דלק	דלק	ידלק	דולק	-
דמה	דמה	ידמה	דומה	לדמות
דמיין	דמיין	ידמיין	מדמיין	-
דמם	דמם	ידם	דומם	-
דמע	דמע	ידמע	דומע	-
דן	דן	ידון	דן	לדון
דעך	דעך	ידעך	דועך	-
דפדף	דפדף	ידפדף	מדפדף	-
דפס	דפס	ידפס	דופס	-
דפק	דפק	ידפוק	דופק	לדפוק
דקלם	דקלם	ידקלם	מדקלם	-
דקר	דקר	ידקור	דוקר	לדקור
דר	דר	ידור	דר	לדור
דרדר	דרדר	ידרדר	מדרדר	-
דרך	דרך	ידרוך	דורך	לדרוך
דרס	דרס	ידרוס	דורס	לדרוס
דרש	דרש	ידרוש	דורש	לדרוש
דש	דש	ידוש	דש	לדוש
דשא	דשא	ידשא	דושא	-
האביס	האביס	יאביס	מאביס	להאביס
האביר	האביר	יאביר	מאביר	-
האדים	האדים	יאדים	מאדים	-
האזין	האזין	יאזין	מאזין	-
האחיד	האחיד	יאחיד	מאחיד	-
האט	האט	יאט	מאט	להאט
האיץ	האיץ	יאיץ	מאיץ	להאיץ
האיר	האיר	יאיר	מאיר	להאיר
האמין	האמין	יאמין	מאמין	להאמין
האמיר	האמיר	יאמיר	מאמיר	-
האריך	האריך	יאריך	מאריך	-
האשים	האשים	יאשים	מאשים	-
הבאיש	הבאיש	יבאיש	מבאיש	-
הבדיל	הבדיל	יבדיל	מבדיל	להבדיל
הבהיר	הבהיר	יבהיר	מבהיר	להבהיר
הבטיח	הבטיח	יבטיח	מבטיח	להבטיח
הביא	הביא	יביא	מביא	להביא
הביט	הביט	יביט	מביט	להביט
הביך	הביך	יביך	מביך	-
הבין	הבין	יבין	מבין	להבין
הביס	הביס	יביס	מביס	להביס
הביע	הביע	יביע	מביע	-
הבליט	הבליט	יבליט	מבליט	-
הבליע	הבליע	יבליע	מבליע	להבליע
הבנה	הבנה	יבנה	מבנה	-
הבעיר	הבעיר	יבעיר	מבעיר	-
הבקיע	הבקיע	יבקיע	מבקיע	-
הבריא	הבריא	יבריא	מבריא	-
הבריג	הבריג	יבריג	מבריג	להבריג
הבריח	הבריח	יבריח	מבריח	-
הבריק	הבריק	יבריק	מבריק	-
הבשיל	הבשיל	יבשיל	מבשיל	-
הגביה	הגביה	יגביה	מגביה	-
הגביל	הגביל	יגביל	מגביל	להגביל
הגביר	הגביר	יגביר	מגביר	להגביר
הגדיל	הגדיל	יגדיל	מגדיל	להגדיל
הגדיר	הגדיר	יגדיר	מגדיר	-
הגה	הגה	יהגה	הוגה	להגות
הגזים	הגזים	יגזים	מגזים	להגזים
הגיב	הגיב	יגיב	מגיב	להגיב
הגיד	הגיד	יגיד	מגיד	להגיד
הגיח	הגיח	יגיח	מגיח	-
הגיע	הגיע	יגיע	מגיע	להגיע
הגיף	הגיף	יגיף	מגיף	-
הגיש	הגיש	יגיש	מגיש	-
הגן	הגן	יגן	מגן	להגן
הגניב	הגניב	יגניב	מגניב	-
הגעיל	הגעיל	יגעיל	מגעיל	-
הדאיג	הדאיג	ידאיג	מדאיג	להדאיג
הדביק	הדביק	ידביק	מדביק	-
הדגים	הדגים	ידגים	מדגים	-
הדגיש	הדגיש	ידגיש	מדגיש	-
הדהים	הדהים	ידהים	מדהים	-
הדחיק	הדחיק	ידחיק	מדחיק	-
הדיח	הדיח	ידיח	מדיח	-
הדליק	הדליק	ידליק	מדליק	להדליק
הדפיס	הדפיס	ידפיס	מדפיס	-
הדריך	הדריך	ידריך	מדריך	להדריך
הדרים	הדרים	ידרים	מדרים	-
הדשיא	הדשיא	ידשיא	מדשיא	-
ההסה	ההסה	יהסה	מהסה	-
הואיל	הואיל	יואיל	מואיל	-
הואץ	הואץ	יואץ	מואץ	-
הואר	הואר	יואר	מואר	-
הוארך	הארך	יארך	מארך	-
הוביל	הוביל	יוביל	מוביל	להוביל
הובל	הובל	יובל	מובל	-
הובס	הובס	יובס	מובס	-
הוברח	הברח	יברח	מברח	-
הוגבר	הוגבר	יוגבר	מוגבר	-
הוגנב	הגנב	יגנב	מגנב	-
הודאג	הדאג	ידאג	מדאג	-
הודה	הודה	יודה	מודה	להודות
הודיע	הודיע	יודיע	מודיע	להודיע
הווריד	הוריד	יוריד	מוריד	-
הוזז	הוזז	יוזז	מוזז	-
הוזיל	הוזיל	יוזיל	מוזיל	-
הוזכר	הוזכר	יוזכר	מוזכר	-
הוחלט	הוחלט	יוחלט	מוחלט	-
הוטב	הוטב	יוטב	מוטב	-
הוכה	הוכה	יוכה	מוכה	-
הוכח	הוכח	יוכח	מוכח	-
הוכיח	הוכיח	יוכיח	מוכיח	להוכיח
הוכן	הוכן	יוכן	מוכן	-
הוכנס	הוכנס	יוכנס	מוכנס	-
הוכר	הוכר	יוכר	מוכר	-
הוכרח	הכרח	יכרח	מכרח	-
הוכשר	הוכשר	יוכשר	מוכשר	-
הוכתר	הכתר	יכתר	מכתר	-
הוליד	הוליד	יוליד	מוליד	להוליד
הוליך	הוליך	יוליך	מוליך	-
הוסב	הוסב	יוסב	מוסב	-
הוסיף	הוסיף	יוסיף	מוסיף	להוסיף
הוסע	הוסע	יוסע	מוסע	-
הוסף	הוסף	יוסף	מוסף	-
הועבר	העבר	יעבר	מעבר	-
הועיל	הועיל	יועיל	מועיל	-
הופיע	הופיע	יופיע	מופיע	להופיע
הופל	הופל	יופל	מופל	-
הופשט	הופשט	יופשט	מופשט	-
הופתע	הפתע	יפתע	מפתע	-
הוצא	הוצא	יוצא	מוצא	-
הוציא	הוציא	יוציא	מוציא	להוציא
הוצל	הוצל	יוצל	מוצל	-
הוצע	הוצע	יוצע	מוצע	-
הוקיע	הוקיע	יוקיע	מוקיע	-
הוקלט	הקלט	יקלט	מקלט	-
הוקם	הוקם	יוקם	מוקם	-
הוקף	הוקף	יוקף	מוקף	-
הוקשח	הקשח	יקשח	מקשח	-
הוראה	הוראה	יוראה	מוראה	-
הורגש	הורגש	יורגש	מורגש	-
הורד	הורד	יורד	מורד	-
הורה	הורה	יורה	מורה	להורות
הוריד	הוריד	יוריד	מוריד	להוריד
הוריק	הוריק	יוריק	מוריק	-
הוריש	הוריש	יוריש	מוריש	להוריש
הורעל	הרעל	ירעל	מרעל	-
הורשע	הורשע	יורשע	מורשע	-
הושב	הושב	יושב	מושב	-
הושיב	הושיב	יושיב	מושיב	להושיב
הושיע	הושיע	יושיע	מושיע	להושיע
הושלט	הושלט	יושלט	מושלט	-
הושלם	השלם	ישלם	משלם	-
הושעה	השעה	ישעה	משעה	-
הושפע	השפע	ישפע	משפע	-
הושתק	הושתק	יושתק	מושתק	-
הותיר	הותיר	יותיר	מותיר	להותיר
הותפל	הותפל	יותפל	מותפל	-
הותקן	הותקן	יותקן	מותקן	-
הותקף	הותקף	יותקף	מותקף	-
הותש	התש	יתש	מתש	-
הזדהה	הזדהה	יזדהה	מזדהה	-
הזדיין	הזדין	יזדין	מזדין	-
הזדעזע	הזדעזע	יזדעזע	מזדעזע	להזדעזע
הזדקן	הזדקן	יזדקן	מזדקן	להזדקן
הזדקף	הזדקף	יזדקף	מזדקף	-
הזדקק	הזדקק	יזדקק	מזדקק	-
הזדרז	הזדרז	יזדרז	מזדרז	להזדרז
הזה	הזה	יהזה	הוזה	להזות
הזהיר	הזהיר	יזהיר	מזהיר	-
הזיז	הזיז	יזיז	מזיז	להזיז
הזיע	הזיע	יזיע	מזיע	להזיע
הזיק	הזיק	יזיק	מזיק	להזיק
הזכיר	הזכיר	יזכיר	מזכיר	להזכיר
הזליף	הזליף	יזליף	מזליף	-
הזמין	הזמין	יזמין	מזמין	להזמין
הזניח	הזניח	יזניח	מזניח	-
הזריק	הזריק	יזריק	מזריק	-
החביא	החביא	יחביא	מחביא	-
החדיר	החדיר	יחדיר	מחדיר	-
החווה	החוה	יחוה	מחוה	-
החזיק	החזיק	יחזיק	מחזיק	-
החזיר	החזיר	יחזיר	מחזיר	להחזיר
החטיא	החטיא	יחטיא	מחטיא	-
החיה	החיה	יחיה	מחיה	-
החיל	החיל	יחיל	מחיל	להחיל
החכים	החכים	יחכים	מחכים	להחכים
החל	החל	יחל	מחל	להחל
החליד	החליד	יחליד	מחליד	-
החליט	החליט	יחליט	מחליט	להחליט
החליף	החליף	יחליף	מחליף	-
החליק	החליק	יחליק	מחליק	להחליק
החמיא	החמיא	יחמיא	מחמיא	-
החמיץ	החמיץ	יחמיץ	מחמיץ	להחמיץ
החנה	החנה	יחנה	מחנה	-
החרים	החרים	יחרים	מחרים	-
החשיך	החשיך	יחשיך	מחשיך	-
הטביע	הטביע	יטביע	מטביע	להטביע
הטה	הטה	יטה	מטה	להטות
הטהר	הטהר	יטהר	מטהר	-
הטיב	הטיב	יטיב	מטיב	להטיב
הטיל	הטיל	יטיל	מטיל	-
הטיס	הטיס	יטיס	מטיס	-
הטיף	הטיף	יטיף	מטיף	-
הטמין	הטמין	יטמין	מטמין	-
הטעה	הטעה	יטעה	מטעה	-
הטעים	הטעים	יטעים	מטעים	-
היגר	הגר	יהגר	מהגר	-
הידק	הדק	יהדק	מהדק	-
היה	היה	יהיה	הווה	להיות
היווה	הוה	יהוה	מהוה	-
היוון	הון	יהון	מהון	-
היטגן	היטגן	ייטגן	מיטגן	להיטגן
היטהר	היטהר	ייטהר	מיטהר	להיטהר
היטיב	היטיב	ייטיב	מיטיב	להיטיב
היטנף	היטנף	ייטנף	מיטנף	להיטנף
הילל	הילל	יהלל	מהלל	להלל
הימהם	הימהם	יהמהם	מהמהם	להמהם
הימין	הימין	יימין	מימין	להימין
הימם	המם	יהמם	מהמם	-
הימר	המר	יהמר	מהמר	-
הימשה	המשה	ימשה	ממשה	-
היניק	היניק	ייניק	מיניק	להיניק
היסס	הסס	יהסס	מהסס	-
הירס	הרס	יהרס	מהרס	-
הכאיב	הכאיב	יכאיב	מכאיב	-
הכביד	הכביד	יכביד	מכביד	-
הכה	הכה	יכה	מכה	להכות
הכחיד	הכחיד	יכחיד	מכחיד	-
הכחיל	הכחיל	יכחיל	מכחיל	-
הכחיש	הכחיש	יכחיש	מכחיש	להכחיש
הכיל	הכיל	יכיל	מכיל	להכיל
הכין	הכין	יכין	מכין	להכין
הכיר	הכיר	יכיר	מכיר	להכיר
הכיש	הכיש	יכיש	מכיש	-
הכליל	הכליל	יכליל	מכליל	-
הכניס	הכניס	יכניס	מכניס	להכניס
הכניע	הכניע	יכניע	מכניע	-
הכעיס	הכעיס	יכעיס	מכעיס	להכעיס
הכפיל	הכפיל	יכפיל	מכפיל	-
הכריז	הכריז	יכריז	מכריז	להכריז
הכריח	הכריח	יכריח	מכריח	להכריח
הכריע	הכריע	יכריע	מכריע	-
הכשיל	הכשיל	יכשיל	מכשיל	-
הכשיר	הכשיר	יכשיר	מכשיר	להכשיר
הכתיב	הכתיב	יכתיב	מכתיב	-
הכתים	הכתים	יכתים	מכתים	-
הכתיר	הכתיר	יכתיר	מכתיר	-
הלאים	הלאים	ילאים	מלאים	-
הלבין	הלבין	ילבין	מלבין	-
הלביש	הלביש	ילביש	מלביש	להלביש
הלהיט	הלהיט	ילהיט	מלהיט	-
הלווה	הלוה	ילוה	מלוה	-
הלחים	הלחים	ילחים	מלחים	-
הלחיץ	הלחיץ	ילחיץ	מלחיץ	-
הלך	הלך	ילך	הולך	ללכת
הלם	הלם	יהלם	הולם	-
הלעיב	הלעיב	ילעיב	מלעיב	-
הלעיט	הלעיט	ילעיט	מלעיט	-
הלשין	הלשין	ילשין	מלשין	-
המה	המה	יהמה	הומה	-
המהם	המהם	יהמהם	מהמהם	-
המחיז	המחיז	ימחיז	ממחיז	-
המחיש	המחיש	ימחיש	ממחיש	-
המיר	המיר	ימיר	ממיר	-
המית	המית	ימית	ממית	להמית
המליח	המליח	ימליח	ממליח	-
המליך	המליך	ימליך	ממליך	-
המליץ	המליץ	ימליץ	ממליץ	להמליץ
המס	המס	ימס	ממס	-
המציא	המציא	ימציא	ממציא	להמציא
המקים	המקים	ימקים	ממקים	-
המריא	המריא	ימריא	ממריא	-
המשיך	המשיך	ימשיך	ממשיך	-
המתין	המתין	ימתין	ממתין	להמתין
הנדס	הנדס	יהנדס	מהנדס	-
הנהיג	הנהיג	ינהיג	מנהיג	-
הנחה	הנחה	ינחה	מנחה	להנחות
הנחיל	הנחיל	ינחיל	מנחיל	-
הניח	הניח	יניח	מניח	להניח
הניף	הניף	יניף	מניף	-
הנמיך	הנמיך	ינמיך	מנמיך	-
הנפיש	הנפיש	ינפיש	מנפיש	-
הסב	הסב	יסב	מסב	להסב
הסביר	הסביר	יסביר	מסביר	להסביר
הסגביר	הסגביר	יסגביר	מסגביר	-
הסגיר	הסגיר	יסגיר	מסגיר	-
הסיט	הסיט	יסיט	מסיט	-
הסיע	הסיע	יסיע	מסיע	להסיע
הסיק	הסיק	יסיק	מסיק	-
הסיר	הסיר	יסיר	מסיר	להסיר
הסכים	הסכים	יסכים	מסכים	להסכים
הסמיך	הסמיך	יסמיך	מסמיך	-
הסמיק	הסמיק	יסמיק	מסמיק	להסמיק
הסניף	הסניף	יסניף	מסניף	-
הספיג	הספיג	יספיג	מספיג	-
הספיק	הספיק	יספיק	מספיק	-
הסתבך	הסתבך	יסתבך	מסתבך	-
הסתגל	הסתגל	יסתגל	מסתגל	-
הסתגר	הסתגר	יסתגר	מסתגר	להסתגר
הסתדר	הסתדר	יסתדר	מסתדר	-
הסתובב	הסתובב	יסתובב	מסתובב	-
הסתופף	הסתופף	יסתופף	מסתופף	-
הסתיים	הסתים	יסתים	מסתים	-
הסתיר	הסתיר	יסתיר	מסתיר	להסתיר
הסתכל	הסתכל	יסתכל	מסתכל	להסתכל
הסתכן	הסתכן	יסתכן	מסתכן	-
הסתלק	הסתלק	יסתלק	מסתלק	-
הסתמן	הסתמן	יסתמן	מסתמן	-
הסתעף	הסתעף	יסתעף	מסתעף	להסתעף
הסתערב	הסתערב	יסתערב	מסתערב	להסתערב
הסתפק	הסתפק	יסתפק	מסתפק	-
הסתפר	הסתפר	יסתפר	מסתפר	-
הסתתר	הסתתר	יסתתר	מסתתר	להסתתר
העביד	העביד	יעביד	מעביד	-
העביר	העביר	יעביר	מעביר	להעביר
העדה	העדה	יעדה	מעדה	-
העדין	העדין	יעדין	מעדין	-
העדיף	העדיף	יעדיף	מעדיף	להעדיף
העז	העז	יעז	מעז	להעז
העטיר	העטיר	יעטיר	מעטיר	להעטיר
העיז	העיז	יעיז	מעיז	-
העיף	העיף	יעיף	מעיף	להעיף
העיר	העיר	יעיר	מעיר	להעיר
העלה	העלה	יעלה	מעלה	להעלות
העליב	העליב	יעליב	מעליב	-
העלים	העלים	יעלים	מעלים	להעלים
העמיד	העמיד	יעמיד	מעמיד	להעמיד
העמיס	העמיס	יעמיס	מעמיס	-
העמיק	העמיק	יעמיק	מעמיק	להעמיק
העניק	העניק	יעניק	מעניק	-
העניש	העניש	יעניש	מעניש	-
העפיל	העפיל	יעפיל	מעפיל	-
העציב	העציב	יעציב	מעציב	-
העצים	העצים	יעצים	מעצים	-
העריך	העריך	יעריך	מעריך	להעריך
העריץ	העריץ	יעריץ	מעריץ	להעריץ
העתיק	העתיק	יעתיק	מעתיק	-
הפגיז	הפגיז	יפגיז	מפגיז	-
הפגין	הפגין	יפגין	מפגין	להפגין
הפחיד	הפחיד	יפחיד	מפחיד	להפחיד
הפחית	הפחית	יפחית	מפחית	להפחית
הפטיר	הפטיר	יפטיר	מפטיר	להפטיר
הפיל	הפיל	יפיל	מפיל	להפיל
הפיץ	הפיץ	יפיץ	מפיץ	להפיץ
הפיק	הפיק	יפיק	מפיק	-
הפך	הפך	יהפוך	הופך	להפוך
הפלה	הפלה	יפלה	מפלה	-
הפליא	הפליא	יפליא	מפליא	להפליא
הפליג	הפליג	יפליג	מפליג	-
הפליט	הפליט	יפליט	מפליט	-
הפליץ	הפליץ	יפליץ	מפליץ	להפליץ
הפנה	הפנה	יפנה	מפנה	-
הפנים	הפנים	יפנים	מפנים	-
הפסיד	הפסיד	יפסיד	מפסיד	להפסיד
הפסיק	הפסיק	יפסיק	מפסיק	להפסיק
הפעיל	הפעיל	יפעיל	מפעיל	להפעיל
הפציץ	הפציץ	יפציץ	מפציץ	-
הפציר	הפציר	יפציר	מפציר	-
הפקיע	הפקיע	יפקיע	מפקיע	-
הפקיר	הפקיר	יפקיר	מפקיר	-
הפר	הפר	יפר	מפר	להפר
הפריד	הפריד	יפריד	מפריד	-
הפריע	הפריע	יפריע	מפריע	להפריע
הפריש	הפריש	יפריש	מפריש	-
הפשיט	הפשיט	יפשיט	מפשיט	להפשיט
הפשיר	הפשיר	יפשיר	מפשיר	-
הפתיע	הפתיע	יפתיע	מפתיע	להפתיע
הצביע	הצביע	יצביע	מצביע	להצביע
הצדיע	הצדיע	יצדיע	מצדיע	-
הצהיב	הצהיב	יצהיב	מצהיב	-
הצהיר	הצהיר	יצהיר	מצהיר	להצהיר
הצחיק	הצחיק	יצחיק	מצחיק	להצחיק
הצטבר	הצטבר	יצטבר	מצטבר	-
הצטברח	הצטברח	יצטברח	מצטברח	להצטברח
הצטחק	הצטחק	יצטחק	מצטחק	להצטחק
הצטלם	הצטלם	יצטלם	מצטלם	להצטלם
הצטמק	הצטמק	יצטמק	מצטמק	-
