# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
cairéalaigh	-	-	cairéalóidh	-	-	-	-	-
caisligh	-	-	caisleoidh	-	-	-	-	-
caisnigh	-	-	caisneoidh	-	-	-	-	-
caith	-	-	caithfidh	caitheamh	caite	-	-	caitear
caithreáil	caithreálann	caithreáil	caithreálfaidh	caithreáil	caithreáilte	-	caithreálaigí	caithreáiltear
calc	-	-	-	-	calctha	-	-	-
cam	-	-	-	-	camtha	-	-	-
campáil	campálann	campáil	campálfaidh	campáil	campáilte	-	campálaigí	campáiltear
cantáil	cantálann	cantáil	cantálfaidh	cantáil	cantáilte	-	cantálaigí	cantáiltear
caoin	-	-	caoinfidh	-	-	-	-	-
caolaigh	-	-	caolóidh	-	-	-	-	-
caomhnaigh	-	-	caomhnóidh	-	-	-	-	-
car	-	-	-	carthain	cartha	-	-	-
cardáil	cardálann	cardáil	cardálfaidh	cardáil	cardáilte	-	cardálaigí	cardáiltear
carn	-	-	-	-	carntha	-	-	-
cart	-	-	-	-	carta	-	-	cartar
casaoid	-	-	casaoidfidh	casaoid	-	-	-	-
cathaigh	-	-	cathóidh	-	-	-	-	-
ceadaigh	-	-	ceadóidh	-	-	-	-	-
cealaigh	-	-	cealóidh	-	-	-	-	-
cealg	-	-	-	-	cealgtha	-	-	-
ceangail	ceanglaíonn	ceangail	ceanglóidh	ceangal	ceangailte	-	ceanglaígí	ceanglaítear
ceannaigh	-	-	ceannóidh	ceannach	-	-	-	-
ceannchogain	ceannchognaíonn	ceannchogain	ceannchognóidh	ceannchogaint	ceannchoganta	-	ceannchognaígí	ceannchognaítear
ceansaigh	-	-	ceansóidh	-	-	-	-	-
ceantáil	ceantálann	ceantáil	ceantálfaidh	ceantáil	ceantáilte	-	ceantálaigí	ceantáiltear
ceap	-	-	-	-	ceaptha	-	-	-
ceartaigh	-	-	ceartóidh	-	-	-	-	-
ceasnaigh	-	-	-	ceasnaí	-	-	-	-
ceibeabáil	ceibeabálann	ceibeabáil	ceibeabálfaidh	ceibeabáil	ceibeabáilte	-	ceibeabálaigí	ceibeabáiltear
ceil	-	-	ceilfidh	ceilt	-	-	-	-
ceiliúir	ceiliúrann	ceiliúir	ceiliúrfaidh	ceiliúradh	ceiliúrtha	-	ceiliúraigí	ceiliúrtar
ceirtleáil	ceirtleálann	ceirtleáil	ceirtleálfaidh	ceirtleáil	ceirtleáilte	-	ceirtleálaigí	ceirtleáiltear
ceis	-	-	ceisfidh	ceasacht	-	-	-	-
ceistigh	-	-	ceisteoidh	-	-	-	-	-
ciallaigh	-	-	ciallóidh	-	-	-	-	-
ciap	-	-	-	-	ciaptha	-	-	-
ciar	-	-	-	-	ciartha	-	-	-
ciceáil	ciceálann	ciceáil	ciceálfaidh	ciceáil	ciceáilte	-	ciceálaigí	ciceáiltear
cigil	ciglíonn	cigil	cigleoidh	cigilt	cigilte	-	ciglígí	ciglítear
cimigh	-	-	cimeoidh	-	-	-	-	-
cin	-	-	cinfidh	-	-	-	-	-
cinn	-	-	cinnfidh	-	-	-	-	-
cinnir	-	-	cinnirfidh	cinnireacht	cinneartha	-	-	-
cinntigh	-	-	cinnteoidh	-	-	-	-	-
ciondáil	ciondálann	ciondáil	ciondálfaidh	ciondáil	ciondáilte	-	ciondálaigí	ciondáiltear
cionroinn	-	-	cionroinnfidh	cionroinnt	-	-	-	-
ciontaigh	-	-	ciontóidh	-	-	-	-	-
ciorclaigh	-	-	ciorclóidh	-	-	-	-	-
ciorraigh	-	-	ciorróidh	-	-	-	-	-
cis	-	-	cisfidh	-	-	-	-	-
ciúáil	ciúálann	ciúáil	ciúálfaidh	ciúáil	ciúáilte	-	ciúálaigí	ciúáiltear
clab	-	-	-	-	clabtha	-	-	-
clabhtáil	clabhtálann	clabhtáil	clabhtálfaidh	clabhtáil	clabhtáilte	-	clabhtálaigí	clabhtáiltear
cladáil	cladálann	cladáil	cladálfaidh	cladáil	cladáilte	-	cladálaigí	cladáiltear
clag	-	-	-	-	clagtha	-	-	-
claidh	-	-	claidhfidh	claidhe	-	-	-	-
clamhair	clamhraíonn	clamhair	clamhróidh	clamhairt	clamhartha	-	clamhraígí	clamhraítear
clampáil	clampálann	clampáil	clampálfaidh	clampáil	clampáilte	-	clampálaigí	clampáiltear
cleacht	-	-	-	-	cleachta	-	-	cleachtar
cliath	-	-	-	-	cliata	-	-	cliatar
clibeáil	clibeálann	clibeáil	clibeálfaidh	clibeáil	clibeáilte	-	clibeálaigí	clibeáiltear
cliceáil	cliceálann	cliceáil	cliceálfaidh	cliceáil	cliceáilte	-	cliceálaigí	cliceáiltear
climir	climríonn	climir	climreoidh	climirt	climeartha	-	climrígí	climrítear
cling	-	-	clingfidh	-	clingthe	-	-	-
clip	-	-	clipfidh	-	clipthe	-	-	-
clis	-	-	clisfidh	-	-	-	-	-
clog	-	-	-	-	clogtha	-	-	-
clois	-	cuala	cloisfidh	cloisteáil	-	-	-	-
cloígh	cloíonn	cloígh	cloífidh	cloí	cloíte	-	cloígí	cloítear
cluich	-	-	cluichfidh	-	-	-	-	-
cluicheáil	cluicheálann	cluicheáil	cluicheálfaidh	cluicheáil	cluicheáilte	-	cluicheálaigí	cluicheáiltear
cluimhrigh	-	-	cluimhreoidh	-	-	-	-	-
cluin	-	cuala	cluinfidh	cluinstin	-	-	-	-
cláraigh	-	-	cláróidh	-	-	-	-	-
clárscátáil	clárscátálann	clárscátáil	clárscátálfaidh	clárscátáil	clárscátáilte	-	clárscátálaigí	clárscátáiltear
cléchliceáil	cléchliceálann	cléchliceáil	cléchliceálfaidh	cléchliceáil	cléchliceáilte	-	cléchliceálaigí	cléchliceáiltear
clíth	-	-	clíthfidh	clíth	clite	-	-	clítear
cló-eagraigh	-	-	cló-eagróidh	-	-	-	-	-
clóbhuail	-	-	clóbhuailfidh	clóbhualadh	-	-	-	-
clóchuir	-	-	clóchuirfidh	clóchur	clóchurtha	-	-	-
clóigh	clónn	clóigh	clófaidh	cló	clóite	-	clóigí	clóitear
clónáil	clónálann	clónáil	clónálfaidh	clónáil	clónáilte	-	clónálaigí	clónáiltear
clóscríobh	-	-	-	clóscríobh	clóscríofa	-	-	-
clúdaigh	-	-	clúdóidh	clúdach	-	-	-	-
clúmhill	-	-	clúmhillfidh	-	-	-	-	-
cnag	-	-	-	-	cnagtha	-	-	-
cnagbhruith	-	-	cnagbhruithfidh	cnagbhruith	cnagbhruite	-	-	cnagbhruitear
cnap	-	-	-	-	cnaptha	-	-	-
cnaígh	cnaíonn	cnaígh	cnaífidh	cnaí	cnaíte	-	cnaígí	cnaítear
cnead	-	-	-	cneadach	-	-	-	-
cneasaigh	-	-	cneasóidh	-	-	-	-	-
cneáigh	cneánn	cneáigh	cneáfaidh	cneá	cneáite	-	cneáigí	cneáitear
cniog	-	-	-	-	cniogtha	-	-	-
cniogdhamhsaigh	-	-	-	cniogdhamhsa	-	-	-	-
cniotáil	cniotálann	cniotáil	cniotálfaidh	cniotáil	cniotáilte	-	cniotálaigí	cniotáiltear
cnuchair	cnuchraíonn	cnuchair	cnuchróidh	cnuchairt	cnuchartha	-	cnuchraígí	cnuchraítear
cnuáil	cnuálann	cnuáil	cnuálfaidh	cnuáil	cnuáilte	-	cnuálaigí	cnuáiltear
cnámhair	cnáimhríonn	cnámhair	cnáimhreoidh	cnáimhreadh	cnámhartha	-	cnáimhrígí	cnáimhrítear
cnámhghoin	-	-	cnámhghoinfidh	cnámhghoin	cnámhghonta	-	-	-
cobhsaigh	-	-	cobhsóidh	-	-	-	-	-
coc	-	-	-	-	coctha	-	-	-
cocáil	cocálann	cocáil	cocálfaidh	cocáil	cocáilte	-	cocálaigí	cocáiltear
codail	codlaíonn	codail	codlóidh	codladh	codalta	-	codlaígí	codlaítear
cogain	cognaíonn	cogain	cognóidh	cogaint	coganta	-	cognaígí	cognaítear
cogair	cograíonn	cogair	cogróidh	cogar	cogartha	-	cograígí	cograítear
coiceáil	coiceálann	coiceáil	coiceálfaidh	coiceáil	coiceáilte	-	coiceálaigí	coiceáiltear
coigil	coiglíonn	coigil	coigleoidh	coigilt	coigilte	-	coiglígí	coiglítear
coigistigh	-	-	coigisteoidh	-	-	-	-	-
coill	-	-	coillfidh	-	-	-	-	-
coilltigh	-	-	coillteoidh	-	-	-	-	-
coimeád	-	-	-	coimeád	-	-	-	-
coimhéad	-	-	-	coimhéad	-	-	-	-
coimpir	coimpríonn	coimpir	coimpreoidh	coimpeart	coimpeartha	-	coimprígí	coimprítear
coincheap	-	-	-	-	coincheaptha	-	-	-
coinnealbháigh	coinnealbhánn	coinnealbháigh	coinnealbháfaidh	coinnealbhá	coinnealbháite	-	coinnealbháigí	coinnealbháitear
coinnigh	-	-	coinneoidh	-	-	-	-	-
coinscríobh	-	-	-	coinscríobh	coinscríofa	-	-	-
coip	-	-	coipfidh	-	coipthe	-	-	-
coir	-	-	coirfidh	cor	cortha	-	-	-
coirb	-	-	coirbfidh	-	coirbthe	-	-	-
coirigh	-	-	coireoidh	-	-	-	-	-
coirneáil	coirneálann	coirneáil	coirneálfaidh	coirneáil	coirneáilte	-	coirneálaigí	coirneáiltear
coirtigh	-	-	coirteoidh	-	-	-	-	-
coisc	-	-	coiscfidh	cosc	coiscthe	-	-	-
coisigh	-	-	-	coisíocht	-	-	-	-
coisric	-	-	coisricfidh	coisreacan	coisricthe	-	-	-
comhaill	comhallann	comhaill	comhallfaidh	comhall	comhalta	-	comhallaigí	comhalltar
comhair	-	-	comhairfidh	comhaireamh	comhairthe	-	-	-
comhaontaigh	-	-	comhaontóidh	-	-	-	-	-
comhbhrúigh	comhbhrúnn	comhbhrúigh	comhbhrúfaidh	comhbhrú	comhbhrúite	-	comhbhrúigí	comhbhrúitear
comhbhuail	-	-	comhbhuailfidh	comhbhualadh	-	-	-	-
comhcheangail	comhcheanglaíonn	comhcheangail	comhcheanglóidh	comhcheangal	comhcheangailte	-	comhcheanglaígí	comhcheanglaítear
comhchuingigh	-	-	comhchuingeoidh	-	-	-	-	-
comhdhlúthaigh	-	-	comhdhlúthóidh	-	comhdhlúite	-	-	-
comhdhéan	-	-	-	comhdhéanamh	-	-	-	-
comhfhreagair	comhfhreagraíonn	comhfhreagair	comhfhreagróidh	comhfhreagairt	comhfhreagartha	-	comhfhreagraígí	comhfhreagraítear
comhfháisc	-	-	comhfháiscfidh	comhfháscadh	comhfháiscthe	-	-	-
comhghlasáil	comhghlasálann	comhghlasáil	comhghlasálfaidh	comhghlasáil	comhghlasáilte	-	comhghlasálaigí	comhghlasáiltear
comhleáigh	comhleánn	comhleáigh	comhleáfaidh	comhleá	comhleáite	-	comhleáigí	comhleáitear
comhraic	-	-	comhraicfidh	comhrac	comhraicthe	-	-	-
comhréitigh	-	-	-	comhréiteach	-	-	-	-
comhshnaidhm	-	-	comhshnaidhmfidh	-	comhshnaidhmthe	-	-	-
comhshuigh	-	-	comhshuífidh	comhshuí	comhshuite	-	-	comhshuitear
comhshóigh	comhshónn	comhshóigh	comhshófaidh	comhshó	comhshóite	-	comhshóigí	comhshóitear
comhtharraing	comhtharraingíonn	comhtharraing	comhtharraingeoidh	comhtharraingt	comhtharraingthe	-	comhtharraingígí	comhtharraingítear
comhthiomsaigh	-	-	comhthiomsóidh	-	-	-	-	-
comhthit	-	-	comhthitfidh	comhthitim	comhthite	-	-	comhthitear
comhthiúin	comhthiúnann	comhthiúin	comhthiúnfaidh	comhthiúnadh	comhthiúnta	-	comhthiúnaigí	comhthiúntar
comhthogh	-	-	-	-	comhthofa	-	-	-
comáil	comálann	comáil	comálfaidh	comáil	comáilte	-	comálaigí	comáiltear
comóir	comórann	comóir	comórfaidh	comóradh	comórtha	-	comóraigí	comórtar
conducht	-	-	-	-	conduchta	-	-	conduchtar
conlaigh	-	-	conlóidh	-	-	-	-	-
conraigh	-	-	conróidh	-	-	-	-	-
conspóid	-	-	conspóidfidh	-	-	-	-	-
construáil	construálann	construáil	construálfaidh	construáil	construáilte	-	construálaigí	construáiltear
conáil	conálann	conáil	conálfaidh	conáil	conáilte	-	conálaigí	conáiltear
cor	-	-	-	-	cortha	-	-	-
corb	-	-	-	-	corbtha	-	-	-
corcáil	corcálann	corcáil	corcálfaidh	corcáil	corcáilte	-	corcálaigí	corcáiltear
corn	-	-	-	-	corntha	-	-	-
corraigh	-	-	corróidh	corraí	-	-	-	-
corónaigh	-	-	corónóidh	-	-	-	-	-
cosain	cosnaíonn	cosain	cosnóidh	cosaint	cosanta	-	cosnaígí	cosnaítear
coscair	coscraíonn	coscair	coscróidh	coscairt	coscartha	-	coscraígí	coscraítear
costáil	costálann	costáil	costálfaidh	costáil	costáilte	-	costálaigí	costáiltear
cothaigh	-	-	cothóidh	-	-	-	-	-
craiceáil	craiceálann	craiceáil	craiceálfaidh	craiceáil	craiceáilte	-	craiceálaigí	craiceáiltear
craiseáil	craiseálann	craiseáil	craiseálfaidh	craiseáil	craiseáilte	-	craiseálaigí	craiseáiltear
crampáil	crampálann	crampáil	crampálfaidh	crampáil	crampáilte	-	crampálaigí	crampáiltear
craobhscaoil	-	-	craobhscaoilfidh	-	-	-	-	-
craosfholc	-	-	-	-	craosfholctha	-	-	-
crap	-	-	-	-	craptha	-	-	-
crapchlúdaigh	-	-	-	crapchlúdach	-	-	-	-
creapaill	creapallann	creapaill	creapallfaidh	creapall	creapalta	-	creapallaigí	creapalltar
creath	-	-	-	-	creata	-	-	creatar
creathnaigh	-	-	creathnóidh	-	-	-	-	-
creid	-	-	creidfidh	creidiúint	-	-	-	-
creim	-	-	creimfidh	-	creimthe	-	-	-
creimneáil	creimneálann	creimneáil	creimneálfaidh	creimneáil	creimneáilte	-	creimneálaigí	creimneáiltear
creimseáil	creimseálann	creimseáil	creimseálfaidh	creimseáil	creimseáilte	-	creimseálaigí	creimseáiltear
criathraigh	-	-	criathróidh	-	-	-	-	-
crinn	-	-	crinnfidh	-	-	-	-	-
crioslaigh	-	-	crioslóidh	-	-	-	-	-
criptigh	-	-	cripteoidh	-	-	-	-	-
crith	-	-	crithfidh	crith	crite	-	-	critear
croinicigh	-	-	croiniceoidh	-	-	-	-	-
croith	-	-	croithfidh	-	croite	-	-	croitear
crom	-	-	-	-	cromtha	-	-	-
cronaigh	-	-	cronóidh	-	-	-	-	-
cros-síolraigh	-	-	cros-síolróidh	-	-	-	-	-
cros-toirchigh	-	-	cros-toircheoidh	-	-	-	-	-
croscheistigh	-	-	croscheisteoidh	-	-	-	-	-
crosphostáil	crosphostálann	crosphostáil	crosphostálfaidh	crosphostáil	crosphostáilte	-	crosphostálaigí	crosphostáiltear
crosphóraigh	-	-	crosphóróidh	-	-	-	-	-
crosáil	crosálann	crosáil	crosálfaidh	crosáil	crosáilte	-	crosálaigí	crosáiltear
cruaigh	cruann	cruaigh	cruafaidh	cruachan	cruaite	-	cruaigí	cruaitear
cruashádráil	cruashádrálann	cruashádráil	cruashádrálfaidh	cruashádráil	cruashádráilte	-	cruashádrálaigí	cruashádráiltear
cruinnigh	-	-	cruinneoidh	-	-	-	-	-
cruthaigh	-	-	cruthóidh	-	-	-	-	-
crág	-	-	-	-	crágtha	-	-	-
crágáil	crágálann	crágáil	crágálfaidh	crágáil	crágáilte	-	crágálaigí	crágáiltear
cráigh	cránn	cráigh	cráfaidh	crá	cráite	-	cráigí	cráitear
cráin	-	-	cráinfidh	-	-	-	-	-
cráindóigh	cráindónn	cráindóigh	cráindófaidh	cráindó	cráindóite	-	cráindóigí	cráindóitear
créam	-	-	-	-	créamtha	-	-	-
críochdheighil	críochdheighleann	críochdheighil	críochdheighlfidh	-	-	-	críochdheighligí	críochdheighltear
críochnaigh	-	-	críochnóidh	-	-	-	-	-
cróiseáil	cróiseálann	cróiseáil	cróiseálfaidh	cróiseáil	cróiseáilte	-	cróiseálaigí	cróiseáiltear
crúbáil	crúbálann	crúbáil	crúbálfaidh	crúbáil	crúbáilte	-	crúbálaigí	crúbáiltear
crúcáil	crúcálann	crúcáil	crúcálfaidh	crúcáil	crúcáilte	-	crúcálaigí	crúcáiltear
crúigh	crúnn	crúigh	crúfaidh	crú	crúite	-	crúigí	crúitear
crústaigh	-	-	-	crústach	-	-	-	-
crústáil	crústálann	crústáil	crústálfaidh	crústáil	crústáilte	-	crústálaigí	crústáiltear
crúsáil	crúsálann	crúsáil	crúsálfaidh	crúsáil	crúsáilte	-	crúsálaigí	crúsáiltear
cuaileáil	cuaileálann	cuaileáil	cuaileálfaidh	cuaileáil	cuaileáilte	-	cuaileálaigí	cuaileáiltear
cuar	-	-	-	-	cuartha	-	-	-
cuardaigh	-	-	cuardóidh	cuardach	-	-	-	-
cuasphlánáil	cuasphlánálann	cuasphlánáil	cuasphlánálfaidh	cuasphlánáil	cuasphlánáilte	-	cuasphlánálaigí	cuasphlánáiltear
cuibhrigh	-	-	cuibhreoidh	-	-	-	-	-
cuidigh	-	-	cuideoidh	-	-	-	-	-
cuileáil	cuileálann	cuileáil	cuileálfaidh	cuileáil	cuileáilte	-	cuileálaigí	cuileáiltear
cuilteáil	cuilteálann	cuilteáil	cuilteálfaidh	cuilteáil	cuilteáilte	-	cuilteálaigí	cuilteáiltear
cuimhnigh	-	-	cuimhneoidh	cuimhneamh	-	-	-	-
cuimil	cuimlíonn	cuimil	cuimleoidh	cuimilt	cuimilte	-	cuimlígí	cuimlítear
cuir	-	-	cuirfidh	cur	curtha	-	-	-
cum	-	-	-	-	cumtha	-	-	-
cumaisc	cumascann	cumaisc	cumascfaidh	cumasc	cumaiscthe	-	cumascaigí	cumasctar
cumhachtaigh	-	-	cumhachtóidh	-	-	-	-	-
cumhdaigh	-	-	cumhdóidh	cumhdach	-	-	-	-
cumraigh	-	-	cumróidh	-	-	-	-	-
cuntais	-	-	cuntaisfidh	cuntas	-	-	-	-
cácáil	cácálann	cácáil	cácálfaidh	cácáil	cácáilte	-	cácálaigí	cácáiltear
cáiligh	-	-	cáileoidh	-	-	-	-	-
cáin	-	-	cáinfidh	-	-	-	-	-
cáith	-	-	cáithfidh	-	cáite	-	-	cáitear
cánáil	cánálann	cánáil	cánálfaidh	cánáil	cánáilte	-	cánálaigí	cánáiltear
cásáil	cásálann	cásáil	cásálfaidh	cásáil	cásáilte	-	cásálaigí	cásáiltear
céadcheap	-	-	-	-	céadcheaptha	-	-	-
céadfaigh	-	-	céadfóidh	-	-	-	-	-
céaslaigh	-	-	céaslóidh	-	-	-	-	-
céimnigh	-	-	céimneoidh	-	-	-	-	-
cíor	-	-	-	-	cíortha	-	-	-
cíorláil	cíorlálann	cíorláil	cíorlálfaidh	cíorláil	cíorláilte	-	cíorlálaigí	cíorláiltear
cócaráil	cócarálann	cócaráil	cócarálfaidh	cócaráil	cócaráilte	-	cócarálaigí	cócaráiltear
cóimeáil	cóimeálann	cóimeáil	cóimeálfaidh	cóimeáil	cóimeáilte	-	cóimeálaigí	cóimeáiltear
cóimheas	-	-	-	cóimheas	-	-	-	-
cóimheasc	-	-	-	-	cóimheasctha	-	-	-
cóipeáil	cóipeálann	cóipeáil	cóipeálfaidh	-	-	-	-	-
cóireáil	cóireálann	cóireáil	cóireálfaidh	cóireáil	cóireáilte	-	cóireálaigí	cóireáiltear
cóirigh	-	-	cóireoidh	-	-	-	-	-
cóitseáil	cóitseálann	cóitseáil	cóitseálfaidh	cóitseáil	cóitseáilte	-	cóitseálaigí	cóitseáiltear
cónaigh	-	-	cónóidh	cónaí	-	-	-	-
cónaisc	-	-	cónaiscfidh	cónascadh	cónasctha	-	-	-
cóstáil	cóstálann	cóstáil	cóstálfaidh	cóstáil	cóstáilte	-	cóstálaigí	cóstáiltear
cúb	-	-	-	-	cúbtha	-	-	-
cúbláil	cúblálann	cúbláil	cúblálfaidh	cúbláil	cúbláilte	-	cúblálaigí	cúbláiltear
cúigleáil	cúigleálann	cúigleáil	cúigleálfaidh	cúigleáil	cúigleáilte	-	cúigleálaigí	cúigleáiltear
cúinneáil	cúinneálann	cúinneáil	cúinneálfaidh	cúinneáil	cúinneáilte	-	cúinneálaigí	cúinneáiltear
cúisigh	-	-	-	cúiseamh	-	-	-	-
cúitigh	-	-	cúiteoidh	cúiteamh	-	-	-	-
cúlaigh	-	-	cúlóidh	-	-	-	-	-
cúlchlóigh	cúlchlónn	cúlchlóigh	cúlchlófaidh	cúlchló	cúlchlóite	-	cúlchlóigí	cúlchlóitear
cúlchoimhéad	-	-	-	cúlchoimhéad	-	-	-	-
cúlfhair	-	-	cúlfhairfidh	cúlfhaire	cúlfhairthe	-	-	-
cúlghair	-	-	cúlghairfidh	cúlghairm	cúlghairthe	-	-	-
cúlghearr	-	-	-	-	cúlghearrtha	-	-	-
cúlspásáil	cúlspásálann	cúlspásáil	cúlspásálfaidh	cúlspásáil	cúlspásáilte	-	cúlspásálaigí	cúlspásáiltear
cúltort	-	-	-	-	cúltorta	-	-	cúltortar
cúláil	cúlálann	cúláil	cúlálfaidh	cúláil	cúláilte	-	cúlálaigí	cúláiltear
cúléist	-	-	cúléistfidh	cúléisteacht	cúléiste	-	-	cúléistear
cúnaigh	-	-	cúnóidh	cúnamh	-	-	-	-
cúpláil	cúplálann	cúpláil	cúplálfaidh	cúpláil	cúpláilte	-	cúplálaigí	cúpláiltear
cúr	-	-	-	-	cúrtha	-	-	-
cúrsáil	cúrsálann	cúrsáil	cúrsálfaidh	cúrsáil	cúrsáilte	-	cúrsálaigí	cúrsáiltear
daingnigh	-	-	daingneoidh	-	-	-	-	-
dambáil	dambálann	dambáil	dambálfaidh	dambáil	dambáilte	-	dambálaigí	dambáiltear
damhain	damhnann	damhain	damhnfaidh	damhnadh	damhainte	-	damhnaigí	damhntar
damhsaigh	-	-	damhsóidh	damhsa	-	-	-	-
damnaigh	-	-	damnóidh	-	-	-	-	-
daonlathaigh	-	-	daonlathóidh	-	-	-	-	-
daor	-	-	-	-	daortha	-	-	-
daorbhasc	-	-	-	-	daorbhasctha	-	-	-
dath	-	-	-	-	daite	-	-	datar
dathaigh	-	-	dathóidh	-	daite	-	-	-
deachair	deachraíonn	deachair	deachróidh	deachrú	deachraithe	-	deachraígí	deachraítear
deachtaigh	-	-	deachtóidh	-	-	-	-	-
dealaigh	-	-	dealóidh	-	-	-	-	-
dealraigh	-	-	-	dealramh	-	-	-	-
dear	-	-	-	-	deartha	-	-	-
dearbhaigh	-	-	dearbhóidh	-	-	-	-	-
dearbhasc	-	-	-	-	dearbhasctha	-	-	-
dearbháil	dearbhálann	dearbháil	dearbhálfaidh	dearbháil	dearbháilte	-	dearbhálaigí	dearbháiltear
dearc	-	-	-	-	dearctha	-	-	-
dearg	-	-	-	-	deargtha	-	-	-
dearlaic	dearlacann	dearlaic	dearlacfaidh	dearlacadh	dearlaicthe	-	dearlacaigí	dearlactar
dearmad	-	-	-	dearmad	-	-	-	-
dearnáil	dearnálann	dearnáil	dearnálfaidh	dearnáil	dearnáilte	-	dearnálaigí	dearnáiltear
deasaigh	-	-	deasóidh	-	-	-	-	-
deasc	-	-	-	-	deasctha	-	-	-
deaschliceáil	deaschliceálann	deaschliceáil	deaschliceálfaidh	deaschliceáil	deaschliceáilte	-	deaschliceálaigí	deaschliceáiltear
deighil	deighleann	deighil	deighlfidh	deighilt	deighilte	-	deighligí	-
deil	-	-	deilfidh	-	-	-	-	-
deimhneasc	-	-	-	deimhneasc	deimhneasctha	-	-	-
deimhnigh	-	-	deimhneoidh	-	-	-	-	-
deisigh	-	-	deiseoidh	-	-	-	-	-
diall	-	-	-	diall	-	-	-	-
diamhaslaigh	-	-	diamhaslóidh	-	-	-	-	-
dianscaoil	-	-	dianscaoilfidh	-	-	-	-	-
diansir	-	-	diansirfidh	-	diansirthe	-	-	-
difreáil	difreálann	difreáil	difreálfaidh	difreáil	difreáilte	-	difreálaigí	difreáiltear
ding	-	-	dingfidh	-	dingthe	-	-	-
diogáil	diogálann	diogáil	diogálfaidh	diogáil	diogáilte	-	diogálaigí	diogáiltear
diomail	diomlaíonn	diomail	diomlóidh	diomailt	diomailte	-	diomlaígí	diomlaítear
diongaibh	diongbhann	diongaibh	diongbhafaidh	diongbháil	diongbháilte	-	diongbhaigí	-
diosc	-	-	-	-	diosctha	-	-	-
dipeáil	dipeálann	dipeáil	dipeálfaidh	dipeáil	dipeáilte	-	dipeálaigí	dipeáiltear
diúg	-	-	-	-	diúgtha	-	-	-
diúl	-	-	-	diúl	-	-	-	-
diúltaigh	-	-	diúltóidh	-	-	-	-	-
diúraic	diúracann	diúraic	diúracfaidh	diúracadh	diúractha	-	diúracaigí	diúractar
diúscair	diúscraíonn	diúscair	diúscróidh	diúscairt	diúscartha	-	diúscraígí	diúscraítear
dlaoithigh	-	-	-	-	dlaoithe	-	-	-
dligh	-	-	dlífidh	dlí	dlite	-	-	dlitear
dlisteanaigh	-	-	dlisteanóidh	-	-	-	-	-
dluigh	-	-	dluífidh	dluí	dluite	-	-	dluitear
dlúthaigh	-	-	dlúthóidh	-	-	-	-	-
dlúthbhearr	-	-	-	-	dlúthbhearrtha	-	-	-
docht	-	-	-	-	dochta	-	-	dochtar
doilbh	-	-	doilbhfidh	-	doilfe	-	-	-
doir	-	-	doirfidh	dor	dortha	-	-	-
doirt	-	-	doirtfidh	-	doirte	-	-	doirtear
donaigh	-	-	donóidh	-	-	-	-	-
donnaigh	-	-	donnóidh	-	-	-	-	-
dornáil	dornálann	dornáil	dornálfaidh	dornáil	dornáilte	-	dornálaigí	dornáiltear
draenáil	draenálann	draenáil	draenálfaidh	draenáil	draenáilte	-	draenálaigí	draenáiltear
dramhail	dramhlaíonn	dramhail	dramhlóidh	dramhailt	dramhailte	-	dramhlaígí	dramhlaítear
draoibeáil	draoibeálann	draoibeáil	draoibeálfaidh	draoibeáil	draoibeáilte	-	draoibeálaigí	draoibeáiltear
dreap	-	-	-	-	dreaptha	-	-	-
dreasaigh	-	-	dreasóidh	-	-	-	-	-
dreideáil	dreideálann	dreideáil	dreideálfaidh	dreideáil	dreideáilte	-	dreideálaigí	dreideáiltear
dreoigh	dreonn	dreoigh	dreofaidh	dreo	dreoite	-	dreoigí	dreoitear
driog	-	-	-	-	driogtha	-	-	-
droimscríobh	-	-	-	droimscríobh	droimscríofa	-	-	-
dromadáil	dromadálann	dromadáil	dromadálfaidh	dromadáil	dromadáilte	-	dromadálaigí	dromadáiltear
drugáil	drugálann	drugáil	drugálfaidh	drugáil	drugáilte	-	drugálaigí	drugáiltear
druid	-	-	druidfidh	druidim	-	-	-	-
druileáil	druileálann	druileáil	druileálfaidh	druileáil	druileáilte	-	druileálaigí	druileáiltear
drámaigh	-	-	drámóidh	-	-	-	-	-
dréachtaigh	-	-	dréachtóidh	-	-	-	-	-
dréim	-	-	dréimfidh	dréim	dréimthe	-	-	-
dubhaigh	-	-	-	dúchan	-	-	-	-
dubáil	dubálann	dubáil	dubálfaidh	dubáil	dubáilte	-	dubálaigí	dubáiltear
duilligh	-	-	duilleoidh	-	-	-	-	-
dumpáil	dumpálann	dumpáil	dumpálfaidh	dumpáil	dumpáilte	-	dumpálaigí	dumpáiltear
durdáil	durdálann	durdáil	durdálfaidh	durdáil	durdáilte	-	durdálaigí	durdáiltear
dustáil	dustálann	dustáil	dustálfaidh	dustáil	dustáilte	-	dustálaigí	dustáiltear
dáil	-	-	dáilfidh	-	-	-	-	-
dámh	-	-	-	dámhachtain	dáfa	-	-	-
dátaigh	-	-	dátóidh	-	-	-	-	-
déadail	déadlann	déadail	déadlafaidh	déadladh	déadalta	-	déadlaigí	déadlatar
déan	-	rinne	-	déanamh	-	-	-	-
déchliceáil	déchliceálann	déchliceáil	déchliceálfaidh	déchliceáil	déchliceáilte	-	déchliceálaigí	déchliceáiltear
