# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
steiréitíopáil	steiréitíopálann	steiréitíopáil	steiréitíopálfaidh	steiréitíopáil	steiréitíopáilte	-	steiréitíopálaigí	steiréitíopáiltear
stiúg	-	-	-	-	stiúgtha	-	-	-
stiúir	stiúrann	stiúir	stiúrfaidh	-	stiúrtha	-	stiúraigí	stiúrtar
stobh	-	-	-	-	stofa	-	-	-
stocáil	stocálann	stocáil	stocálfaidh	stocáil	stocáilte	-	stocálaigí	stocáiltear
stoith	-	-	stoithfidh	-	stoite	-	-	stoitear
stoithin	stoithníonn	stoithin	stoithneoidh	stoithneadh	stoithinte	-	stoithnígí	stoithnítear
stolp	-	-	-	-	stolptha	-	-	-
stop	-	-	-	-	stoptha	-	-	-
straeáil	straeálann	straeáil	straeálfaidh	straeáil	straeáilte	-	straeálaigí	straeáiltear
straidhneáil	straidhneálann	straidhneáil	straidhneálfaidh	straidhneáil	straidhneáilte	-	straidhneálaigí	straidhneáiltear
straidhpeáil	straidhpeálann	straidhpeáil	straidhpeálfaidh	straidhpeáil	straidhpeáilte	-	straidhpeálaigí	straidhpeáiltear
strapáil	strapálann	strapáil	strapálfaidh	strapáil	strapáilte	-	strapálaigí	strapáiltear
streachail	streachlaíonn	streachail	streachlóidh	streachailt	streachailte	-	streachlaígí	streachlaítear
stroighnigh	-	-	stroighneoidh	-	-	-	-	-
stromp	-	-	-	-	stromptha	-	-	-
struipeáil	struipeálann	struipeáil	struipeálfaidh	struipeáil	struipeáilte	-	struipeálaigí	struipeáiltear
strumáil	strumálann	strumáil	strumálfaidh	strumáil	strumáilte	-	strumálaigí	strumáiltear
stríoc	-	-	-	-	stríoctha	-	-	-
stríocáil	stríocálann	stríocáil	stríocálfaidh	stríocáil	stríocáilte	-	stríocálaigí	stríocáiltear
stróic	-	-	stróicfidh	-	stróicthe	-	-	-
stuc	-	-	-	-	stuctha	-	-	-
stumpáil	stumpálann	stumpáil	stumpálfaidh	stumpáil	stumpáilte	-	stumpálaigí	stumpáiltear
stuáil	stuálann	stuáil	stuálfaidh	stuáil	stuáilte	-	stuálaigí	stuáiltear
stáirseáil	stáirseálann	stáirseáil	stáirseálfaidh	stáirseáil	stáirseáilte	-	stáirseálaigí	stáirseáiltear
stánaigh	-	-	stánóidh	-	-	-	-	-
stánphlátáil	stánphlátálann	stánphlátáil	stánphlátálfaidh	stánphlátáil	stánphlátáilte	-	stánphlátálaigí	stánphlátáiltear
stánáil	stánálann	stánáil	stánálfaidh	stánáil	stánáilte	-	stánálaigí	stánáiltear
stápláil	stáplálann	stápláil	stáplálfaidh	stápláil	stápláilte	-	stáplálaigí	stápláiltear
stíleáil	stíleálann	stíleáil	stíleálfaidh	stíleáil	stíleáilte	-	stíleálaigí	stíleáiltear
stócáil	stócálann	stócáil	stócálfaidh	stócáil	stócáilte	-	stócálaigí	stócáiltear
stóráil	stórálann	stóráil	stórálfaidh	stóráil	stóráilte	-	stórálaigí	stóráiltear
suaith	-	-	suaithfidh	-	suaite	-	-	suaitear
suanbhruith	-	-	suanbhruithfidh	suanbhruith	suanbhruite	-	-	suanbhruitear
substain	-	-	substainfidh	-	-	-	-	-
suigh	-	-	suífidh	suí	suite	-	-	suitear
suimeáil	suimeálann	suimeáil	suimeálfaidh	suimeáil	suimeáilte	-	suimeálaigí	suimeáiltear
suimintigh	-	-	suiminteoidh	-	-	-	-	-
suiteáil	suiteálann	suiteáil	suiteálfaidh	-	-	-	suiteálaigí	-
suncáil	suncálann	suncáil	suncálfaidh	suncáil	suncáilte	-	suncálaigí	suncáiltear
surfáil	surfálann	surfáil	surfálfaidh	surfáil	surfáilte	-	surfálaigí	surfáiltear
sábh	-	-	-	-	sáfa	-	-	-
sábháil	sábhálann	sábháil	sábhálfaidh	sábháil	sábháilte	-	sábhálaigí	sábháiltear
sádráil	sádrálann	sádráil	sádrálfaidh	sádráil	sádráilte	-	sádrálaigí	sádráiltear
sáigh	sánn	sáigh	sáfaidh	sá	sáite	-	sáigí	sáitear
sáithigh	-	-	sáitheoidh	-	-	-	-	-
sáraigh	-	-	sáróidh	-	-	-	-	-
sárthadhaill	sárthadhlaíonn	sárthadhaill	sárthadhlóidh	sárthadhall	sárthadhallta	-	sárthadhlaígí	sárthadhlaítear
sásaigh	-	-	sásóidh	sásamh	-	-	-	-
séamáil	séamálann	séamáil	séamálfaidh	séamáil	séamáilte	-	séamálaigí	séamáiltear
séid	-	-	séidfidh	-	-	-	-	-
séimhigh	-	-	séimheoidh	-	-	-	-	-
síl	-	-	sílfidh	-	-	-	-	-
sín	-	-	sínfidh	-	-	-	-	-
sínigh	-	-	síneoidh	-	-	-	-	-
síob	-	-	-	-	síobtha	-	-	-
síobshiúil	síobshiúlann	síobshiúil	síobshiúlfaidh	síobshiúl	síobshiúlta	-	síobshiúlaigí	síobshiúltar
síog	-	-	-	-	síogtha	-	-	-
síolaigh	-	-	síolóidh	-	-	-	-	-
síolchuir	-	-	síolchuirfidh	síolchur	síolchurtha	-	-	-
síolraigh	-	-	síolróidh	-	-	-	-	-
síonchaith	-	-	síonchaithfidh	síonchaitheamh	síonchaite	-	-	síonchaitear
síothlaigh	-	-	síothlóidh	-	-	-	-	-
sóigh	sónn	sóigh	sófaidh	só	sóite	-	sóigí	sóitear
sóinseáil	sóinseálann	sóinseáil	sóinseálfaidh	sóinseáil	sóinseáilte	-	sóinseálaigí	sóinseáiltear
sórtáil	sórtálann	sórtáil	sórtálfaidh	sórtáil	sórtáilte	-	sórtálaigí	sórtáiltear
sótáil	sótálann	sótáil	sótálfaidh	sótáil	sótáilte	-	sótálaigí	sótáiltear
súigh	súnn	súigh	súfaidh	sú	súite	-	súigí	súitear
súisteáil	súisteálann	súisteáil	súisteálfaidh	súisteáil	súisteáilte	-	súisteálaigí	súisteáiltear
súraic	súraicíonn	súraic	súraiceoidh	súrac	súraicthe	-	súraicígí	súraicítear
tabhaigh	-	-	tabhóidh	-	-	-	-	-
tabhair	tugann	tug	tabharfaidh	tabhairt	tugtha	-	tugaigí	tugtar
tacaigh	-	-	tacóidh	-	-	-	-	-
tacair	tacraíonn	tacair	tacróidh	tacar	tacartha	-	tacraígí	tacraítear
tacht	-	-	-	-	tachta	-	-	tachtar
tacmhaing	tacmhaingíonn	tacmhaing	tacmhaingeoidh	tacmhang	tacmhaingthe	-	tacmhaingígí	tacmhaingítear
tadhaill	tadhlaíonn	tadhaill	tadhlóidh	tadhall	tadhallta	-	tadhlaígí	tadhlaítear
tafainn	tafnaíonn	tafainn	tafnóidh	tafann	tafannta	-	tafnaígí	tafnaítear
tagair	tagraíonn	tagair	tagróidh	tagairt	tagartha	-	tagraígí	tagraítear
tagarmharcáil	tagarmharcálann	tagarmharcáil	tagarmharcálfaidh	tagarmharcáil	tagarmharcáilte	-	tagarmharcálaigí	tagarmharcáiltear
taibhrigh	-	-	taibhreoidh	-	-	-	-	-
taibhsigh	-	-	taibhseoidh	-	-	-	-	-
taicleáil	taicleálann	taicleáil	taicleálfaidh	taicleáil	taicleáilte	-	taicleálaigí	taicleáiltear
taifigh	-	-	taifeoidh	taifeach	-	-	-	-
taighid	taighdeann	taighid	taighdfidh	taighde	taighdte	-	taighdigí	taighdtear
tairg	-	-	tairgfidh	tairiscint	tairgthe	-	-	-
tairis	-	-	tairisfidh	tairiseamh	-	-	-	-
tairneáil	tairneálann	tairneáil	tairneálfaidh	tairneáil	tairneáilte	-	tairneálaigí	tairneáiltear
tairngir	tairngríonn	tairngir	tairngreoidh	-	-	-	tairngrígí	tairngrítear
taisc	-	-	taiscfidh	-	taiscthe	-	-	-
taisealbh	-	-	-	-	taisealfa	-	-	-
taispeáin	taispeánann	taispeáin	taispeánfaidh	taispeáint	taispeánta	-	taispeánaigí	taispeántar
taistil	taistealaíonn	taistil	taistealóidh	taisteal	taistealta	-	taistealaígí	taistealaítear
taithigh	-	-	taitheoidh	taithí	-	-	-	-
taithmhigh	-	-	-	taithmheach	-	-	-	-
taitin	taitníonn	taitin	taitneoidh	taitneamh	taitnithe	-	taitnígí	taitnítear
talmhaigh	-	-	talmhóidh	-	-	-	-	-
tamhain	tamhnann	tamhain	tamhnfaidh	tamhnadh	tamhanta	-	tamhnaigí	tamhntar
taobhaigh	-	-	taobhóidh	-	-	-	-	-
taom	-	-	-	-	taomtha	-	-	-
taosc	-	-	-	-	taosctha	-	-	-
tapaigh	-	-	tapóidh	-	-	-	-	-
tapáil	tapálann	tapáil	tapálfaidh	tapáil	tapáilte	-	tapálaigí	tapáiltear
tar	tagann	táinig	tiocfaidh	teacht	tagtha	-	tagaigí	tagtar
tarchuir	-	-	tarchuirfidh	tarchur	tarchurtha	-	-	-
tarfhuaigh	tarfhuann	tarfhuaigh	tarfhuafaidh	tarfhuáil	tarfhuaite	-	tarfhuaigí	tarfhuaitear
tarlaigh	-	tarla	tarlóidh	-	-	-	-	-
