# lemma	prs1sg	prs2sg	prs3sg	prs1pl	prs2pl	prs3pl	sbjv3	imp2sg	ptcp	ger	ipfv1sg	pfv3sg ("-" = derive)
afige	-	-	-	-	-	-	-	-	afipt	-	-	afipse
afilia	afiliez	afiliezi	afiliază	afiliem	afiliați	afiliază	afilieze	afiliază	afiliat	afiliind	afiliam	afilie
afla	aflu	afli	află	aflăm	aflați	află	afle	află	aflat	aflând	aflam	află
aflui	afluiesc	afluiești	afluiește	afluim	afluiți	afluiesc	afluiască	afluiește	afluit	afluind	afluiam	aflui
afumega	-	-	afumegă	-	-	afumegă	afumege	-	afumegat	afumegând	-	afumegă
age	agez	agezi	agează	agem	ageți	agează	ageze	agează	-	-	ageam	-
aghesmui	aghesmuiesc	aghesmuiești	aghesmuiește	aghesmuim	aghesmuiți	aghesmuiesc	aghesmuiască	aghesmuiește	aghesmuit	aghesmuind	aghesmuiam	aghesmui
aghezmui	aghezmuiesc	aghezmuiești	aghezmuiește	aghezmuim	aghezmuiți	aghezmuiesc	aghezmuiască	aghezmuiește	aghezmuit	aghezmuind	aghezmuiam	aghezmui
agistirui	agistiruiesc	agistiruiești	agistiruiește	agistiruim	agistiruiți	agistiruiesc	agistiruiască	agistiruiește	agistiruit	agistiruind	agistiruiam	agistirui
agorî	agor	agori	agoră	agorâm	agorâți	agoră	agore	agoră	agorât	agorând	agoram	agorî
agrea	agreez	agreezi	agreează	agreăm	agreați	agreează	agreeze	agreează	agreat	agreând	agream	agreă
agrega	-	-	agregă	-	-	agregă	agrege	-	agregat	agregând	-	agregă
agrăi	agrăiesc	agrăiești	agrăiește	agrăim	agrăiți	agrăiesc	agrăiască	agrăiește	agrăit	agrăind	agrăiam	agrăi
agâmba	agâmb	agâmbi	agâmbă	-	-	agâmbă	agâmbe	agâmbă	-	-	-	-
agădui	agăduiesc	agăduiești	agăduiește	agăduim	agăduiți	agăduiesc	agăduiască	agăduiește	agăduit	agăduind	agăduiam	agădui
agădăi	agădăiesc	agădăiești	agădăiește	agădăim	agădăiți	agădăiesc	agădăiască	agădăiește	agădăit	agădăind	agădăiam	agădăi
agăița	agăiț	agăiți	agaiță	agăițăm	agăițați	agaiță	agaițe	agaiță	agăițat	agăițând	agăițam	agăiță
agărui	agărui	agărui	agăruie	agăruim	agăruiți	agăruie	agăruie	agăruie	agăruit	agăruind	agăruiam	agărui
agăța	agăț	agăți	agață	agățăm	agățați	agață	agațe	agață	agățat	agățând	agățam	agăță
ahtia	ahtiez	ahtiezi	ahtiază	ahtiem	ahtiați	ahtiază	ahtieze	ahtiază	ahtiat	ahtiind	ahtiam	ahtie
