# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
co-cheangail	co-cheangail	co-cheanglaidh	co-cheangal	co-cheangailte
co-naisg	co-naisg	co-naisgidh	co-nasgadh	co-naisgte
co-roinn	co-roinn	co-roinnidh	co-roinn	co-roinnte
co-òrdaich	co-òrdaich	co-òrdaichidh	co-òrdachadh	co-òrdaichte
co-òrdanaich	co-òrdanaich	co-òrdanaichidh	co-òrdanachadh	co-òrdanaichte
cofhurtaich	cofhurtaich	cofhurtaichidh	cofhurtachadh	cofhurtaichte
cog	cog	cogaidh	cogadh	cogte
coilean	coilean	coileanaidh	coileanadh	coileante
coimeas	coimeas	coimeasaidh	coimeas	coimeaste
coimhead	coimhead	coimheadaidh	coimhead	coimheadte
coinnich	coinnich	coinnichidh	coinneachadh	coinnichte
coisich	coisich	coisichidh	coiseachd	coisichte
coisinn	coisinn	coisinnidh	cosnadh	coisinnte
coisrig	coisrig	coisrigidh	coisrigeadh	coisrigte
coitich	coitich	coitichidh	coiteachadh	coitichte
comh-shnìomh	comh-shnìomh	comh-shnìomhaidh	comh-shnìomh	comh-shnìomhte
comhairlich	comhairlich	comhairlichidh	comhairleachadh	comhairlichte
comharraich	comharraich	comharraichidh	comharrachadh	comharraichte
comhartaich	comhartaich	comhartaichidh	comhartaich	comhartaichte
connsaich	connsaich	connsaichidh	connsachadh	connsaichte
cop	cop	copidh	copadh	copte
corraich	corraich	corraichidh	corrachadh	corraichte
cosg	cosg	cosgaidh	cosg	cosgte
craobh	craobh	craobhaidh	craobhadh	craobhta
craol	craol	craolaidh	-	-
crath	crath	crathaidh	crathadh	crathte
creach	creach	creachaidh	creachadh	creachte
creid	creid	creididh	creidsinn	creidte
criom	criom	criomaidh	criomadh	criomte
crith	crith	crithidh	crith	crithte
croch	croch	crochaidh	crochadh	crochte
crom	crom	cromaidh	cromadh	cromte
cronaich	cronaich	cronaichidh	cronachadh	cronaichte
cruach	cruach	cruachaidh	cruachadh	cruachte
crudhaich	crudhaich	crudhaichidh	crudhachadh	crudhaichte
cruinnich	cruinnich	cruinnichidh	cruinneachadh	cruinnichte
cruthaich	cruthaich	cruthaichidh	cruthachadh	cruthaichte
cràidh	cràidh	cràidhidh	cràdh	cràidhte
crìochnaich	crìochnaich	crìochnaichidh	crìochnachadh	crìochnaichte
crìon	crìon	crìonaidh	crìonadh	crìonte
crùb	crùb	crùbaidh	crùbadh	crùbte
crùn	crùn	crùnaidh	crùnadh	crùinte
cuairtich	cuairtich	cuairtichidh	cuairteachadh	cuairtichte
cuartaich	cuartaich	cuartaichidh	cuartachadh	cuartaichte
cuibhrich	cuibhrich	cuibhrichidh	cuibhreachadh	cuibhrichte
cuidich	cuidich	cuidichidh	cuideachadh	cuidichte
cuimhnich	cuimhnich	cuimhnichidh	cuimhneachadh	cuimhnichte
cuip	cuip	cuipidh	cuipeadh	cuipte
cuir	cuir	cuiridh	cur	cuirte
cuir-ris	cuir-ris	cuiridh-ris	cur-ris	-
cum	cum	cumaidh	cumadh	cumta
cunnt	cunnt	cunntaidh	cunntadh	cunnte
càin	càin	càinidh	càineadh	càinte
càirich	càirich	càirichidh	càradh	càirichte
cèir	cèir	cèiridh	cèireadh	cèirte
cèirich	cèirich	cèirichidh	cèireachadh	cèirichte
cìl	cìl	cìlidh	cìleadh	cìlte
cìr	cìr	cìridh	cìreadh	cìrte
còmhdaich	còmhdaich	còmhdaichidh	còmhdachadh	còmhdaichte
còmhnaich	còmhnaich	còmhnaichidh	còmhnaidh	còmhnaichte
còrd	còrd	còrdaidh	còrdadh	còrdte
cùm	cùm	cumaidh	cumail	cumta
cùnnt	cùnnt	cùnntaidh	cùnntadh	cùnnte
daingnich	daingnich	daingnichidh	daingneachadh	daingnichte
dall	dall	dallaidh	dalladh	dallta
danns	danns	dannsaidh	dannsadh	dannste
dealaich	dealaich	dealaichidh	dealachadh	dealaichte
dealbh	dealbh	dealbhaidh	dealbhadh	dealbhta
dealuich	dealuich	dealuichidh	dealuicheadh	dealuichte
dearbh	dearbh	dearbhaidh	dearbhadh	dearbhte
dearc	dearc	dearcaidh	dearcadh	dearcte
dearg	dearg	deargaidh	deargadh	deargte
dearrs	dearrs	dearrsaidh	dearrsadh	dearrste
dearrsaich	dearrsaich	dearrasaichidh	dearrsadh	dearrasaichte
deasaich	deasaich	deasaichidh	deasachadh	deasaichte
deasbair	deasbair	deasbairidh	deasbaireachd	deasbairte
deoc	deoc	deocaidh	deocadh	deocte
deoghail	deoghail	deoghailidh	deoghal	deoghailte
deàrrs	deàrrs	deàrrsaidh	deàrrsadh	deàrrste
dian-amhairc	-	-	dian-amharc	-
diùlt	diùlt	diùltaidh	diùltadh	diùlte
doimhnich	doimhnich	doimhnichidh	doimhneachadh	doimhnichte
dorchaich	dorchaich	dorchaichidh	dorchadh	dorchaichte
draibh	draibh	draibhidh	draibheadh	draibhte
dreachd	dreachd	dreachdaidh	dreachdadh	dreachdta
druid	druid	druididh	druideadh	druidte
drùidh	drùidh	drùidhidh	drùdhadh	-
drùin	drùin	drùinidh	drùineadh	drùinte
dual	dual	dualidh	dualadh	dualte
dubh	dubh	dubhaidh	dubhadh	dubhte
dustaig	dustaig	dustaigidh	dustaigeadh	dustaigte
dàir	dàir	dàiridh	dàir	dàirte
dèan	rinn	nì	dèanamh	dèanta
dèilig	dèilig	dèiligidh	dèiligeadh	dèiligte
dì-armaich	dì-armaich	dì-armaichidh	dì-armachadh	dì-armaichte
dì-cheann	dì-cheann	dì-cheannaidh	dì-cheannadh	dì-cheannte
dì-cheannaich	dì-cheannaich	dì-cheannaichidh	dì-cheannach	dì-cheannaichte
