# Macedonian mined principal parts, from the apertium-mkd ∩ UniMorph agreement (stress stripped). Columns: lemma, prs1sg..3pl, impf1sg..3pl, lp_masc/fem/neut/pl, imp2sg, imp2pl, pass, converb, vnoun.
# '-' = the productive rule in src/mkd.rs; '|' separates variants.
развие	развијам	-	-	-	-	развијат	-	-	-	-	-	развиеја	-	-	-	-	развиј	развијте	-	-	-
раздвои	раздвојам	-	-	-	-	раздвојат	-	-	-	-	-	раздвоеја	-	-	-	-	раздвој	раздвојте	-	-	-
разлие	разлијам	-	-	-	-	разлијат	-	-	-	-	-	разлиеја	-	-	-	-	разлиј	разлијте	-	-	-
разоткрие	разоткријам	-	-	-	-	разоткријат	-	-	-	-	-	разоткриеја	-	-	-	-	разоткриј	разоткријте	-	-	-
рани	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ранет	-	-
расее	-	-	-	-	-	-	-	-	-	-	-	расееја	-	-	-	-	расеј	расејте	расеан	-	-
раскаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	раскажан	-	-
раслои	раслојам	-	-	-	-	раслојат	-	-	-	-	-	раслоеја	-	-	-	-	раслој	раслојте	-	-	-
растаи	растајам	-	-	-	-	растајат	-	-	-	-	-	растаеја	-	-	-	-	растај	растајте	-	-	-
се завее	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	завеан	-	-
се изветрее	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	изветреан	-	-
се напие	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	напиен	-	-
се насмее	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	насмеан	-	-
се обуе	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	обуен	-	-
се развие	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	развиен	-	-
се разлие	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	разлиен	-	-
се распее	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	распеан	-	-
се скрие	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	скриен	-	-
се собуе	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	собуен	-	-
се сокрие	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	сокриен	-	-
седне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	седнат	-	-
скрие	скријам	-	-	-	-	скријат	-	-	-	-	-	скриеја	-	-	-	-	скриј	скријте	-	-	-
скрои	скројам	-	-	-	-	скројат	-	-	-	-	-	скроеја	-	-	-	-	скрој	скројте	-	-	-
слабее	-	-	-	-	-	-	-	-	-	-	-	слабееја	-	-	-	-	слабеј	слабејте	-	-	-
смее	-	-	-	-	-	-	-	-	-	-	-	смееја	-	-	-	-	смеј	смејте	-	-	-
собере	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	собран	-	-
собуе	собујам	-	-	-	-	собујат	-	-	-	-	-	собуеја	-	-	-	-	собуј	собујте	-	-	-
создаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	создај	создајте	-	-	-
созрее	-	-	-	-	-	-	-	-	-	-	-	созрееја	-	-	-	-	созреј	созрејте	созреан	-	-
сокрие	сокријам	-	-	-	-	сокријат	-	-	-	-	-	сокриеја	-	-	-	-	сокриј	сокријте	-	-	-
сошие	сошијам	-	-	-	-	сошијат	-	-	-	-	-	сошиеја	-	-	-	-	сошиј	сошијте	-	-	-
спознае	-	-	-	-	-	-	-	-	-	-	-	спознаеја	-	-	-	-	спознај	спознајте	-	-	-
спои	спојам	-	-	-	-	спојат	-	-	-	-	-	споеја	-	-	-	-	спој	спојте	-	-	-
сретне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	сретнат	-	-
стане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	станат	-	-
старее	-	-	-	-	-	-	-	-	-	-	-	старееја	-	-	-	-	стареј	старејте	-	-	-
стесни	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	стеснет	-	-
стигне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	стигнат	-	-
стои	стојам	-	-	-	-	стојат	-	-	-	-	-	стоеја	-	-	-	-	стој	стојте	-	-	-
тежнее	-	-	-	-	-	-	-	-	-	-	-	тежнееја	-	-	-	-	тежнеј	тежнејте	-	-	-
ткае	-	-	-	-	-	-	-	-	-	-	-	ткаеја	-	-	-	-	ткај	ткајте	-	-	-
тлее	-	-	-	-	-	-	-	-	-	-	-	тлееја	-	-	-	-	тлеј	тлејте	-	-	-
трае	-	-	-	-	-	-	-	-	-	-	-	траеја	-	-	-	-	трај	трајте	-	-	-
трие	тријам	-	-	-	-	тријат	-	-	-	-	-	триеја	-	-	-	-	триј	тријте	-	-	-
труе	трујам	-	-	-	-	трујат	-	-	-	-	-	труеја	-	-	-	-	труј	трујте	-	-	-
убие	убијам	-	-	-	-	убијат	-	-	-	-	-	убиеја	-	-	-	-	убиј	убијте	-	-	-
удвои	удвојам	-	-	-	-	удвојат	-	-	-	-	-	удвоеја	-	-	-	-	удвој	удвојте	-	-	-
укине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	укинат	-	-
усвои	усвојам	-	-	-	-	усвојат	-	-	-	-	-	усвоеја	-	-	-	-	усвој	усвојте	-	-	-
успее	-	-	-	-	-	-	-	-	-	-	-	успееја	-	-	-	-	успеј	успејте	-	-	-
успокои	успокојам	-	-	-	-	успокојат	-	-	-	-	-	успокоеја	-	-	-	-	успокој	успокојте	-	-	-
устрои	устројам	-	-	-	-	устројат	-	-	-	-	-	устроеја	-	-	-	-	устрој	устројте	-	-	-
утрои	утројам	-	-	-	-	утројат	-	-	-	-	-	утроеја	-	-	-	-	утрој	утројте	-	-	-
чезнее	-	-	-	-	-	-	-	-	-	-	-	чезнееја	-	-	-	-	чезнеј	чезнејте	-	-	-
чемрее	-	-	-	-	-	-	-	-	-	-	-	чемрееја	-	-	-	-	чемреј	чемрејте	-	-	-
чмае	-	-	-	-	-	-	-	-	-	-	-	чмаеја	-	-	-	-	чмај	чмајте	-	-	-
чуе	чујам	-	-	-	-	чујат	-	-	-	-	-	чуеја	-	-	-	-	чуј	чујте	-	-	-
шие	шијам	-	-	-	-	шијат	-	-	-	-	-	шиеја	-	-	-	-	шиј	шијте	-	-	-
