# lemma	auxiliary (default: avere)
cresimarsi	essere
crettare	essere
crettarsi	essere
cristallizzare	essere/avere
cristallizzarsi	essere
criticarsi	essere
crocifiggersi	essere
crogiolarsi	essere
crollare	essere/avere
crollarsi	essere
cronicizzarsi	essere
cronometrarsi	essere
crucciarsi	essere
cucciare	essere
cucirsi	essere
cullarsi	essere
culminare	essere
cumularsi	essere
cuocere	essere/avere
curarsi	essere
curvarsi	essere
custodirsi	essere
dannarsi	essere
danneggiarsi	essere
darsi	essere
deacidificare	essere/avere
debilitarsi	essere
decadere	essere
decalcificare	essere/avere
decedere	essere
decidersi	essere
decomporsi	essere
deconcentrarsi	essere
decongestionarsi	essere
decontrarsi	essere
decorrere	essere
decrescere	essere
decuocere	essere/avere
decuplicarsi	essere
dedicarsi	essere
dedursi	essere
defilarsi	essere
definirsi	essere
defluire	essere
deformarsi	essere
defungere	essere
degnare	essere/avere
degnarsi	essere
degradarsi	essere
delinearsi	essere
deliziarsi	essere
deludersi	essere
demergere	essere/avere
demoralizzarsi	essere
demotivarsi	essere
denaturarsi	essere
denitrificare	essere/avere
denudarsi	essere
denunciarsi	essere
denunziarsi	essere
depauperarsi	essere
deperire	essere
depilarsi	essere
depolimerizzarsi	essere
depositarsi	essere
deprimersi	essere
depurarsi	essere
deradicalizzarsi	essere
deresponsabilizzarsi	essere
derivare	essere/avere
descriversi	essere
desquamarsi	essere
destabilizzarsi	essere
destarsi	essere
destinarsi	essere
destreggiarsi	essere
destrutturarsi	essere
deteriorarsi	essere
determinarsi	essere
detestarsi	essere
devenire	essere
devolvere	essere/avere
diacciare	essere/avere
dibattersi	essere
dichiararsi	essere
difendersi	essere
differenziarsi	essere
diffidarsi	essere
diffondersi	essere
diffrangersi	essere
dilagare	essere
dilaniarsi	essere
dilatarsi	essere
dileguare	essere/avere
dileguarsi	essere
dilettare	essere/avere
dilettarsi	essere
dilungarsi	essere
diluviare	essere/avere
dimagrare	essere/avere
dimagrire	essere
dimenarsi	essere
dimenticarsi	essere
dimettersi	essere
diminuire	essere/avere
dimoiare	essere
dimorare	essere/avere
dimostrarsi	essere
dipanarsi	essere
dipartire	essere/avere
dipartirsi	essere
dipendere	essere
dipingersi	essere
diplomarsi	essere
diradare	essere/avere
diradarsi	essere
diramarsi	essere
direzionarsi	essere
dirigersi	essere
diroccare	essere/avere
dirompere	essere/avere
dirozzarsi	essere
dirsi	essere
dirupare	essere/avere
disabituarsi	essere
disaccordarsi	essere
disacerbarsi	essere
disaffezionarsi	essere
disaggregarsi	essere
disambiguarsi	essere
disamorarsi	essere
disanimarsi	essere
disassuefarsi	essere
disavvezzarsi	essere
disbrigarsi	essere
discadere	essere
discavalcare	essere/avere
discedere	essere
discendere	essere/avere
disciogliersi	essere
discolorarsi	essere
discolparsi	essere
disconnettersi	essere
disconvenire	essere
discoscendere	essere/avere
discostarsi	essere
discreditarsi	essere
discrescere	essere
disdirsi	essere
disegnarsi	essere
disfarsi	essere
disgelarsi	essere
disgregarsi	essere
disgustarsi	essere
disidentificarsi	essere
disidratarsi	essere
disilludersi	essere
disimpegnarsi	essere
disimpiegarsi	essere
disincagliarsi	essere
disincrostarsi	essere
disingannarsi	essere
disinibirsi	essere
disinnamorarsi	essere
disintegrarsi	essere
disinteressarsi	essere
disintossicarsi	essere
disnodarsi	essere
disobbligarsi	essere
disonorarsi	essere
disorientarsi	essere
disormeggiare	essere/avere
disparire	essere
dispensarsi	essere
disperarsi	essere
disperdersi	essere
dispiacere	essere
dispiacersi	essere
dispiegarsi	essere
disporsi	essere
disprezzarsi	essere
disputarsi	essere
dissanguarsi	essere
disseccarsi	essere
dissetarsi	essere
dissiparsi	essere
dissociarsi	essere
dissolversi	essere
distaccarsi	essere
distanziarsi	essere
distendersi	essere
distinguersi	essere
distogliersi	essere
distorcersi	essere
distrarsi	essere
distribuirsi	essere
districarsi	essere
distrigarsi	essere
distruggersi	essere
disturbarsi	essere
disumanarsi	essere
disumanizzarsi	essere
disunirsi	essere
disviarsi	essere
divagarsi	essere
divallare	essere/avere
divampare	essere
divenire	essere
diventare	essere
divertirsi	essere
dividersi	essere
divincolarsi	essere
divorarsi	essere
divulgarsi	essere
docciarsi	essere
documentarsi	essere
dolere	essere/avere
dolersi	essere
domandarsi	essere
domiciliarsi	essere
dominarsi	essere
dondolarsi	essere
doparsi	essere
dormirsela	essere
dotarsi	essere
dottorarsi	essere
dovere	essere/avere
drappeggiarsi	essere
drizzarsi	essere
drogarsi	essere
duplicarsi	essere
duramificare	essere/avere
durare	essere/avere
eccellere	essere/avere
eccitarsi	essere
echeggiare	essere/avere
eclissarsi	essere
edificarsi	essere
educarsi	essere
effeminarsi	essere
effettuarsi	essere
effluire	essere
effondere	essere/avere
effondersi	essere
elevarsi	essere
elidersi	essere
eliminarsi	essere
emaciarsi	essere
emanare	essere/avere
emanarsi	essere
emanciparsi	essere
embricarsi	essere
emendarsi	essere
emergere	essere
emigrare	essere/avere
emozionarsi	essere
enfiare	essere/avere
enfiarsi	essere
entrarci	essere
entrare	essere
entusiasmarsi	essere
enuclearsi	essere
equilibrarsi	essere
equipaggiarsi	essere
equivalere	essere/avere
ergersi	essere
erigersi	essere
erudirsi	essere
esacerbarsi	essere
esaltarsi	essere
esaminarsi	essere
esanimarsi	essere
esasperarsi	essere
esaurirsi	essere
escire	essere
escludersi	essere
escoriarsi	essere
esercitarsi	essere
esfoliarsi	essere
esibirsi	essere
esilararsi	essere
esiliarsi	essere
esimersi	essere
esistere	essere
esondare	essere/avere
esonerarsi	essere
esortarsi	essere
espandersi	essere
espatriare	essere/avere
esplicarsi	essere
esplodere	essere/avere
esporsi	essere
esprimersi	essere
esserci	essere
essere	essere
esservi	essere
essiccarsi	essere
estasiarsi	essere
estendersi	essere
esterificare	essere/avere
estinguersi	essere
estollersi	essere
estraniarsi	essere
estrinsecarsi	essere
estromettersi	essere
esuberare	essere/avere
eterificare	essere/avere
eterificarsi	essere
eternarsi	essere
evadere	essere/avere
evaporare	essere/avere
evidenziarsi	essere
evitarsi	essere
evolvere	essere/avere
evolversi	essere
fallarsi	essere
fallire	essere/avere
familiarizzarsi	essere
farsela	essere
farsene	essere
farsi	essere
fasciarsi	essere
federarsi	essere
felicitarsi	essere
feltrarsi	essere
fendersi	essere
ferirsi	essere
fermarsi	essere
fessurarsi	essere
fiaccare	essere/avere
fiaccarsi	essere
ficcarsi	essere
fidanzarsi	essere
fidarsi	essere
figurarsi	essere
filare	essere/avere
filarsela	essere
filtrare	essere/avere
finanziarsi	essere
fingersi	essere
finire	essere/avere
fioccare	essere
fiondarsi	essere
fiorire	essere/avere
fissarsi	essere
flagrare	essere
flettersi	essere
fluire	essere
fluitare	essere
focalizzarsi	essere
fondarsi	essere
fondersi	essere
forarsi	essere
formalizzarsi	essere
formarsi	essere
formicolare	essere/avere
fornirsi	essere
fortificarsi	essere
forzarsi	essere
fottersene	essere
fottersi	essere
fracassarsi	essere
fraintendersi	essere
frammentarsi	essere
frammettersi	essere
frammischiarsi	essere
franare	essere
frangere	essere/avere
frantumarsi	essere
frapporsi	essere
frastagliarsi	essere
frazionarsi	essere
freddarsi	essere
fregarne	essere
fregarsene	essere
fregarsi	essere
fregiarsi	essere
frenarsi	essere
frequentarsi	essere
frizionarsi	essere
frizzarsi	essere
frollare	essere/avere
frollarsi	essere
fronteggiarsi	essere
frullare	essere/avere
fuggire	essere/avere
fulminare	essere/avere
fulminarsi	essere
fumarsela	essere
fumarsi	essere
funghire	essere
fuoriuscire	essere
furarsi	essere
garantirsi	essere
garbare	essere/avere
gassificare	essere/avere
gelare	essere/avere
gelatinizzarsi	essere
gelificare	essere/avere
gemellarsi	essere
generarsi	essere
genuflettersi	essere
germinare	essere/avere
germogliare	essere/avere
gestirsi	essere
gettarsi	essere
ghiacciare	essere/avere
giacere	essere/avere
gingillarsi	essere
giocarsela	essere
giocarsi	essere
giostrarsela	essere
giostrarsi	essere
giovare	essere/avere
giovarsi	essere
girarsi	essere
gire	essere
girsene	essere
giudicarsi	essere
giulebbarsi	essere
giungere	essere/avere
giurarsi	essere
giustapporsi	essere
giustificarsi	essere
gloriarsi	essere
glorificarsi	essere
gocciare	essere/avere
gocciolare	essere/avere
godersela	essere
godersi	essere
gonfiare	essere/avere
gonfiarsi	essere
gradire	essere/avere
graffiarsi	essere
gragnolare	essere/avere
grandinare	essere/avere
granire	essere/avere
granulare	essere/avere
gratificarsi	essere
grattarsi	essere
gremirsi	essere
gripparsi	essere
grondare	essere/avere
guadagnarsi	essere
guardarsene	essere
guardarsi	essere
guarire	essere/avere
guastarsi	essere
guerreggiarsi	essere
guidarsi	essere
guizzare	essere/avere
gustare	essere/avere
gustarsi	essere
iacere	essere
identificarsi	essere
idratarsi	essere
idrolizzarsi	essere
ignorarsi	essere
illanguidire	essere/avere
illeggiadrire	essere/avere
illeggiadrirsi	essere
illimpidire	essere/avere
illividire	essere/avere
illudersi	essere
illuminarsi	essere
imbacare	essere/avere
imbacuccarsi	essere
imbaldanzire	essere/avere
imbaldanzirsi	essere
imballarsi	essere
imbambolare	essere
imbambolarsi	essere
imbarazzarsi	essere
imbarbarire	essere/avere
imbarbarirsi	essere
imbarcarsi	essere
imbastardire	essere/avere
imbastardirsi	essere
imbastirsi	essere
imbattersi	essere
imbellettarsi	essere
imbellire	essere/avere
imbelvarsi	essere
imbestialire	essere/avere
imbestialirsi	essere
imbeversi	essere
imbiancare	essere/avere
imbiancarsi	essere
imbianchire	essere/avere
imbiondire	essere/avere
imbizzarrire	essere/avere
imbizzarrirsi	essere
imbizzire	essere
imboccare	essere/avere
imbolsire	essere
imbonire	essere/avere
imborghesire	essere/avere
imborghesirsi	essere
imboscarsi	essere
imbottirsi	essere
imbrancarsi	essere
imbrattarsi	essere
imbrigliarsi	essere
imbrillantinarsi	essere
imbrogliarsi	essere
imbronciare	essere
imbronciarsi	essere
imbroncire	essere
imbrunare	essere
imbrunire	essere/avere
imbruttire	essere/avere
imbucarsi	essere
imbufalire	essere
imbufalirsi	essere
immaginarsi	essere
immalinconire	essere/avere
immalinconirsi	essere
immatricolarsi	essere
immedesimarsi	essere
immergersi	essere
immettersi	essere
