# Norwegian Bokmål mined principal parts. Columns: lemma, present, past, past_participle, imperative, present_participle, present_passive.
# '-' = the productive default in src/nob.rs; '|' separates variants.
forfalle	-	forfalt	forfalt	-	-	-
forfremme	-	-	-	forfrem	-	-
forfølge	-	forfulgte	forfulgt	-	-	-
forføre	-	forførte	forført	-	-	-
forholde	-	forholdt	forholdt	-	-	-
forhåndsbetale	-	forhåndsbetalte	forhåndsbetalt	-	-	-
forhåndsprogrammere	-	forhåndsprogrammerte	forhåndsprogrammert	-	-	-
forhøye	-	forhøya|forhøyde|forhøyet	forhøya|forhøyd|forhøyet	forhøy	-	-
forklare	-	forklarte	forklart	-	-	-
forkle	-	forkledde	forkledd	forkle	-	-
forkynne	-	forkynte	forkynt	-	-	-
forlange	-	forlangte	forlangt	-	-	-
forlate	-	forlot	forlatt	-	-	-
forlegge	-	forla	forlagt	-	-	-
forløpe	-	forløp	-	-	-	-
formalisere	-	formaliserte	formalisert	-	-	-
formulere	-	formulerte	formulert	-	-	-
fornemme	-	-	-	fornem	-	-
fornye	-	fornya|fornyet	fornya|fornyet	forny	-	-
forråde	-	forrådte	forrådt	-	-	-
forskrive	-	forskreiv|forskrev	forskrevet	-	-	-
forstille	-	forstilte	forstilt	-	-	-
forstrekke	-	forstrakk	forstrukket	-	-	-
forstå	-	forsto|forstod	forstått	-	-	-
forsvare	-	forsvarte	forsvart	-	-	-
forsvinne	-	forsvant	forsvunnet	-	-	-
forsyne	-	forsynte	forsynt	-	-	-
forsøke	-	forsøkte	forsøkt	-	-	-
fortelle	-	fortalte	fortalt	-	-	-
fortjene	-	fortjente	fortjent	-	-	-
fortrenge	-	fortrengte	fortrengt	-	-	-
fortsette	-	fortsatte	fortsatt	-	-	-
fortvile	-	fortvilte	fortvilt	-	-	-
fortøye	-	fortøyde	fortøyd	fortøy	-	-
forutbestemme	-	forutbestemte	forutbestemt	forutbestem	-	-
forutse	-	forutså	forutsett	forutse	forutseende	-
forutsette	-	forutsatte	forutsatt	-	-	-
forutsi	forutsier	forutsa	forutsagt	-	-	forutsies
forvise	-	forviste	forvist	-	-	-
forvolde	-	forvoldte	forvoldt	-	-	-
forvrenge	-	forvrengte	forvrengt	-	-	-
fotografere	-	fotograferte	fotografert	-	-	-
fotokopiere	-	fotokopierte	fotokopiert	-	-	-
fragmentere	-	fragmenterte	fragmentert	-	-	-
frambringe	-	frambrakte	frambrakt	-	-	-
framføre	-	framførte	framført	-	-	-
framlegge	-	framla	framlagt	-	-	-
framstille	-	framstilte	framstilt	-	-	-
framstå	-	framsto|framstod	framstått	-	-	-
framtre	-	framtrådte	framtrådt	framtre	framtredende	-
fraskille	-	fraskilte	fraskilt	-	-	-
frata	-	fratok	fratatt	-	-	-
fratre	-	fratrådte	fratrådt	fratre	fratredende	-
fravike	-	fraveik|fravek	fraveket	-	-	-
frelse	-	frelste	frelst	-	-	-
frembringe	-	frembrakte	frembrakt	-	-	-
fremføre	-	fremførte	fremført	-	-	-
fremgå	-	fremgikk	fremgått	-	-	-
fremkomme	-	fremkom	-	fremkom	-	-
fremme	-	-	-	frem	-	-
fremsi	fremsier	fremsa	fremsagt	-	-	fremsies
fremstille	-	fremstilte	fremstilt	-	-	-
fremstå	-	fremsto|fremstod	fremstått	-	-	-
fremtre	-	fremtrådte	fremtrådt	fremtre	fremtredende	-
frese	-	freste	frest	-	-	-
frifinne	-	frifant	frifunnet	-	-	-
frigi	-	friga|frigav	frigitt	-	-	-
frigjøre	frigjør	frigjorde	frigjort	-	-	-
frikjenne	-	frikjente	frikjent	-	-	-
frita	-	fritok	fritatt	-	fritakende	-
frustrere	-	frustrerte	frustrert	-	-	-
fryse	-	frøs|frøys	frosset	-	-	-
frø	-	frødde	frødd	-	-	-
fullføre	-	fullførte	fullført	-	-	-
fungere	-	fungerte	fungert	-	-	-
fusjonere	-	fusjonerte	fusjonert	-	-	-
fylle	-	fylte	fylt	-	-	-
fyre	-	fyrte	fyrt	-	-	-
føde	-	fødte	født	-	-	-
føle	-	følte	følt	-	-	-
føles	-	føltes	føltes	-	-	-
følge	-	fulgte	fulgt	-	-	-
føre	-	førte	ført	-	-	-
gale	-	galte|gol	galt	-	-	-
galoppere	-	galopperte	galoppert	-	-	-
galvanisere	-	galvaniserte	galvanisert	-	-	-
garantere	-	garanterte	garantert	-	-	-
garnere	-	garnerte	garnert	-	-	-
generalisere	-	generaliserte	generalisert	-	-	-
generere	-	genererte	generert	-	-	-
gentrifisere	-	gentrifiserte	gentrifisert	-	-	-
gidde	-	gadd	-	-	-	-
gjelde	-	gjaldt	gjeldt	-	-	-
gjemme	-	gjemte	gjemt	gjem	-	-
gjenbruke	-	gjenbrukte	gjenbrukt	-	-	-
gjenfinne	-	gjenfant	gjenfunnet	-	-	-
gjenfortelle	-	gjenfortalte	gjenfortalt	-	-	-
gjenføde	-	gjenfødte	gjenfødt	-	-	-
gjengi	-	gjengav	gjengitt	-	gjengivende	-
gjeninnføre	-	gjeninnførte	gjeninnført	-	-	-
gjeninnsette	-	gjeninnsatte	gjeninnsatt	-	-	-
gjeninnta	-	gjeninntok	gjeninntatt	-	gjeninntakende	-
gjenkjenne	-	gjenkjente	gjenkjent	-	-	-
gjennomføre	-	gjennomførte	gjennomført	-	-	-
gjennomgå	-	gjennomgikk	gjennomgått	-	-	-
gjennomskjære	-	gjennomskar	gjennomskåret	-	-	-
gjennomskue	-	gjennomskua|gjennomskuet	gjennomskua|gjennomskuet	gjennomsku	-	-
gjenoppleve	-	gjenopplevde	gjenopplevd	-	-	-
gjenoppstå	-	gjenoppsto|gjenoppstod	gjenoppstått	-	-	-
gjenoppta	-	gjenopptok	gjenopptatt	-	-	-
gjenreise	-	gjenreiste	gjenreist	-	-	-
gjenskape	-	gjenskapte	gjenskapt	-	-	-
gjenstå	-	gjensto|gjenstod	gjenstått	-	-	-
gjenta	-	gjentok	gjentatt	-	gjentakende	-
gjenvelge	-	gjenvalgte	gjenvalgt	-	-	-
gjenvinne	-	gjenvant	gjenvunnet	-	-	-
gjete	-	gjette	gjett	-	-	-
gjømme	-	gjømte	gjømt	gjøm	-	-
gjøre	gjør	gjorde	gjort	-	-	-
glane	-	glante	glant	-	-	-
gle	-	gledde	-	-	-	-
glemme	-	glemte	glemt	glem	-	-
glidefly	-	glidefløy	glideflydd|glidefløyet	-	-	-
glisne	-	-	-	glisne	-	-
glorifisere	-	glorifiserte	glorifisert	-	-	-
glømme	-	glømte	glømt	gløm	-	-
gni	-	gned|gnei|gnidde	gnidd	-	-	-
godkjenne	-	godkjente	godkjent	-	-	-
godta	-	godtok	godtatt	-	godtakende	-
godtgjøre	godtgjør	godtgjorde	godtgjort	-	-	-
gomle	-	gomlet/gomla	gomlet/gomla	-	-	-
gratulere	-	gratulerte	gratulert	-	-	-
grave	-	gravde|grov	gravd	-	-	-
gravere	-	graverte	gravert	-	-	-
gravlegge	-	gravla	gravlagt	-	-	-
gripe	-	greip|grep	grepet	-	-	-
gro	-	grodde	grodd	-	-	-
grue	-	grua|grudde|gruet	grua|grudd|gruet	-	-	-
grunnlegge	-	grunnla	grunnlagt	-	-	-
gruppere	-	grupperte	gruppert	-	-	-
gry	-	grydde	grydd	-	-	-
gråte	-	gråt	grått	-	-	-
gyte	-	gjøt|gytte	gytt	-	-	-
halshogge	-	halshogde|halshogg	halshogd	-	-	-
handtere	-	handterte	handtert	-	-	-
harmonere	-	harmonerte	harmonert	-	-	-
harmonisere	-	harmoniserte	harmonisert	-	-	-
havarere	-	havarerte	havarert	-	-	-
hedre	-	-	-	hedre	-	-
heise	-	heiste	heist	-	-	-
hemme	-	-	-	hem	-	-
hemmeligholde	-	hemmeligholdt	hemmeligholdt	-	-	-
henge	-	hang	hengt	-	-	-
henspille	-	henspilte	henspilt	-	-	-
henvende	-	henvendte	henvendt	-	-	-
henvise	-	henviste	henvist	-	-	-
hete	-	het|hette	hett	-	-	-
hilse	-	hilste	hilst	-	-	-
hjelpe	-	hjalp	hjulpet	-	-	-
hjemsende	-	hjemsendte	hjemsendt	-	-	-
hjemsøke	-	hjemsøkte	hjemsøkt	-	-	-
hogge	-	hogde|hogg	hogd	-	-	-
holde	-	holdt	holdt	-	-	-
hvese	-	hveste	hvest	-	-	-
hvile	-	hvilte	hvilt	-	-	-
hypnotisere	-	hypnotiserte	hypnotisert	-	-	-
hytta	-	hytta	hytta	hytt	-	-
håndhilse	-	håndhilste	håndhilst	-	-	-
håndtere	-	håndterte	håndtert	-	-	-
hærta	-	hærtok	hærtatt	-	hærtakende	-
høre	-	hørte	hørt	-	-	-
identifisere	-	identifiserte	identifisert	-	-	-
igangsette	-	igangsatte	igangsatt	-	-	-
ignorere	-	ignorerte	ignorert	-	-	-
ikle	-	ikledde	ikledd	ikle	-	-
ilegge	-	ila	ilagt	-	-	-
illustrere	-	illustrerte	illustrert	-	-	-
imitere	-	imiterte	imitert	-	-	-
immigrere	-	immigrerte	immigrert	-	-	-
implementere	-	implementerte	implementert	-	-	-
implisere	-	impliserte	implisert	-	-	-
imponere	-	imponerte	imponert	-	-	-
importere	-	importerte	importert	-	-	-
impregnere	-	impregnerte	impregnert	-	-	-
improvisere	-	improviserte	improvisert	-	-	-
inaktivere	-	inaktiverte	inaktivert	-	-	-
indikere	-	indikerte	indikert	-	-	-
industrialisere	-	industrialiserte	industrialisert	-	-	-
infiltrere	-	infiltrerte	infiltrert	-	-	-
infisere	-	infiserte	infisert	-	-	-
influere	-	influerte	influert	-	-	-
informere	-	informerte	informert	-	-	-
inhalere	-	inhalerte	inhalert	-	-	-
initiere	-	initierte	initiert	-	-	-
injisere	-	injiserte	injisert	-	-	-
inkludere	-	inkluderte	inkludert	-	-	-
inkorporere	-	inkorporerte	inkorporert	-	-	-
inndele	-	inndelte	inndelt	-	-	-
innebære	-	innebar	innebåret	-	-	-
inneha	-	innehadde	innehatt	-	-	-
inneholde	-	inneholdt	inneholdt	-	-	-
innføre	-	innførte	innført	-	-	-
inngravere	-	inngraverte	inngravert	-	-	-
inngå	-	inngikk	inngått	-	-	-
