# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
get	got	got	getting	-
ghostwrite	ghostwrote	ghostwritten	-	-
gib	gibbed	gibbed	gibbing	-
gie	-	-	gieing	-
giftwrap	giftwrapped	giftwrapped	giftwrapping	-
gig	gigged	gigged	gigging	-
gillnet	gillnetted	gillnetted	gillnetting	-
gin	ginned	ginned	ginning	-
gip	gipped	gipped	gipping	-
give	gave	given	-	-
glace	glaceed	glaceed	glaceing	-
glad	gladded	gladded	gladding	-
glam	glammed	glammed	glamming	-
globetrot	globetrotted	globetrotted	globetrotting	-
glom	glommed	glommed	glomming	-
glop	glopped	glopped	glopping	-
glug	glugged	glugged	glugging	-
glut	glutted	glutted	glutting	-
gnar	gnarred	gnarred	gnarring	-
go	went	gone	-	-
gob	gobbed	gobbed	gobbing	-
god	godded	godded	godding	-
goddam	goddammed	goddammed	goddamming	-
goofproof	goofprooffed	goofprooffed	goofprooffing	-
grab	grabbed	grabbed	grabbing	-
gralloch	-	-	-	grallochs
grid	gridded	gridded	-	-
grin	grinned	grinned	grinning	-
grind	ground	ground	-	-
grip	gripped	gripped	gripping	-
grit	gritted	gritted	gritting	-
grok	grokked	grokked	grokking	-
grow	grew	grown	-	-
grub	grubbed	grubbed	grubbing	-
grue	-	-	grueing	-
gul	gulled	gulled	gulling	-
gum	gummed	gummed	gumming	-
gun	gunned	gunned	gunning	-
gunfight	gunfought	gunfought	-	-
gut	gutted	gutted	gutting	-
gyp	gypped	gypped	gypping	-
hae	-	-	haeing	-
hag	hagged	hagged	hagging	-
hagride	hagrode	hagridden	-	-
haircut	-	-	haircutting	-
hairweave	-	hairwoven	-	-
halal	halalled	halalled	halalling	-
hallal	hallalled	hallalled	hallalling	-
halloo	-	-	-	halloos
halterbreak	halterbroke	halterbroken	-	-
ham	hammed	hammed	hamming	-
hamstring	hamstrung	hamstrung	-	-
handbag	handbagged	handbagged	handbagging	-
handcolor	handcolorred	handcolorred	handcolorring	-
handhold	handheld	handheld	-	-
handicap	handicapped	handicapped	handicapping	-
handset	handset	handset	handsetting	-
handwrite	handwrote	handwritten	-	-
hap	happed	happed	happing	-
hat	hatted	hatted	hatting	-
have	had	had	-	has
havoc	havocked	havocked	havocking	-
hear	heard	heard	-	-
heartbreak	heartbroke	heartbroken	-	-
hedgehop	hedgehopped	hedgehopped	hedgehopping	-
hem	hemmed	hemmed	hemming	-
hide	hid	hidden	-	-
hie	-	-	hieing	-
hilltop	hilltopped	hilltopped	hilltopping	-
hinge	-	-	hinging	-
hip	hipped	hipped	hipping	-
his	hissed	hissed	hissing	hisses
hit	hit	hit	hitting	-
hob	hobbed	hobbed	hobbing	-
hobnob	hobnobbed	hobnobbed	hobnobbing	-
hobo	-	-	-	hobos
hocus	hocussed	hocussed	hocussing	-
hog	hogged	hogged	hogging	-
hold	held	held	-	-
holloo	-	-	-	holloos
honcho	-	-	-	honchos
hoodoo	-	-	-	hoodoos
hop	hopped	hopped	hopping	-
horsewhip	horsewhipped	horsewhipped	horsewhipping	-
hot	hotted	hotted	hotting	-
hotdog	hotdogged	hotdogged	hotdogging	-
housebreak	housebroke	housebroken	-	-
housekeep	housekept	housekept	-	-
housesit	housesat	housesat	housesitting	-
hub	hubbed	hubbed	hubbing	-
hug	hugged	hugged	hugging	-
hulloo	-	-	-	hulloos
hum	hummed	hummed	humming	-
humbug	humbugged	humbugged	humbugging	-
hup	hupped	hupped	hupping	-
hurt	hurt	hurt	-	-
hut	hutted	hutted	hutting	-
hydraulic	hydraulicked	hydraulicked	hydraulicking	-
hypo	-	-	-	hypos
imbed	imbedded	imbedded	imbedding	-
immit	immitted	immitted	immitting	-
impel	impelled	impelled	impelling	-
impinge	-	-	impinging	-
implead	impled	impled	-	-
implunge	-	-	implunging	-
inbreed	inbred	inbred	-	-
inclip	inclipped	inclipped	inclipping	-
income	income	income	-	-
incur	incurred	incurred	incurring	-
infer	inferred	inferred	inferring	-
infight	infought	infought	-	-
infringe	-	-	infringing	-
inlay	inlaid	inlaid	-	-
inlet	inlet	inlet	inletting	-
innuendo	-	-	-	innuendos
input	inputted	inputted	inputting	-
inset	inset	inset	insetting	-
inspan	inspanned	inspanned	inspanning	-
instal	installed	installed	installing	-
instar	instarred	instarred	instarring	-
instil	instilled	instilled	instilling	-
inter	interred	interred	interring	-
interbed	interbedded	interbedded	interbedding	-
interbreed	interbred	interbred	-	-
interchange	-	-	interchanging	-
intercrop	intercropped	intercropped	intercropping	-
intercut	intercut	intercut	intercutting	-
interdeal	interdealt	interdealt	-	-
intergrow	intergrew	intergrown	-	-
interknit	interknitted	interknitted	interknitting	-
interlap	interlapped	interlapped	interlapping	-
interlay	interlaid	interlaid	-	-
interlend	interlent	interlent	-	-
intermit	intermitted	intermitted	intermitting	-
inthral	inthralled	inthralled	inthralling	-
intromit	intromitted	intromitted	intromitting	-
inweave	-	inwoven	-	-
inwrap	inwrapped	inwrapped	inwrapping	-
jab	jabbed	jabbed	jabbing	-
jackaroo	-	-	-	jackaroos
jackeroo	-	-	-	jackeroos
jag	jagged	jagged	jagging	-
jam	jammed	jammed	jamming	-
jambok	jambokked	jambokked	jambokking	-
japan	japanned	japanned	japanning	-
jar	jarred	jarred	jarring	-
jerrybuild	jerrybuilt	jerrybuilt	-	-
jet	jetted	jetted	jetting	-
jib	jibbed	jibbed	jibbing	-
jig	jigged	jigged	jigging	-
jillaroo	-	-	-	jillaroos
jitterbug	jitterbugged	jitterbugged	jitterbugging	-
job	jobbed	jobbed	jobbing	-
jodel	jodelled	jodelled	jodelling	-
jog	jogged	jogged	jogging	-
jot	jotted	jotted	jotting	-
joypop	joypopped	joypopped	joypopping	-
joyride	joyrode	joyridden	-	-
jug	jugged	jugged	jugging	-
jut	jutted	jutted	jutting	-
kangaroo	-	-	-	kangaroos
keep	kept	kept	-	-
keg	kegged	kegged	kegging	-
ken	kenned	kenned	kenning	-
kep	kepped	kepped	kepping	-
kid	kidded	kidded	kidding	-
kimbo	-	-	-	kimbos
kip	kipped	kipped	kipping	-
kit	kitted	kitted	kitting	-
knap	knapped	knapped	knapping	-
knar	knarred	knarred	knarring	-
kneecap	kneecapped	kneecapped	kneecapping	-
knit	-	knitted	knitting	-
knot	knotted	knotted	knotting	-
know	knew	known	-	-
kris	krissed	krissed	krissing	-
lag	lagged	lagged	lagging	-
lallygag	lallygagged	lallygagged	lallygagging	-
lam	lammed	lammed	lamming	-
landslide	landslid	landslid	-	-
lap	lapped	lapped	lapping	-
lay	laid	laid	-	-
leapfrog	leapfrogged	leapfrogged	leapfrogging	-
leg	legged	legged	legging	-
lek	lekked	lekked	lekking	-
lend	lent	lent	-	-
lep	lepped	lepped	lepping	-
let	let	let	letting	-
lib	libbed	libbed	libbing	-
lid	lidded	lidded	lidding	-
lie	-	lain	-	-
lig	ligged	ligged	ligging	-
limbo	-	-	-	limbos
lip	lipped	lipped	lipping	-
lipread	lipread	lipread	-	-
litho	-	-	-	lithos
livetrap	livetrapped	livetrapped	livetrapping	-
lob	lobbed	lobbed	lobbing	-
log	logged	logged	logging	-
login	loginned	loginned	loginning	-
lollygag	lollygagged	lollygagged	lollygagging	-
loo	-	-	-	loos
lop	lopped	lopped	lopping	-
lose	lost	lost	-	-
lot	lotted	lotted	lotting	-
lounge	-	-	lounging	-
lug	lugged	lugged	lugging	-
macrame	-	-	macrameing	-
mad	madded	madded	madding	-
mag	magged	magged	magging	-
magic	magicked	magicked	magicking	-
make	made	made	-	-
mal	malled	malled	malling	-
man	manned	manned	manning	-
mange	-	-	manging	-
manumit	manumitted	manumitted	manumitting	-
map	mapped	mapped	mapping	-
mar	marred	marred	marring	-
marcel	marcelled	marcelled	marcelling	-
mas	massed	massed	massing	-
mat	matted	matted	matting	-
mean	meant	meant	-	-
meet	met	met	-	-
mel	melled	melled	melling	-
menge	-	-	menging	-
mes	messed	messed	messing	-
mil	milled	milled	milling	-
mimeo	-	-	-	mimeos
mimic	mimicked	mimicked	mimicking	-
mis	missed	missed	missing	-
misallot	misallotted	misallotted	misallotting	-
misarrange	-	-	misarranging	-
misaver	misaverred	misaverred	misaverring	-
misbecome	misbecame	misbecome	-	-
misbegin	misbegan	misbegun	misbeginning	-
misbind	misbound	misbound	-	-
misbuild	misbuilt	misbuilt	-	-
mischoose	mischose	mischosen	-	-
miscounsel	miscounselled	miscounselled	miscounselling	-
miscut	miscut	miscut	miscutting	-
misdeal	misdealt	misdealt	-	-
misdo	misdid	misdone	-	-
misdraw	misdrew	misdrawn	-	-
misdrive	misdrove	misdriven	-	-
miseat	misate	miseaten	-	-
misenrol	misenrolled	misenrolled	misenrolling	-
misfeed	misfed	misfed	-	-
misfit	misfitted	misfitted	misfitting	-
misgive	-	misgiven	-	-
misgrow	misgrew	misgrown	-	-
mishap	mishapped	mishapped	mishapping	-
mishear	misheard	misheard	-	-
mishit	mishit	mishit	mishitting	-
misinfer	misinferred	misinferred	misinferring	-
misinter	misinterred	misinterred	misinterring	-
miskeep	miskept	miskept	-	-
misknow	misknew	misknown	-	-
mislay	mislaid	mislaid	-	-
mislead	misled	misled	-	-
mislie	-	mislain	-	-
mismake	mismade	mismade	-	-
mismeet	mismet	mismet	-	-
mispen	mispenned	mispenned	mispenning	-
misplan	misplanned	misplanned	misplanning	-
misread	misread	misread	-	-
misrefer	misreferred	misreferred	misreferring	-
missay	missaid	missaid	-	-
missee	missaw	misseen	-	-
missend	missent	missent	-	-
misset	misset	misset	missetting	-
missing	missang	missung	-	-
misspeak	misspoke	misspoken	-	-
misspend	misspent	misspent	-	-
misstep	misstepped	misstepped	misstepping	-
misstop	misstopped	misstopped	misstopping	-
misstrike	misstruck	misstruck	-	-
mistake	mistook	mistaken	-	-
misteach	mistaught	mistaught	-	-
mistell	mistold	mistold	-	-
misthink	misthought	misthought	-	-
misthrow	misthrew	misthrown	-	-
misunderstand	misunderstood	misunderstood	-	-
misworship	misworshipped	misworshipped	misworshipping	-
miswrite	miswrote	miswritten	-	-
mob	mobbed	mobbed	mobbing	-
moc	mocked	mocked	mocking	-
mod	modded	modded	modding	-
mog	mogged	mogged	mogging	-
monogram	monogrammed	monogrammed	monogramming	-
moo	-	-	-	moos
mop	mopped	mopped	mopping	-
moral	moralled	moralled	moralling	-
mos	mossed	mossed	mossing	-
mosaic	mosaicked	mosaicked	mosaicking	-
mousetrap	mousetrapped	mousetrapped	mousetrapping	-
moz	-	-	-	mozzes
mud	mudded	mudded	mudding	-
mudcap	mudcapped	mudcapped	mudcapping	-
mug	mugged	mugged	mugging	-
mum	mummed	mummed	mumming	-
mus	mussed	mussed	mussing	-
music	musicked	musicked	musicking	-
nab	nabbed	nabbed	nabbing	-
nag	nagged	nagged	nagging	-
namedrop	namedropped	namedropped	namedropping	-
nap	napped	napped	napping	-
napoo	-	-	-	napoos
naysay	naysaid	naysaid	-	-
neb	nebbed	nebbed	nebbing	-
net	netted	netted	netting	-
nevel	nevelled	nevelled	nevelling	-
newscast	newscast	newscast	-	-
nib	nibbed	nibbed	nibbing	-
niello	-	-	-	niellos
nightclub	nightclubbed	nightclubbed	nightclubbing	-
nil	nilled	nilled	nilling	-
nim	nimmed	nimmed	nimming	-
nip	nipped	nipped	nipping	-
nitrid	nitrid	nitrid	-	-
nod	nodded	nodded	nodding	-
nog	nogged	nogged	nogging	-
nonconcur	nonconcurred	nonconcurred	nonconcurring	-
nonpros	nonprossed	nonprossed	nonprossing	nonprosses
notchel	notchelled	notchelled	notchelling	-
nut	nutted	nutted	nutting	-
nutmeg	nutmegged	nutmegged	nutmegging	-
occur	occurred	occurred	occurring	-
offset	offset	offset	offsetting	-
ok	okked	okked	okking	-
omit	omitted	omitted	omitting	-
oncome	-	oncome	-	-
onlay	onlaid	onlaid	-	-
onset	onset	onset	onsetting	-
outbar	outbarred	outbarred	outbarring	-
outbeg	outbegged	outbegged	outbegging	-
outbid	outbid	outbid	outbidding	-
outbrag	outbragged	outbragged	outbragging	-
outbreak	outbroke	outbroken	-	-
outbreed	outbred	outbred	-	-
outbuild	outbuilt	outbuilt	-	-
outburst	outburst	outburst	-	-
outbuy	outbought	outbought	-	-
outcatch	outcaught	outcaught	-	-
outcrop	outcropped	outcropped	outcropping	-
outdo	outdid	outdone	-	-
outdrag	outdragged	outdragged	outdragging	-
outdraw	outdrew	outdrawn	-	-
outdrink	outdrank	outdrunk	-	-
outdrive	outdrove	outdriven	-	-
outdrop	outdropped	outdropped	outdropping	-
outeat	outate	outeaten	-	-
outfeel	outfelt	outfelt	-	-
outfight	outfought	outfought	-	-
outfind	outfound	outfound	-	-
outfit	outfitted	outfitted	outfitting	-
outfly	outflew	outflown	-	-
outgas	outgassed	outgassed	outgassing	-
outgive	outgave	outgiven	-	-
