# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
визнатися	визнаюсь	визнаєшся	визнається	визнаємось	визнаєтесь	визнаються	визнайсь	визнаймось	визнайтесь	визнавсь	визналась	визналось	визнались
визначатися	визначаюсь	визначаєшся	визначається	визначаємось	визначаєтесь	визначаються	визначайсь	визначаймось	визначайтесь	визначавсь	визначалась	визначалось	визначались
визріти	визрію	визрієш	визріє	визрієм	визрієте	визріють	визрій	визріймо	визрійте	визрів	визріла	визріло	визріли
вийняти	вийму	виймеш	вийме	виймем	виймете	виймуть	вийми	виймім	вийміть	вийняв	вийняла	вийняло	вийняли
вийти	вийду	вийдеш	вийде	вийдем	вийдете	вийдуть	вийди	вийдім	вийдіть	вийшов	вийшла	вийшло	вийшли
викинути	викину	викинеш	викине	викинем	викинете	викинуть	викинь	викиньмо	викиньте	викинув	викинула	викинуло	викинули
викласти	викладу	викладеш	викладе	викладем	викладете	викладуть	виклади	викладім	викладіть	виклав	виклала	виклало	виклали
виклопотати	виклопочу	виклопочеш	виклопоче	виклопочем	виклопочете	виклопочуть	виклопочи	виклопочім	виклопочіть	виклопотав	виклопотала	виклопотало	виклопотали
виконуватися	виконуюсь	виконуєшся	виконується	виконуємось	виконуєтесь	виконуються	виконуйсь	виконуймось	виконуйтесь	виконувавсь	виконувалась	виконувалось	виконувались
використовуватися	використовуюсь	використовуєшся	використовується	використовуємось	використовуєтесь	використовуються	використовуйсь	використовуймось	використовуйтесь	використовувавсь	використовувалась	використовувалось	використовувались
викрасти	викраду	викрадеш	викраде	викрадем	викрадете	викрадуть	викради	викрадім	викрадіть	викрав	викрала	викрало	викрали
викрити	викрию	викриєш	викриє	викриєм	викриєте	викриють	викрий	викриймо	викрийте	викрив	викрила	викрило	викрили
викроїти	викрою	викроїш	викроїть	викроїм	викроїте	викроять	викрій	викріймо	викрійте	викроїв	викроїла	викроїло	викроїли
викуповуватися	викуповуюсь	викуповуєшся	викуповується	викуповуємось	викуповуєтесь	викуповуються	викуповуйсь	викуповуймось	викуповуйтесь	викуповувавсь	викуповувалась	викуповувалось	викуповувались
вилазити	вилажу	вилазиш	вилазить	вилазим	вилазите	вилазять	вилазь	вилазьмо	вилазьте	вилазив	вилазила	вилазило	вилазили
вилаяти	вилаю	вилаєш	вилає	вилаєм	вилаєте	вилають	вилай	вилаймо	вилайте	вилаяв	вилаяла	вилаяло	вилаяли
виливатися	виливаюсь	виливаєшся	виливається	виливаємось	виливаєтесь	виливаються	виливайсь	виливаймось	виливайтесь	виливавсь	виливалась	виливалось	виливались
вилити	виллю	виллєш	виллє	виллєм	виллєте	виллють	вилий	вилиймо	вилийте	вилив	вилила	вилило	вилили
вилитися	вилиюсь	вилиєшся	виллється	вилиємось	вилиєтесь	виллються	вилийсь	вилиймось	вилийтесь	виливсь	вилилась	вилилось	вилились
вилуплюватися	вилуплююсь	вилуплюєшся	вилуплюється	вилуплюємось	вилуплюєтесь	вилуплюються	вилуплюйсь	вилуплюймось	вилуплюйтесь	вилуплювавсь	вилуплювалась	вилуплювалось	вилуплювались
вилізти	вилізу	вилізеш	вилізе	вилізем	вилізете	вилізуть	вилізь	вилізьмо	вилізьте	виліз	вилізла	вилізло	вилізли
вимазати	вимажу	вимажеш	вимаже	вимажем	вимажете	вимажуть	вимаж	вимажмо	вимажте	вимазав	вимазала	вимазало	вимазали
вимерти	вимру	вимреш	вимре	вимрем	вимрете	вимруть	вимри	вимрім	вимріть	вимер	вимерла	вимерло	вимерли
вимити	вимию	вимиєш	вимиє	вимиєм	вимиєте	вимиють	вимий	вимиймо	вимийте	вимив	вимила	вимило	вимили
вимкнути	вимкну	вимкнеш	вимкне	вимкнем	вимкнете	вимкнуть	вимкни	вимкнім	вимкніть	вимкнув	вимкнула	вимкнуло	вимкнули
вимовити	вимовлю	вимовиш	вимовить	вимовим	вимовите	вимовлять	вимов	вимовмо	вимовте	вимовив	вимовила	вимовило	вимовили
вимовлятися	вимовляюсь	вимовляєшся	вимовляється	вимовляємось	вимовляєтесь	вимовляються	вимовляйсь	вимовляймось	вимовляйтесь	вимовлявсь	вимовлялась	вимовлялось	вимовлялись
винайняти	винайму	винаймеш	винайме	винаймем	винаймете	винаймуть	винайми	винаймім	винайміть	винайняв	винайняла	винайняло	винайняли
винайти	винайду	винайдеш	винайде	винайдем	винайдете	винайдуть	винайди	винайдім	винайдіть	винайшов	винайшла	винайшло	винайшли
винаходити	винаходжу	винаходиш	винаходить	винаходим	винаходите	винаходять	винаходь	винаходьмо	винаходьте	винаходив	винаходила	винаходило	винаходили
винести	винесу	винесеш	винесе	винесем	винесете	винесуть	винеси	винесім	винесіть	виніс	винесла	винесло	винесли
виникнути	виникну	виникнеш	виникне	виникнем	виникнете	виникнуть	виникни	виникнім	виникніть	виник	виникла	виникло	виникли
винуватити	винувачу	винуватиш	винуватить	винуватим	винуватите	винуватять	винувать	винуватьмо	винуватьте	винуватив	винуватила	винуватило	винуватили
виокремити	виокремлю	виокремиш	виокремить	виокремим	виокремите	виокремлять	виокрем	виокреммо	виокремте	виокремив	виокремила	виокремило	виокремили
