# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
розігнути	розігну	розігнеш	розігне	розігнем	розігнете	розігнуть	розігни	розігнім	розігніть	розігнув	розігнула	розігнуло	розігнули
розійтися	розійдусь	розійдешся	розійдеться	розійдемось	розійдетесь	розійдуться	розійдись	розійдімось	розійдіться	розійшовсь	розійшлась	розійшлось	розійшлись
розім'яти	розімну	розімнеш	розімне	розімнем	розімнете	розімнуть	розімни	розімнім	розімніть	розім'яв	розім'яла	розім'яло	розім'яли
розірвати	розірву	розірвеш	розірве	розірвем	розірвете	розірвуть	розірви	розірвім	розірвіть	розірвав	розірвала	розірвало	розірвали
розіслати	розстелю	розстелеш	розстеле	розстелем	розстелете	розстелють	розстели	розстелім	розстеліть	розіслав	розіслала	розіслало	розіслали
рости	росту	ростеш	росте	ростем	ростете	ростуть	рости	ростім	ростіть	ріс	росла	росло	росли
роїти	рою	роїш	роїть	роїм	роїте	роять	рої	роїм	роїте	роїв	роїла	роїло	роїли
рухатися	рухаюсь	рухаєшся	рухається	рухаємось	рухаєтесь	рухаються	рухайсь	рухаймось	рухайтесь	рухавсь	рухалась	рухалось	рухались
рушити	рушу	рушиш	рушить	рушим	рушите	рушать	руш	рушмо	руште	рушив	рушила	рушило	рушили
рясніти	ряснію	ряснієш	рясніє	ряснієм	ряснієте	рясніють	рясній	рясніймо	ряснійте	ряснів	рясніла	рясніло	рясніли
рятуватися	рятуюсь	рятуєшся	рятується	рятуємось	рятуєтесь	рятуються	рятуйсь	рятуймось	рятуйтесь	рятувавсь	рятувалась	рятувалось	рятувались
різати	ріжу	ріжеш	ріже	ріжем	ріжете	ріжуть	ріж	ріжмо	ріжте	різав	різала	різало	різали
сахатися	сахаюсь	сахаєшся	сахається	сахаємось	сахаєтесь	сахаються	сахайсь	сахаймось	сахайтесь	сахавсь	сахалась	сахалось	сахались
свиснути	свисну	свиснеш	свисне	свиснем	свиснете	свиснуть	свисни	свиснім	свисніть	свиснув	свиснула	свиснуло	свиснули
свистати	свищу	свищеш	свище	свищем	свищете	свищуть	свищи	свищім	свищіть	свистав	свистала	свистало	свистали
сердити	серджу	сердиш	сердить	сердим	сердите	сердять	сердь	сердьмо	сердьте	сердив	сердила	сердило	сердили
сердитися	серджусь	сердишся	сердиться	сердимось	сердитесь	сердяться	сердься	сердьмось	сердьтесь	сердивсь	сердилась	сердилось	сердились
синіти	синію	синієш	синіє	синієм	синієте	синіють	синій	синіймо	синійте	синів	синіла	синіло	синіли
сипати	сиплю	сиплеш	сипле	сиплем	сиплете	сиплють	сип	сипмо	сипте	сипав	сипала	сипало	сипали
сиротіти	сиротію	сиротієш	сиротіє	сиротієм	сиротієте	сиротіють	сиротій	сиротіймо	сиротійте	сиротів	сиротіла	сиротіло	сиротіли
скавучати	скавучу	скавучиш	скавучить	скавучим	скавучите	скавучать	скавучи	скавучім	скавучіть	скавучав	скавучала	скавучало	скавучали
сказати	скажу	скажеш	скаже	скажем	скажете	скажуть	скажи	скажім	скажіте	сказав	сказала	сказало	сказали
скалічити	скалічу	скалічиш	скалічить	скалічим	скалічите	скалічать	скаліч	скалічмо	скалічте	скалічив	скалічила	скалічило	скалічили
скаржитися	скаржусь	скаржишся	скаржиться	скаржимось	скаржитесь	скаржаться	скаржся	скаржмось	скаржтесь	скарживсь	скаржилась	скаржилось	скаржились
скидатися	скидаюсь	скидаєшся	скидається	скидаємось	скидаєтесь	скидаються	скидайсь	скидаймось	скидайтесь	скидавсь	скидалась	скидалось	скидались
скинути	скину	скинеш	скине	скинем	скинете	скинуть	скинь	скиньмо	скиньте	скинув	скинула	скинуло	скинули
скинутися	скинусь	скинешся	скинеться	скинемось	скинетесь	скинуться	скинься	скиньмось	скиньтесь	скинувсь	скинулась	скинулось	скинулись
скиснути	скисну	скиснеш	скисне	скиснем	скиснете	скиснуть	скисни	скиснім	скисніть	скис	скисла	скисло	скисли
складатися	складаюсь	складаєшся	складається	складаємось	складаєтесь	складаються	складайсь	складаймось	складайтесь	складавсь	складалась	складалось	складались
скласти	складу	складеш	складе	складем	складете	складуть	склади	складім	складіть	склав	склала	склало	склали
скластися	складусь	складешся	складеться	складемось	складетесь	складуться	складись	складімось	складіться	склавсь	склалась	склалось	склались
склеїти	склею	склеїш	склеїть	склеїм	склеїте	склеять	склей	склеймо	склейте	склеїв	склеїла	склеїло	склеїли
скніти	скнію	скнієш	скніє	скнієм	скнієте	скніють	скній	скніймо	скнійте	скнів	скніла	скніло	скніли
сколихнути	сколихну	сколихнеш	сколихне	сколихнем	сколихнете	сколихнуть	сколихни	сколихнім	сколихніть	сколихнув	сколихнула	сколихнуло	сколихнули
сконцентруватися	сконцентруюсь	сконцентруєшся	сконцентрується	сконцентруємось	сконцентруєтесь	сконцентруються	сконцентруйсь	сконцентруймось	сконцентруйтесь	сконцентрувавсь	сконцентрувалась	сконцентрувалось	сконцентрувались
скористатися	скористаюсь	скористаєшся	скористається	скористаємось	скористаєтесь	скористаються	скористайсь	скористаймось	скористайтесь	скориставсь	скористалась	скористалось	скористались
скористуватися	скористуюсь	скористуєшся	скористується	скористуємось	скористуєтесь	скористуються	скористуйсь	скористуймось	скористуйтесь	скористувавсь	скористувалась	скористувалось	скористувались
скочити	скочу	скочиш	скочить	скочим	скочите	скочать	скоч	скочмо	скочте	скочив	скочила	скочило	скочили
скоїти	скою	скоїш	скоїть	скоїм	скоїте	скоять	ской	скоймо	скойте	скоїв	скоїла	скоїло	скоїли
скребти	скребу	скребеш	скребе	скребем	скребете	скребуть	скреби	скребім	скребіть	скріб	скребла	скребло	скребли
скреготати	скрегочу	скрегочеш	скрегоче	скрегочем	скрегочете	скрегочуть	скрегочи	скрегочім	скрегочіть	скреготав	скреготала	скреготало	скреготали
скрити	скрию	скриєш	скриє	скриєм	скриєте	скриють	скрий	скриймо	скрийте	скрив	скрила	скрило	скрили
скубти	скубу	скубеш	скубе	скубем	скубете	скубуть	скуби	скубім	скубіть	скуб	скубла	скубло	скубли
скубтися	скубусь	скубешся	скубеться	скубемось	скубетесь	скубуться	скубись	скубімось	скубіться	скубся	скублась	скублось	скублись
слабнути	слабну	слабнеш	слабне	слабнем	слабнете	слабнуть	слабни	слабнім	слабніть	слаб	слабла	слабло	слабли
славити	славлю	славиш	славить	славим	славите	славлять	слав	славмо	славте	славив	славила	славило	славили
слати	стелю	стелеш	стеле	стелем	стелете	стелють	стели	стелім	стеліть	слав	слала	слало	слали
слухатися	слухаюсь	слухаєшся	слухається	слухаємось	слухаєтесь	слухаються	слухайсь	слухаймось	слухайтесь	слухавсь	слухалась	слухалось	слухались
смагнути	смагну	смагнеш	смагне	смагнем	смагнете	смагнуть	смагни	смагнім	смагніть	смагнув	смагнула	смагнуло	смагнули
смажити	смажу	смажиш	смажить	смажим	смажите	смажать	смаж	смажмо	смажте	смажив	смажила	смажило	смажили
смикатися	смикаюсь	смикаєшся	смикається	смикаємось	смикаєтесь	смикаються	смикайсь	смикаймось	смикайтесь	смикавсь	смикалась	смикалось	смикались
смоктати	смокчу	смокчеш	смокче	смокчем	смокчете	смокчуть	смокчи	смокчім	смокчіть	смоктав	смоктала	смоктало	смоктали
сміти	смію	смієш	сміє	смієм	смієте	сміють	смій	сміймо	смійте	смів	сміла	сміло	сміли
сміятися	сміюсь	смієшся	сміється	сміємось	смієтесь	сміються	смійсь	сміймось	смійтесь	сміявсь	сміялась	сміялось	сміялись
соромити	соромлю	соромиш	соромить	соромим	соромите	соромлять	сором	сороммо	соромте	соромив	соромила	соромило	соромили
соромитися	соромлюсь	соромишся	соромиться	соромимось	соромитесь	соромляться	соромся	сороммось	соромтесь	соромивсь	соромилась	соромилось	соромились
сохнути	сохну	сохнеш	сохне	сохнем	сохнете	сохнуть	сохни	сохнім	сохніть	сох	сохла	сохло	сохли
сп'яніти	сп'янію	сп'янієш	сп'яніє	сп'янієм	сп'янієте	сп'яніють	сп'яній	сп'яніймо	сп'янійте	сп'янів	сп'яніла	сп'яніло	сп'яніли
спалахнути	спалахну	спалахнеш	спалахне	спалахнем	спалахнете	спалахнуть	спалахни	спалахнім	спалахніть	спалахнув	спалахнула	спалахнуло	спалахнули
спати	сплю	спиш	спить	спим	спите	сплять	спи	спім	спіте	спав	спала	спало	спали
спекти	спечу	спечеш	спече	спечем	спечете	спечуть	спечи	спечім	спечіть	спік	спекла	спекло	спекли
сперечатися	сперечаюсь	сперечаєшся	сперечається	сперечаємось	сперечаєтесь	сперечаються	сперечайсь	сперечаймось	сперечайтесь	сперечавсь	сперечалась	сперечалось	сперечались
спиратися	спираюсь	спираєшся	спирається	спираємось	спираєтесь	спираються	спирайсь	спираймось	спирайтесь	спиравсь	спиралась	спиралось	спирались
сповити	спов'ю	спов'єш	спов'є	спов'єм	спов'єте	спов'ють	сповий	сповиймо	сповийте	сповив	сповила	сповило	сповили
сповільнюватися	сповільнююсь	сповільнюєшся	сповільнюється	сповільнюємось	сповільнюєтесь	сповільнюються	сповільнюйсь	сповільнюймось	сповільнюйтесь	сповільнювавсь	сповільнювалась	сповільнювалось	сповільнювались
сподобатися	сподобаюсь	сподобаєшся	сподобається	сподобаємось	сподобаєтесь	сподобаються	сподобайсь	сподобаймось	сподобайтесь	сподобавсь	сподобалась	сподобалось	сподобались
сподіватися	сподіваюсь	сподіваєшся	сподівається	сподіваємось	сподіваєтесь	сподіваються	сподівайсь	сподіваймось	сподівайтесь	сподівавсь	сподівалась	сподівалось	сподівались
спожити	споживу	споживеш	споживе	споживем	споживете	споживуть	споживи	споживім	споживіть	спожив	спожила	спожило	спожили
спорожніти	спорожнію	спорожнієш	спорожніє	спорожнієм	спорожнієте	спорожніють	спорожній	спорожніймо	спорожнійте	спорожнів	спорожніла	спорожніло	спорожніли
спостерегти	спостережу	спостережеш	спостереже	спостережем	спостережете	спостережуть	спостережи	спостережім	спостережіть	спостеріг	спостерегла	спостерегло	спостерегли
спостерігатися	-	-	спостерігається	-	-	спостерігаються	спостерігайсь	-	спостерігайтесь	спостерігавсь	спостерігалась	спостерігалось	спостерігались
справджуватися	справджуюсь	справджуєшся	справджується	справджуємось	справджуєтесь	справджуються	справджуйсь	справджуймось	справджуйтесь	справджувавсь	справджувалась	справджувалось	справджувались
справитися	справлюсь	справишся	справиться	справимось	справитесь	справляться	справся	справмось	справтесь	справивсь	справилась	справилось	справились
справлятися	справляюсь	справляєшся	справляється	справляємось	справляєтесь	справляються	справляйсь	справляймось	справляйтесь	справлявсь	справлялась	справлялось	справлялись
сприйматися	сприймаюсь	сприймаєшся	сприймається	сприймаємось	сприймаєтесь	сприймаються	сприймайсь	сприймаймось	сприймайтесь	сприймавсь	сприймалась	сприймалось	сприймались
сприйняти	сприйму	сприймеш	сприйме	сприймем	сприймете	сприймуть	сприйми	сприймім	сприйміть	сприйняв	сприйняла	сприйняло	сприйняли
сприйнятися	сприймусь	сприймешся	сприйметься	сприймемось	сприйметесь	сприймуться	сприймись	сприймімось	сприйміться	сприйнявсь	сприйнялась	сприйнялось	сприйнялись
спровадити	спроваджу	спровадиш	спровадить	спровадим	спровадите	спровадять	спровадь	спровадьмо	спровадьте	спровадив	спровадила	спровадило	спровадили
спромагатися	спромагаюсь	спромагаєшся	спромагається	спромагаємось	спромагаєтесь	спромагаються	спромагайсь	спромагаймось	спромагайтесь	спромагавсь	спромагалась	спромагалось	спромагались
спромогтися	спроможусь	спроможешся	спроможеться	спроможемось	спроможетесь	спроможуться	спроможись	спроможімось	спроможіться	спромігся	спромоглась	спромоглось	спромоглись
спускатися	спускаюсь	спускаєшся	спускається	спускаємось	спускаєтесь	спускаються	спускайсь	спускаймось	спускайтесь	спускавсь	спускалась	спускалось	спускались
спустошити	спустошу	спустошиш	спустошить	спустошим	спустошите	спустошать	спустош	спустошмо	спустоште	спустошив	спустошила	спустошило	спустошили
спустіти	спустію	спустієш	спустіє	спустієм	спустієте	спустіють	спустій	спустіймо	спустійте	спустів	спустіла	спустіло	спустіли
співчувати	співчуваю	співчуваєш	співчуває	співчуваєм	співчуваєте	співчувають	співчувай	співчуваймо	співчувайте	співчував	співчувала	співчувало	співчували
спізнюватися	спізнююсь	спізнюєшся	спізнюється	спізнюємось	спізнюєтесь	спізнюються	спізнюйсь	спізнюймось	спізнюйтесь	спізнювавсь	спізнювалась	спізнювалось	спізнювались
спілкуватися	спілкуюсь	спілкуєшся	спілкується	спілкуємось	спілкуєтесь	спілкуються	спілкуйсь	спілкуймось	спілкуйтесь	спілкувавсь	спілкувалась	спілкувалось	спілкувались
спіти	спію	спієш	спіє	спієм	спієте	спіють	спій	спіймо	спійте	спів	спіла	спіло	спіли
срати	серу	сереш	сере	серем	серете	серуть	сери	серім	серіть	срав	срала	срало	срали
ссати	ссу	ссеш	ссе	ссем	ссете	ссуть	сси	ссім	ссіть	ссав	ссала	ссало	ссали
ставати	стаю	стаєш	стає	стаєм	стаєте	стають	ставай	ставаймо	ставайте	ставав	ставала	ставало	ставали
ставатися	стаюсь	стаєшся	стається	стаємось	стаєтесь	стаються	ставайсь	ставаймось	ставайтесь	стававсь	ставалась	ставалось	ставались
ставити	ставлю	ставиш	ставить	ставим	ставите	ставлять	став	ставмо	ставте	ставив	ставила	ставило	ставили
ставитися	ставлюсь	ставишся	ставиться	ставимось	ставитесь	ставляться	стався	ставмось	ставтесь	ставивсь	ставилась	ставилось	ставились
старатися	стараюсь	стараєшся	старається	стараємось	стараєтесь	стараються	старайсь	стараймось	старайтесь	старавсь	старалась	старалось	старались
старіти	старію	старієш	старіє	старієм	старієте	старіють	старій	старіймо	старійте	старів	старіла	старіло	старіли
стати	стану	станеш	стане	станем	станете	стануть	стань	станьмо	станьте	став	стала	стало	стали
статися	станусь	станешся	станеться	станемось	станетесь	стануться	станься	станьмось	станьтесь	ставсь	сталась	сталось	стались
стверджуватися	стверджуюсь	стверджуєшся	стверджується	стверджуємось	стверджуєтесь	стверджуються	стверджуйсь	стверджуймось	стверджуйтесь	стверджувавсь	стверджувалась	стверджувалось	стверджувались
ствердити	стверджу	ствердиш	ствердить	ствердим	ствердите	ствердять	ствердь	ствердьмо	ствердьте	ствердив	ствердила	ствердило	ствердили
стежити	стежу	стежиш	стежить	стежим	стежите	стежать	стеж	стежмо	стежте	стежив	стежила	стежило	стежили
стерегти	стережу	стережеш	стереже	стережем	стережете	стережуть	стережи	стережім	стережіте	стеріг	стерегла	стерегло	стерегли
стерегтися	стережусь	стережешся	стережеться	стережемось	стережетесь	стережуться	стережись	стережімось	стережітеся	стерігся	стереглась	стереглось	стереглись
стерти	зітру	зітреш	зітре	зітрем	зітрете	зітруть	зітри	зітрім	зітріть	стер	стерла	стерло	стерли
стигнути	стигну	стигнеш	стигне	стигнем	стигнете	стигнуть	стигни	стигнім	стигніть	стигнув	стигнула	стигнуло	стигнули
стикатися	стикаюсь	стикаєшся	стикається	стикаємось	стикаєтесь	стикаються	стикайсь	стикаймось	стикайтесь	стикавсь	стикалась	стикалось	стикались
стирчати	стирчу	стирчиш	стирчить	стирчим	стирчите	стирчать	стирчи	стирчім	стирчіть	стирчав	стирчала	стирчало	стирчали
стискатися	стискаюсь	стискаєшся	стискається	стискаємось	стискаєтесь	стискаються	стискайсь	стискаймось	стискайтесь	стискавсь	стискалась	стискалось	стискались
стискуватися	стискуюсь	стискуєшся	стискується	стискуємось	стискуєтесь	стискуються	стискуйсь	стискуймось	стискуйтесь	стискувавсь	стискувалась	стискувалось	стискувались
стиснути	стисну	стиснеш	стисне	стиснем	стиснете	стиснуть	стисни	стиснім	стисніть	стис	стисла	стисло	стисли
стиснутися	стиснусь	стиснешся	стиснеться	стиснемось	стиснетесь	стиснуться	стиснись	стиснімось	стисніться	стиснувсь	стислась	стислось	стислись
стихнути	стихну	стихнеш	стихне	стихнем	стихнете	стихнуть	стихни	стихнім	стихніть	стих	стихла	стихло	стихли
стишитися	стишусь	стишишся	стишиться	стишимось	стишитесь	стишаться	стишся	стишмось	стиштесь	стишивсь	стишилась	стишилось	стишились
стишуватися	стишуюсь	стишуєшся	стишується	стишуємось	стишуєтесь	стишуються	стишуйсь	стишуймось	стишуйтесь	стишувавсь	стишувалась	стишувалось	стишувались
стогнати	стогну	стогнеш	стогне	стогнем	стогнете	стогнуть	стогни	стогнім	стогніте	стогнав	стогнала	стогнало	стогнали
стомлюватися	стомлююсь	стомлюєшся	стомлюється	стомлюємось	стомлюєтесь	стомлюються	стомлюйсь	стомлюймось	стомлюйтесь	стомлювавсь	стомлювалась	стомлювалось	стомлювались
стосуватися	стосуюсь	стосуєшся	стосується	стосуємось	стосуєтесь	стосуються	стосуйсь	стосуймось	стосуйтесь	стосувавсь	стосувалась	стосувалось	стосувались
стояти	стою	стоїш	стоїть	стоїм	стоїте	стоять	стій	стіймо	стійте	стояв	стояла	стояло	стояли
стрибнути	стрибну	стрибнеш	стрибне	стрибнем	стрибнете	стрибнуть	стрибни	стрибнім	стрибніть	стрибнув	стрибнула	стрибнуло	стрибнули
стригти	стрижу	стрижеш	стриже	стрижем	стрижете	стрижуть	стрижи	стрижім	стрижіть	стриг	стригла	стригло	стригли
стриматися	стримаюсь	стримаєшся	стримається	стримаємось	стримаєтесь	стримаються	стримайсь	стримаймось	стримайтесь	стримавсь	стрималась	стрималось	стримались
стримуватися	стримуюсь	стримуєшся	стримується	стримуємось	стримуєтесь	стримуються	стримуйсь	стримуймось	стримуйтесь	стримувавсь	стримувалась	стримувалось	стримувались
строїти	строю	строїш	строїть	строїм	строїте	строять	строй	строймо	стройте	строїв	строїла	строїло	строїли
стрінути	стріну	стрінеш	стріне	стрінем	стрінете	стрінуть	стрінь	стріньмо	стріньте	стрінув	стрінула	стрінуло	стрінули
стріти	стріну	стрінеш	стріне	стрінем	стрінете	стрінуть	стрінь	стріньмо	стріньте	стрів	стріла	стріло	стріли
стрітити	стрічу	стрітиш	стрітить	стрітим	стрітите	стрітять	стріть	стрітьмо	стрітьте	стрітив	стрітила	стрітило	стрітили
стукнути	стукну	стукнеш	стукне	стукнем	стукнете	стукнуть	стукни	стукнім	стукніть	стукнув	стукнула	стукнуло	стукнули
стягнути	стягну	стягнеш	стягне	стягнем	стягнете	стягнуть	стягни	стягнім	стягніть	стягнув	стягнула	стягнуло	стягнули
стягти	стягну	стягнеш	стягне	стягнем	стягнете	стягнуть	стягни	стягнім	стягніть	стяг	стягла	стягло	стягли
стібатися	стібаюсь	стібаєшся	стібається	стібаємось	стібаєтесь	стібаються	стібайсь	стібаймось	стібайтесь	стібавсь	стібалась	стібалось	стібались
сумніватися	сумніваюсь	сумніваєшся	сумнівається	сумніваємось	сумніваєтесь	сумніваються	сумнівайсь	сумніваймось	сумнівайтесь	сумнівавсь	сумнівалась	сумнівалось	сумнівались
сунути	суну	сунеш	суне	сунем	сунете	сунуть	сунь	суньмо	суньте	сунув	сунула	сунуло	сунули
суперечити	суперечу	суперечиш	суперечить	суперечим	суперечите	суперечать	супереч	суперечмо	суперечте	суперечив	суперечила	суперечило	суперечили
супроводити	супроводжу	супроводиш	супроводить	супроводим	супроводите	супроводять	супроводь	супроводьмо	супроводьте	супроводив	супроводила	супроводило	супроводили
схаменутися	схаменусь	схаменешся	схаменеться	схаменемось	схаменетесь	схаменуться	схаменись	схаменімось	схаменіться	схаменувсь	схаменулась	схаменулось	схаменулись
схибити	схиблю	схибиш	схибить	схибим	схибите	схиблять	схиб	схибмо	схибте	схибив	схибила	схибило	схибили
сховатися	сховаюсь	сховаєшся	сховається	сховаємось	сховаєтесь	сховаються	сховайсь	сховаймось	сховайтесь	сховавсь	сховалась	сховалось	сховались
схуднути	схудну	схуднеш	схудне	схуднем	схуднете	схуднуть	схудни	схуднім	схудніть	схуд	схудла	схудло	схудли
сцяти	сцю	сциш	сцить	сцим	сците	сцять	сци	сцімо	сціть	сцяв	сцяла	сцяло	сцяли
сягнути	сягну	сягнеш	сягне	сягнем	сягнете	сягнуть	сягни	сягнім	сягніть	сягнув	сягнула	сягнуло	сягнули
сякатися	сякаюсь	сякаєшся	сякається	сякаємось	сякаєтесь	сякаються	сякайсь	сякаймось	сякайтесь	сякавсь	сякалась	сякалось	сякались
сякнути	сякну	сякнеш	сякне	сякнем	сякнете	сякнуть	сякни	сякнім	сякніть	сякнув	сякнула	сякнуло	сякнули
сяяти	сяю	сяєш	сяє	сяєм	сяєте	сяють	сяй	сяймо	сяйте	сяяв	сяяла	сяяло	сяяли
сікти	січу	січеш	січе	січем	січете	січуть	січи	січім	січіть	сік	сікла	сікло	сікли
сісти	сяду	сядеш	сяде	сядем	сядете	сядуть	сядь	сядьмо	сядьте	сів	сіла	сіло	сіли
танути	тану	танеш	тане	танем	танете	тануть	тань	таньмо	таньте	тав	тала	тало	тали
таранити	тараню	тараниш	таранить	тараним	тараните	таранять	тарань	тараньмо	тараньте	таранив	таранила	таранило	таранили
таїти	таю	таїш	таїть	таїм	таїте	таять	таї	таїм	таїте	таїв	таїла	таїло	таїли
твітнути	твітну	твітнеш	твітне	твітнем	твітнете	твітнуть	твітни	твітнім	твітніть	твітнув	твітнула	твітнуло	твітнули
текти	течу	течеш	тече	течем	течете	течуть	течи	течім	течіть	тік	текла	текло	текли
теліпатися	теліпаюсь	теліпаєшся	теліпається	теліпаємось	теліпаєтесь	теліпаються	теліпайсь	теліпаймось	теліпайтесь	теліпавсь	теліпалась	теліпалось	теліпались
темніти	темнію	темнієш	темніє	темнієм	темнієте	темніють	темній	темніймо	темнійте	темнів	темніла	темніло	темніли
терти	тру	треш	тре	трем	трете	труть	три	трім	тріть	тер	терла	терло	терли
тесати	тешу	тешеш	теше	тешем	тешете	тешуть	теши	тешім	тешіть	тесав	тесала	тесало	тесали
тиснути	тисну	тиснеш	тисне	тиснем	тиснете	тиснуть	тисни	тиснім	тисніть	тис	тисла	тисло	тисли
тихнути	тихну	тихнеш	тихне	тихнем	тихнете	тихнуть	тихни	тихнім	тихніть	тих	тихла	тихло	тихли
ткати	тчу	тчеш	тче	тчем	тчете	тчуть	тчи	тчім	тчіть	ткав	ткала	ткало	ткали
тлумачити	тлумачу	тлумачиш	тлумачить	тлумачим	тлумачите	тлумачать	тлумач	тлумачмо	тлумачте	тлумачив	тлумачила	тлумачило	тлумачили
тліти	тлію	тлієш	тліє	тлієм	тлієте	тліють	тлій	тліймо	тлійте	тлів	тліла	тліло	тліли
тнути	тну	тнеш	тне	тнем	тнете	тнуть	тни	тнім	тніть	тнув	тнула	тнуло	тнули
товкти	товчу	товчеш	товче	товчем	товчете	товчуть	товчи	товчім	товчіть	товк	товкла	товкло	товкли
товстіти	товстію	товстієш	товстіє	товстієм	товстієте	товстіють	товстій	товстіймо	товстійте	товстів	товстіла	товстіло	товстіли
тонути	тону	тонеш	тоне	тонем	тонете	тонуть	тони	тонім	тоніть	тонув	тонула	тонуло	тонули
торкатися	торкаюсь	торкаєшся	торкається	торкаємось	торкаєтесь	торкаються	торкайсь	торкаймось	торкайтесь	торкавсь	торкалась	торкалось	торкались
торкнути	торкну	торкнеш	торкне	торкнем	торкнете	торкнуть	торкни	торкнім	торкніть	торкнув	торкнула	торкнуло	торкнули
торкнутися	торкнусь	торкнешся	торкнеться	торкнемось	торкнетесь	торкнуться	торкнись	торкнімось	торкніться	торкнувсь	торкнулась	торкнулось	торкнулись
траплятися	трапляюсь	трапляєшся	трапляється	трапляємось	трапляєтесь	трапляються	трапляйсь	трапляймось	трапляйтесь	траплявсь	траплялась	траплялось	траплялись
тратити	трачу	тратиш	тратить	тратим	тратите	тратять	трать	тратьмо	тратьте	тратив	тратила	тратило	тратили
тренуватися	тренуюсь	тренуєшся	тренується	тренуємось	тренуєтесь	тренуються	тренуйсь	тренуймось	тренуйтесь	тренувавсь	тренувалась	тренувалось	тренувались
тривожити	тривожу	тривожиш	тривожить	тривожим	тривожите	тривожать	тривож	тривожмо	тривожте	тривожив	тривожила	тривожило	тривожили
триматися	тримаюсь	тримаєшся	тримається	тримаємось	тримаєтесь	тримаються	тримайсь	тримаймось	тримайтесь	тримавсь	трималась	трималось	тримались
труїти	трую	труїш	труїть	труїм	труїте	труять	труї	труїмо	труїть	труїв	труїла	труїло	труїли
трясти	трясу	трясеш	трясе	трясем	трясете	трясуть	тряси	трясім	трясіть	тряс	трясла	трясло	трясли
турбуватися	турбуюсь	турбуєшся	турбується	турбуємось	турбуєтесь	турбуються	турбуйсь	турбуймось	турбуйтесь	турбувавсь	турбувалась	турбувалось	турбувались
тухнути	тухну	тухнеш	тухне	тухнем	тухнете	тухнуть	тухни	тухнім	тухніть	тухнув	тухнула	тухнуло	тухнули
тьмяніти	тьмянію	тьмянієш	тьмяніє	тьмянієм	тьмянієте	тьмяніють	тьмяній	тьмяніймо	тьмянійте	тьмянів	тьмяніла	тьмяніло	тьмяніли
тягнути	тягну	тягнеш	тягне	тягнем	тягнете	тягнуть	тягни	тягнім	тягніть	тягнув	тягнула	тягнуло	тягнули
тягнутися	тягнусь	тягнешся	тягнеться	тягнемось	тягнетесь	тягнуться	тягнись	тягнімось	тягніться	тягнувсь	тягнулась	тягнулось	тягнулись
тягти	тягну	тягнеш	тягне	тягнем	тягнете	тягнуть	тягни	тягнім	тягніть	тяг	тягла	тягло	тягли
тягтися	тягнусь	тягнешся	тягнеться	тягнемось	тягнетесь	тягнуться	тягнись	тягнімось	тягніться	тягся	тяглась	тяглось	тяглись
тяжіти	тяжію	тяжієш	тяжіє	тяжієм	тяжієте	тяжіють	тяжій	тяжіймо	тяжійте	тяжів	тяжіла	тяжіло	тяжіли
тямити	тямлю	тямиш	тямить	тямим	тямите	тямлять	тям	тяммо	тямте	тямив	тямила	тямило	тямили
тяти	тну	тнеш	тне	тнем	тнете	тнуть	тни	тнім	тніть	тяв	тяла	тяло	тяли
тішити	тішу	тішиш	тішить	тішим	тішите	тішать	тіш	тішмо	тіште	тішив	тішила	тішило	тішили
тішитися	тішусь	тішишся	тішиться	тішимось	тішитесь	тішаться	тішся	тішмось	тіштесь	тішивсь	тішилась	тішилось	тішились
убити	уб'ю	уб'єш	уб'є	уб'єм	уб'єте	уб'ють	убий	убиймо	убийте	убив	убила	убило	убили
увезти	увезу	увезеш	увезе	увезем	увезете	увезуть	увези	увезім	увезіть	увіз	увезла	увезло	увезли
увозити	увожу	увозиш	увозить	увозим	увозите	увозять	увозь	увозьмо	увозьте	увозив	увозила	увозило	увозили
увійти	увійду	увійдеш	увійде	увійдем	увійдете	увійдуть	увійди	увійдім	увійдіть	увійшов	увійшла	увійшло	увійшли
увімкнути	увімкну	увімкнеш	увімкне	увімкнем	увімкнете	увімкнуть	увімкни	увімкнім	увімкніть	увімкнув	увімкнула	увімкнуло	увімкнули
увінчатися	увінчаюсь	увінчаєшся	увінчається	увінчаємось	увінчаєтесь	увінчаються	увінчайсь	увінчаймось	увінчайтесь	увінчавсь	увінчалась	увінчалось	увінчались
увінчуватися	увінчуюсь	увінчуєшся	увінчується	увінчуємось	увінчуєтесь	увінчуються	увінчуйсь	увінчуймось	увінчуйтесь	увінчувавсь	увінчувалась	увінчувалось	увінчувались
угноїти	угною	угноїш	угноїть	угноїм	угноїте	угноять	угної	угноїмо	угноїть	угноїв	угноїла	угноїло	угноїли
удавати	удаю	удаєш	удає	удаєм	удаєте	удають	удавай	удаваймо	удавайте	удавав	удавала	удавало	удавали
